trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,stage,forcing_length_multiplier,forcing_lengthscale_m,base_forcing_intensity_K2_per_s,forcing_amplitude_multiplier,forcing_marginal_variance_K2
DiagonalScanPath_8,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.37374697517570643,0.3727357448603461,336.214847986714,344.24048616095854,8.025638174244534,1.9722572003558279,False,0.995201919232307,0.8421052631578947,0.3301759041420497,1.4736821278339942,4.524999653441166,5.490751966639598,31.678595121808467,1.0,False,0.8421052631578947,5.490751966639598,31.678595121808467,3.274449477738304,3.836688042175198,1.4736821278339942,1.8470010128784464,1.0461039738074935,1.277977931973205,0.6739071804805139,0.7510784041543913,6.718949546877501,8.025638174244534,6.718949546877508,lengthscale,0.5,0.000125,3702.393201358145,1.0,1.5129207286347728
DiagonalScanPath_8,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.36657636566689644,0.3696178128779182,336.214847986714,343.9785994666172,7.763751479903192,1.7849617462443208,False,0.9940023990403839,0.8026315789473685,0.3263671969722063,1.43646924517292,4.522505322648372,5.2175086190408635,30.89791552911545,1.0,False,0.8026315789473685,5.2175086190408635,30.89791552911545,3.1921521432679887,3.7787321495776167,1.43646924517292,1.776340628452205,1.0269521944910613,1.2439897808308178,0.6680994554355891,0.7164219017449001,6.467427631677266,7.763751479903192,6.467427631677306,lengthscale,0.5,0.000125,3702.393201358145,1.0,1.5129207286347728
HorizontalScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3813895792599353,0.3997744300975149,319.1296936365724,307.07817365525693,12.051519981315494,1.2975436609956779,False,0.9972011195521792,0.9078947368421053,0.31922293706659777,1.1891405103684505,4.517511549083453,5.484305960112192,20.633093027251302,1.0,False,0.9078947368421053,5.484305960112192,20.633093027251302,2.3227782971013307,2.8543480053942245,1.1891405103684505,1.5285623758167743,0.8524862540943162,1.0258559221819894,0.5756834414482908,0.6098484836053126,11.370991041793904,12.051519981315494,11.370991041793921,lengthscale,0.5,0.000125,3702.393201358145,1.0,1.5129207286347728
HorizontalScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3731168064880752,0.3984077908640674,319.1296936365724,307.01792942244685,12.111764214125571,1.2854348836305123,False,0.9972011195521792,0.9078947368421053,0.31618667218396135,1.175361659790039,4.5140524776564215,5.377969077361705,20.802530048027023,1.0,False,0.9078947368421053,5.377969077361705,20.802530048027023,2.340722156038284,2.8758730571352067,1.175361659790039,1.5021344678500927,0.8383374220555877,1.000029249045355,0.5667583426837854,0.5851124243803927,11.437864026477357,12.111764214125571,11.437864026477365,lengthscale,0.5,0.000125,3702.393201358145,1.0,1.5129207286347728
SpiralScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.28971484533849406,0.3022056619290065,335.7083806056465,335.83538359193915,0.12700298629266626,1.4160988669191343,True,0.9960015993602559,0.868421052631579,0.3173828432470674,1.1096608102371788,4.514675222337018,5.310858546029041,20.370513865542147,1.0,True,0.868421052631579,5.310858546029041,20.370513865542147,2.1843106077503815,2.677531592418483,1.1096608102371788,1.4055339701019935,0.8017236078290909,0.9687428153888568,0.5546818813697446,0.5990806469629535,0.2968733374732556,0.12700298629266626,0.29687333747325106,lengthscale,0.5,0.000125,3702.393201358145,1.0,1.5129207286347728
SpiralScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.28439730276621955,0.30217214270988574,335.7083806056465,335.66482524143356,0.04355536421292072,1.343871883615515,True,0.9968012794882047,0.8947368421052632,0.3157433174586302,1.1267972232866637,4.510827567323529,5.15521412121534,20.28981710605899,1.0,True,0.8947368421052632,5.15521412121534,20.28981710605899,2.223182701130297,2.7438808837267894,1.1267972232866637,1.4771697436876132,0.8276293667210733,1.0453409877693656,0.5687051919569662,0.636498259864546,0.3533382270563137,0.04355536421292072,0.35333822705634366,lengthscale,0.5,0.000125,3702.393201358145,1.0,1.5129207286347728
DiagonalScanPath_8,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.3743869695634383,0.37200574672894443,336.214847986714,344.2865287122223,8.071680725508315,1.7469282631635925,False,0.9920031987205118,0.7763157894736842,0.24212186753547726,1.4805343751558497,2.916828354459092,4.012752923568244,33.78650436966922,1.0,False,0.7763157894736842,4.012752923568244,33.78650436966922,3.3668127837165267,3.825642932733532,1.4805343751558497,1.8172514608799177,1.0336439409377376,1.2656362828592775,0.6266537778005467,0.7431139203728151,7.026579999135897,8.071680725508315,7.026579999135869,lengthscale,1.0,0.00025,1396.580702657806,1.0,0.6567947557846122
DiagonalScanPath_8,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.367932172707158,0.3710796908554066,336.214847986714,343.9195166156787,7.704668628964669,1.4480794825438341,False,0.9928028788484606,0.7894736842105263,0.23633416303247454,1.4711808503416814,2.9118790747448564,3.9106135627917458,35.55759336021714,1.0,False,0.7894736842105263,3.9106135627917458,35.55759336021714,3.3614870946859834,3.80561272805455,1.4711808503416814,1.7818352121071563,1.0280797297971287,1.2496322025957376,0.6217060425433127,0.7224310587628952,6.823692334446716,7.704668628964669,6.823692334446719,lengthscale,1.0,0.00025,1396.580702657806,1.0,0.6567947557846122
HorizontalScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3824990105101418,0.39919835297868905,319.1296936365724,307.07471214551424,12.054981491058186,0.9093405142086766,False,0.9948020791683326,0.8289473684210527,0.22925852292237064,1.1874002626939884,2.912646208846634,4.107205644857023,23.503237978927807,1.0,False,0.8289473684210527,4.107205644857023,23.503237978927807,2.5069960223317946,2.983790947644079,1.1874002626939884,1.4998520180183081,0.8208342450702876,1.0184752815956328,0.5183815952362992,0.6128805757285716,11.530459667215686,12.054981491058186,11.53045966721562,lengthscale,1.0,0.00025,1396.580702657806,1.0,0.6567947557846122
HorizontalScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.37473348895859987,0.3987461790609984,319.1296936365724,307.011232640135,12.11846099643742,0.891993713536825,False,0.9948020791683326,0.8289473684210527,0.22465393543469606,1.1765037837283905,2.9077143052277052,3.956375873713808,23.78378712330786,1.0,False,0.8289473684210527,3.956375873713808,23.78378712330786,2.5357725047112916,3.0129437621268753,1.1765037837283905,1.4792420200949206,0.8071452001540059,0.9955205678157728,0.5076488119306826,0.5885407282343389,11.603028736521438,12.11846099643742,11.603028736521438,lengthscale,1.0,0.00025,1396.580702657806,1.0,0.6567947557846122
