method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold
exact clipped,0.09439927743196509,0.23207283853592814,1302.3172913701162,894.9900906914357,407.32720067868047,0.36206896551724155,-0.1206896551724137,894.9900906914357,9.81835094833489,875.7461228326994,914.2340585501721,False,axis_gaussian,axis Gaussian,13,169,5,0.029585798816568046,1.5378623274296317,1.5378623274296317,840.9776073547857
discard saturated,0.09522471859169694,0.23379565414618902,1302.3172913701162,897.9646109272675,404.35268044284874,0.36206896551724155,-0.1206896551724137,897.9646109272675,17.08485030391895,864.4783043315863,931.4509175229487,False,axis_gaussian,axis Gaussian,13,169,5,0.029585798816568046,1.5378623274296317,1.5378623274296317,840.9776073547857
censored Laplace,0.08660664856717312,0.21008512493989412,1302.3172913701162,927.1466289440217,375.1706624260945,0.36206896551724155,-0.1206896551724137,927.1466289440217,14.292467008262006,899.1333936078281,955.1598642802153,False,axis_gaussian,axis Gaussian,13,169,5,0.029585798816568046,1.5378623274296317,1.5378623274296317,840.9776073547857
censored sampled,0.08594639138665162,0.2069921885659005,1302.3172913701162,932.1771596287659,370.1401317413503,0.36206896551724155,-0.1206896551724137,932.1771596287659,12.765761102668277,911.0410704241318,961.0067600967692,False,axis_gaussian,axis Gaussian,13,169,5,0.029585798816568046,1.5378623274296317,1.5378623274296317,840.9776073547857
oracle true,0.05317456287970435,0.08925932508691535,1302.3172913701162,1114.1027756052522,188.21451576486402,0.36206896551724155,-0.1206896551724137,1114.1027756052522,9.81835094833489,1094.8588077465158,1133.3467434639886,False,axis_gaussian,axis Gaussian,13,169,5,0.029585798816568046,1.5378623274296317,1.5378623274296317,840.9776073547857
exact clipped,0.09611209139188538,0.2344800196015848,1302.3172913701162,887.6555599655024,414.66173140461376,0.36206896551724155,-0.1206896551724137,887.6555599655024,8.692930397743627,870.6174163859249,904.69370354508,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3112578781297075,1.3112578781297075,808.9584790988589
discard saturated,0.07358502470431576,0.1766826775194812,1302.3172913701162,980.8119155506414,321.5053758194748,0.36206896551724155,-0.1206896551724137,980.8119155506414,17.305627495243037,946.892885659965,1014.7309454413178,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3112578781297075,1.3112578781297075,808.9584790988589
censored Laplace,0.06913711560301651,0.16472295895759617,1302.3172913701162,998.9649259196492,303.352365450467,0.36206896551724155,-0.1206896551724137,998.9649259196492,15.850305730077075,967.8983266886981,1030.0315251506004,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3112578781297075,1.3112578781297075,808.9584790988589
censored sampled,0.06881870173284793,0.16351258665457938,1302.3172913701162,1000.4635643374525,301.85372703266376,0.36206896551724155,-0.1206896551724137,1000.4635643374525,14.157529632777267,970.8432232565763,1026.8485011937953,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3112578781297075,1.3112578781297075,808.9584790988589
oracle true,0.032598846963591936,0.05246767781332599,1302.3172913701162,1190.1864336609528,112.13085770916337,0.36206896551724155,-0.1206896551724137,1190.1864336609528,8.692930397743627,1173.1482900813753,1207.2245772405304,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3112578781297075,1.3112578781297075,808.9584790988589
