scenario,shape,shape_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,selected_lengthscale_mean,selected_lengthscale_std,actual_frac_saturated_mean
fixed_ell_0.70,axis_gaussian,axis Gaussian,exact clipped,20,0.10414862234921769,0.0003975114074046327,0.25200880159396033,470.098153690421,4.548116714291283,15.14683279668609,59.3755845630094,0.0,0.7,0.0,0.03217993079584775
fixed_ell_0.70,axis_gaussian,axis Gaussian,discard saturated,20,0.04558233310926451,0.008682060910629372,0.08924869204416247,162.5465837324343,59.80341011081922,101.67905057765219,398.58187826439655,0.6,0.7,0.0,0.03217993079584775
fixed_ell_0.70,axis_gaussian,axis Gaussian,censored Laplace,20,0.039446664314915246,0.009595625567156294,0.06701092084699592,109.84641023184645,70.69710841470064,89.34527711758362,350.23348630092784,0.7,0.7,0.0,0.03217993079584775
fixed_ell_0.70,axis_gaussian,axis Gaussian,censored sampled,20,0.03824557110448425,0.007907237580981427,0.06222439104863747,96.53956846215783,70.40792877261312,88.20317479081874,342.8628310680857,0.7,0.7,0.0,0.03217993079584775
fixed_ell_0.70,axis_gaussian,axis Gaussian,oracle true,20,0.0015770389686947319,0.0,0.0030837502102339744,5.694589270055303,0.0,15.14683279668609,59.3755845630094,1.0,0.7,0.0,0.03217993079584775
unsat_mll_tuned,axis_gaussian,axis Gaussian,exact clipped,20,0.09689551944555705,0.0012951521102632052,0.23596088931408538,419.56925606568564,4.602508674730859,8.49747519488292,33.31010276394104,0.0,1.3478448508684377,0.048723319163052725,0.03217993079584775
unsat_mll_tuned,axis_gaussian,axis Gaussian,discard saturated,20,0.0787703894901971,0.007118975828698632,0.18955215249285995,345.9070625290069,28.906100633667275,17.548938717740548,68.79183977354297,0.0,1.3478448508684377,0.048723319163052725,0.03217993079584775
unsat_mll_tuned,axis_gaussian,axis Gaussian,censored Laplace,20,0.07281856394902302,0.006008684624143473,0.17361118114400934,320.5536792875172,24.641575858525595,15.118248230171195,59.263533062271065,0.0,1.3478448508684377,0.048723319163052725,0.03217993079584775
unsat_mll_tuned,axis_gaussian,axis Gaussian,censored sampled,20,0.07261398614152051,0.00620829455493694,0.17282341298748988,319.20610515939313,25.796799994838548,14.609541892980593,56.41655804513105,0.0,1.3478448508684377,0.048723319163052725,0.03217993079584775
unsat_mll_tuned,axis_gaussian,axis Gaussian,oracle true,20,0.035280240480657615,0.003558985015789403,0.056805180455005266,121.81742338148192,12.834526066266783,8.49747519488292,33.31010276394106,0.0,1.3478448508684377,0.048723319163052725,0.03217993079584775
fixed_ell_0.70,rotated_wake,rotated wake,exact clipped,20,0.11261533930403064,0.000667684569334409,0.2803551434045771,621.0242420982571,4.332856157898994,15.147353070786073,59.37762403748138,0.0,0.7,0.0,0.03200692041522492
