shape,shape_label,observation_seed,lengthscale,lengthscale_y,angle_degrees,unsat_neg_log_marginal_likelihood,kernel
axis_gaussian,axis Gaussian,0,0.55,0.18,-55.0,1959.9899126676873,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.18,-35.0,1959.4955008320007,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.18,-15.0,1916.9436069551352,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.18,0.0,1843.2816839084594,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.18,15.0,1916.930138094347,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.18,35.0,1959.4554294275113,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.18,55.0,1959.9192549110508,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,-55.0,1900.6187400423678,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,-35.0,1900.1148010570046,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,-15.0,1859.1885244982386,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,0.0,1831.9451699354863,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,15.0,1858.993413104391,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,35.0,1899.8161495913537,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.28,55.0,1900.444977923623,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,-55.0,1793.7037495941804,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,-35.0,1793.5981079246558,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,-15.0,1784.381281408374,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,0.0,1780.4799171137242,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,15.0,1783.905464005571,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,35.0,1792.9157375729542,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.42,55.0,1793.2862763590042,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,-55.0,1665.5742409292516,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,-35.0,1665.3470256125197,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,-15.0,1664.889179401012,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,0.0,1664.909549818427,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,15.0,1665.712364402521,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,35.0,1667.3837145623884,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.65,55.0,1668.1263868946767,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,-55.0,1588.3297428686783,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,-35.0,1588.5828482308348,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,-15.0,1589.4379864336124,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,0.0,1592.76756175961,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,15.0,1596.1832840702414,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,35.0,1597.4712885326917,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.55,0.9,55.0,1596.2157719295792,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,-55.0,1914.4688756238038,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,-35.0,1913.7494342943423,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,-15.0,1859.4370581754533,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,0.0,1734.7887260666057,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,15.0,1859.5463615279705,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,35.0,1913.569066958064,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.18,55.0,1914.3128156642097,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.28,-55.0,1827.97065177162,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.28,-35.0,1827.5571029811917,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.28,-15.0,1771.9718692306283,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.28,0.0,1725.472331968821,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.28,15.0,1771.4232722167362,anisotropic_tuned
