method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_lengthscale,kernel_lengthscale_y,kernel_angle_degrees
exact clipped,0.10439282566478007,0.25180979401578785,1302.3172913701162,829.0617421274986,473.2555492426176,0.36206896551724155,-0.1206896551724137,799.365061229866,15.146832796686091,769.6772689483613,829.0528535113707,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,0,0.7,,0.0
discard saturated,0.03766540106228008,0.06032037508954961,1302.3172913701162,1193.6987309103133,108.6185604598029,0.36206896551724155,-0.1206896551724137,1170.7141732227674,85.22489421868144,1003.6733805541518,1337.754965891383,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,0,0.7,,0.0
censored Laplace,0.037665530116134584,0.06032087476224136,1302.3172913701162,1193.698574012369,108.6187173577473,0.36206896551724155,-0.1206896551724137,1170.7135321696132,85.22489355394505,1003.672740803881,1337.7543235353455,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,0,0.7,,0.0
censored sampled,0.03710127712272495,0.05820222368810352,1302.3172913701162,1202.599748800749,99.7175425693672,0.36206896551724155,-0.1206896551724137,1175.7121965685542,83.1067911192091,1023.7351658476439,1360.4080147156133,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,0,0.7,,0.0
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,0,0.7,,0.0
exact clipped,0.09714303996787343,0.23667316746983721,1302.3172913701162,883.4485955165204,418.8686958535958,0.36206896551724155,-0.1206896551724137,883.4485955165204,8.530320038302092,866.7291682414483,900.1680227915925,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3401972380091436,1.3401972380091436,808.9584790988589,isotropic_tuned,isotropic tuned,0,1.3401972380091436,,0.0
discard saturated,0.07533433421048308,0.1804552206070731,1302.3172913701162,973.7940491041903,328.5232422659259,0.36206896551724155,-0.1206896551724137,973.7940491041903,15.489295382485999,943.4350301545178,1004.1530680538629,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3401972380091436,1.3401972380091436,808.9584790988589,isotropic_tuned,isotropic tuned,0,1.3401972380091436,,0.0
censored Laplace,0.07433567308027207,0.1778634817281425,1302.3172913701162,977.0348809572239,325.2824104128923,0.36206896551724155,-0.1206896551724137,977.0348809572239,14.84315581409622,947.9422955615953,1006.1274663528525,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3401972380091436,1.3401972380091436,808.9584790988589,isotropic_tuned,isotropic tuned,0,1.3401972380091436,,0.0
censored sampled,0.07428109807679864,0.17756898574932486,1302.3172913701162,977.3489215002243,324.96836986989194,0.36206896551724155,-0.1206896551724137,977.3489215002243,14.779029216076614,949.008481242127,1005.9238724948367,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3401972380091436,1.3401972380091436,808.9584790988589,isotropic_tuned,isotropic tuned,0,1.3401972380091436,,0.0
oracle true,0.034712464956546875,0.05583223085309121,1302.3172913701162,1182.5966376885558,119.7206536815604,0.36206896551724155,-0.1206896551724137,1182.5966376885558,8.530320038302092,1165.8772104134837,1199.316064963628,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3401972380091436,1.3401972380091436,808.9584790988589,isotropic_tuned,isotropic tuned,0,1.3401972380091436,,0.0
