kernel,shape,shape_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,lengthscale_mean,lengthscale_y_mean,angle_degrees_mean,kernel_label
isotropic_fixed,axis_gaussian,axis Gaussian,exact clipped,10,0.10412915643494267,0.00025979977490141887,0.2518059715091664,468.9488879326914,4.6483973617859755,15.14683279668609,59.3755845630094,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,axis_gaussian,axis Gaussian,discard saturated,10,0.04352898137759475,0.007104011005678371,0.08228499994556407,150.94261837947602,58.87978507063774,98.42442474430622,385.82374499768036,0.7,0.7,,0.0,isotropic fixed
isotropic_fixed,axis_gaussian,axis Gaussian,censored Laplace,10,0.03808357685517767,0.007422494129106446,0.06209012713584734,103.4991923789111,65.40730000701765,87.94566986151555,344.747025857141,0.8,0.7,,0.0,isotropic fixed
isotropic_fixed,axis_gaussian,axis Gaussian,censored sampled,10,0.03659415082878893,0.006496168987000136,0.055910666961576386,88.21468173230862,65.56551013176542,86.93720461854846,335.02883773431824,0.8,0.7,,0.0,isotropic fixed
isotropic_fixed,axis_gaussian,axis Gaussian,oracle true,10,0.0015770389686947319,0.0,0.0030837502102339744,5.694589270055303,0.0,15.14683279668609,59.3755845630094,1.0,0.7,,0.0,isotropic fixed
isotropic_tuned,axis_gaussian,axis Gaussian,exact clipped,10,0.09664380247651728,0.0012023564193258786,0.2355454893017645,419.8124098293318,3.0683540767025477,8.626870941384473,33.81733409022711,0.0,1.3241380180588287,,0.0,isotropic tuned
isotropic_tuned,axis_gaussian,axis Gaussian,discard saturated,10,0.07618204676178376,0.0072110629568568054,0.18319599959719904,336.2174086227143,29.16031739693719,17.90974312969923,70.206193068421,0.0,1.3241380180588287,,0.0,isotropic tuned
isotropic_tuned,axis_gaussian,axis Gaussian,censored Laplace,10,0.07093517609477193,0.006141187354465137,0.1691138001909069,313.7695043483285,24.60198734242985,15.699230255393152,61.54098260114112,0.0,1.3241380180588287,,0.0,isotropic tuned
isotropic_tuned,axis_gaussian,axis Gaussian,censored sampled,10,0.07080791261314523,0.005842519759106764,0.16855657884489098,313.1497242976551,23.23599416468791,14.754330241079241,56.412726851008,0.0,1.3241380180588287,,0.0,isotropic tuned
isotropic_tuned,axis_gaussian,axis Gaussian,oracle true,10,0.0335485467970125,0.0031426877859564166,0.054015080789408164,115.57381859057573,11.257689748419438,8.626870941384473,33.81733409022718,0.0,1.3241380180588287,,0.0,isotropic tuned
anisotropic_tuned,axis_gaussian,axis Gaussian,exact clipped,10,0.09597174548526644,0.001055114849688449,0.23389681244883728,417.457085119621,2.967306069133171,9.08471663291297,35.61208920101876,0.0,1.75,0.9,0.0,anisotropic tuned
anisotropic_tuned,axis_gaussian,axis Gaussian,discard saturated,10,0.05877781973232461,0.0054798541969531805,0.13910693269502825,263.83932482910575,22.5194773372158,21.7780635502983,85.37000911716935,0.0,1.75,0.9,0.0,anisotropic tuned
anisotropic_tuned,axis_gaussian,axis Gaussian,censored Laplace,10,0.05513646806423809,0.005065003674457919,0.12922390164566405,248.06659991586184,20.181743770816514,20.880439133726707,81.85132140420868,0.0,1.75,0.9,0.0,anisotropic tuned
anisotropic_tuned,axis_gaussian,axis Gaussian,censored sampled,10,0.05491953489626478,0.005186954087467716,0.12845901358744677,246.7111042629996,21.00849875745499,21.142793981765543,81.24589401334025,0.0,1.75,0.9,0.0,anisotropic tuned
