observation_seed,kernel,lengthscale_s,lengthscale_r,unsat_neg_log_marginal_likelihood
0,path_aligned_tuned,0.45,0.1,1882.3548782186772
0,path_aligned_tuned,0.45,0.14,1819.2532166269184
0,path_aligned_tuned,0.45,0.18,1773.1666702488315
0,path_aligned_tuned,0.45,0.24,1728.910447989896
0,path_aligned_tuned,0.45,0.32,1685.4577733931378
0,path_aligned_tuned,0.45,0.45,1632.1727496377202
0,path_aligned_tuned,0.7,0.1,1853.5880541255115
0,path_aligned_tuned,0.7,0.14,1785.5321956599655
0,path_aligned_tuned,0.7,0.18,1734.3430093991115
0,path_aligned_tuned,0.7,0.24,1683.2926966516793
0,path_aligned_tuned,0.7,0.32,1633.1660667612455
0,path_aligned_tuned,0.7,0.45,1583.6690430738836
0,path_aligned_tuned,0.95,0.1,1826.6279067353275
0,path_aligned_tuned,0.95,0.14,1757.8551772239207
0,path_aligned_tuned,0.95,0.18,1705.5684902949583
0,path_aligned_tuned,0.95,0.24,1651.425109417345
0,path_aligned_tuned,0.95,0.32,1601.5620000990589
0,path_aligned_tuned,0.95,0.45,1556.6915557256157
0,path_aligned_tuned,1.25,0.1,1798.9612117351785
0,path_aligned_tuned,1.25,0.14,1729.8946050991663
0,path_aligned_tuned,1.25,0.18,1676.9829887161623
0,path_aligned_tuned,1.25,0.24,1622.1611979922063
0,path_aligned_tuned,1.25,0.32,1575.4104154414094
0,path_aligned_tuned,1.25,0.45,1535.648152178132
0,path_aligned_tuned,1.6,0.1,1772.0839005476191
0,path_aligned_tuned,1.6,0.14,1703.860380122499
0,path_aligned_tuned,1.6,0.18,1651.380074407687
0,path_aligned_tuned,1.6,0.24,1597.6389950031412
0,path_aligned_tuned,1.6,0.32,1555.6055002917556
0,path_aligned_tuned,1.6,0.45,1522.465734693184
0,path_aligned_tuned,2.1,0.1,1741.643192730351
0,path_aligned_tuned,2.1,0.14,1677.5568954967775
0,path_aligned_tuned,2.1,0.18,1629.3826645947765
0,path_aligned_tuned,2.1,0.24,1578.0246854090174
0,path_aligned_tuned,2.1,0.32,1542.2340583636196
0,path_aligned_tuned,2.1,0.45,1517.2890676405887
1,path_aligned_tuned,0.45,0.1,1867.8913605466932
1,path_aligned_tuned,0.45,0.14,1807.069841142931
1,path_aligned_tuned,0.45,0.18,1762.064454996044
1,path_aligned_tuned,0.45,0.24,1709.005324739355
1,path_aligned_tuned,0.45,0.32,1657.8534945325948
1,path_aligned_tuned,0.45,0.45,1601.3092075294946
1,path_aligned_tuned,0.7,0.1,1838.7758686286725
1,path_aligned_tuned,0.7,0.14,1772.738797031783
1,path_aligned_tuned,0.7,0.18,1721.913291921696
1,path_aligned_tuned,0.7,0.24,1661.2034786817812
1,path_aligned_tuned,0.7,0.32,1607.2405070856196
1,path_aligned_tuned,0.7,0.45,1550.4872097625698
1,path_aligned_tuned,0.95,0.1,1811.2881985223669
1,path_aligned_tuned,0.95,0.14,1744.3202658706514
1,path_aligned_tuned,0.95,0.18,1691.3958558964796
1,path_aligned_tuned,0.95,0.24,1628.569935722597
1,path_aligned_tuned,0.95,0.32,1576.370113845392
1,path_aligned_tuned,0.95,0.45,1523.5074358310815
1,path_aligned_tuned,1.25,0.1,1782.6042257433305
1,path_aligned_tuned,1.25,0.14,1715.5351828646542
1,path_aligned_tuned,1.25,0.18,1661.4525941769487
1,path_aligned_tuned,1.25,0.24,1598.9361567112487
1,path_aligned_tuned,1.25,0.32,1549.6271872071088
1,path_aligned_tuned,1.25,0.45,1503.5913743894996
1,path_aligned_tuned,1.6,0.1,1754.1757839181153
1,path_aligned_tuned,1.6,0.14,1688.2337363471559
1,path_aligned_tuned,1.6,0.18,1634.298898261743
1,path_aligned_tuned,1.6,0.24,1573.8458675221557
1,path_aligned_tuned,1.6,0.32,1527.7340002836602
1,path_aligned_tuned,1.6,0.45,1487.089905325123
1,path_aligned_tuned,2.1,0.1,1720.8660814151988
1,path_aligned_tuned,2.1,0.14,1659.5162402829574
1,path_aligned_tuned,2.1,0.18,1609.204198210632
1,path_aligned_tuned,2.1,0.24,1552.0431952386036
1,path_aligned_tuned,2.1,0.32,1509.2343168835903
1,path_aligned_tuned,2.1,0.45,1473.597764214175
2,path_aligned_tuned,0.45,0.1,1869.1618605385952
2,path_aligned_tuned,0.45,0.14,1810.6524937212935
2,path_aligned_tuned,0.45,0.18,1766.6469972157277
2,path_aligned_tuned,0.45,0.24,1720.1245613589267
2,path_aligned_tuned,0.45,0.32,1681.2259886565098
2,path_aligned_tuned,0.45,0.45,1626.6951999704443
2,path_aligned_tuned,0.7,0.1,1840.70613620999
2,path_aligned_tuned,0.7,0.14,1776.5020778678258
2,path_aligned_tuned,0.7,0.18,1726.9031597199453
2,path_aligned_tuned,0.7,0.24,1674.476676440767
2,path_aligned_tuned,0.7,0.32,1632.462314007961
2,path_aligned_tuned,0.7,0.45,1580.9478673299286
2,path_aligned_tuned,0.95,0.1,1813.999908251988
2,path_aligned_tuned,0.95,0.14,1748.8105469281911
2,path_aligned_tuned,0.95,0.18,1697.7531869398042
2,path_aligned_tuned,0.95,0.24,1643.0599239354267
2,path_aligned_tuned,0.95,0.32,1600.9453802163443
2,path_aligned_tuned,0.95,0.45,1554.2014584975623
2,path_aligned_tuned,1.25,0.1,1786.5212849567943
2,path_aligned_tuned,1.25,0.14,1722.1288112659242
2,path_aligned_tuned,1.25,0.18,1671.5077293082065
2,path_aligned_tuned,1.25,0.24,1615.7151250705897
2,path_aligned_tuned,1.25,0.32,1574.9795904634132
2,path_aligned_tuned,1.25,0.45,1531.7014683594634
2,path_aligned_tuned,1.6,0.1,1760.2745620719693
2,path_aligned_tuned,1.6,0.14,1698.232071789709
2,path_aligned_tuned,1.6,0.18,1649.1487328411874
2,path_aligned_tuned,1.6,0.24,1594.0947571900012
2,path_aligned_tuned,1.6,0.32,1555.085977740534
2,path_aligned_tuned,1.6,0.45,1513.742965858863
2,path_aligned_tuned,2.1,0.1,1730.941523832517
2,path_aligned_tuned,2.1,0.14,1675.3167214320933
2,path_aligned_tuned,2.1,0.18,1630.9822656903946
2,path_aligned_tuned,2.1,0.24,1579.0981890132434
2,path_aligned_tuned,2.1,0.32,1539.8653528960333
2,path_aligned_tuned,2.1,0.45,1501.1584578385718
3,path_aligned_tuned,0.45,0.1,1869.1824208703447
3,path_aligned_tuned,0.45,0.14,1807.2344043347703
3,path_aligned_tuned,0.45,0.18,1764.579666109093
3,path_aligned_tuned,0.45,0.24,1713.5128453169286
3,path_aligned_tuned,0.45,0.32,1667.792837606247
3,path_aligned_tuned,0.45,0.45,1611.7658867308564
3,path_aligned_tuned,0.7,0.1,1840.7359011935243
3,path_aligned_tuned,0.7,0.14,1773.7765509874584
3,path_aligned_tuned,0.7,0.18,1725.8024643618155
3,path_aligned_tuned,0.7,0.24,1668.3472892240686
3,path_aligned_tuned,0.7,0.32,1618.3940936147521
3,path_aligned_tuned,0.7,0.45,1562.0451837308885
3,path_aligned_tuned,0.95,0.1,1813.6442857721493
3,path_aligned_tuned,0.95,0.14,1745.2304410138697
3,path_aligned_tuned,0.95,0.18,1695.0333801272805
3,path_aligned_tuned,0.95,0.24,1636.8940699170103
3,path_aligned_tuned,0.95,0.32,1589.0290832271464
3,path_aligned_tuned,0.95,0.45,1535.0693757024903
3,path_aligned_tuned,1.25,0.1,1785.1944520712343
3,path_aligned_tuned,1.25,0.14,1716.1888115694885
3,path_aligned_tuned,1.25,0.18,1666.0506319376063
3,path_aligned_tuned,1.25,0.24,1609.9419542250384
3,path_aligned_tuned,1.25,0.32,1564.2322487205415
3,path_aligned_tuned,1.25,0.45,1514.1775314103604
3,path_aligned_tuned,1.6,0.1,1757.412265690735
3,path_aligned_tuned,1.6,0.14,1689.9867217691578
3,path_aligned_tuned,1.6,0.18,1641.0366560574541
3,path_aligned_tuned,1.6,0.24,1587.0419570852487
3,path_aligned_tuned,1.6,0.32,1544.2239355233553
3,path_aligned_tuned,1.6,0.45,1498.293936300354
3,path_aligned_tuned,2.1,0.1,1725.8567312225491
3,path_aligned_tuned,2.1,0.14,1665.2611037330914
3,path_aligned_tuned,2.1,0.18,1620.6716013466487
3,path_aligned_tuned,2.1,0.24,1569.2402553468796
3,path_aligned_tuned,2.1,0.32,1529.2007581157538
3,path_aligned_tuned,2.1,0.45,1486.7296716591343
4,path_aligned_tuned,0.45,0.1,1869.6843159563416
4,path_aligned_tuned,0.45,0.14,1818.8405377341446
4,path_aligned_tuned,0.45,0.18,1782.5444339786084
4,path_aligned_tuned,0.45,0.24,1737.5412224741112
4,path_aligned_tuned,0.45,0.32,1691.342466569855
4,path_aligned_tuned,0.45,0.45,1635.407295092241
4,path_aligned_tuned,0.7,0.1,1841.0079205513762
4,path_aligned_tuned,0.7,0.14,1785.2492712400508
4,path_aligned_tuned,0.7,0.18,1743.5671533665125
4,path_aligned_tuned,0.7,0.24,1692.1719478736197
4,path_aligned_tuned,0.7,0.32,1640.6044494122298
4,path_aligned_tuned,0.7,0.45,1582.2639674976467
4,path_aligned_tuned,0.95,0.1,1814.0384055584625
4,path_aligned_tuned,0.95,0.14,1756.9233033734065
4,path_aligned_tuned,0.95,0.18,1712.6063504731794
4,path_aligned_tuned,0.95,0.24,1659.5519715685314
4,path_aligned_tuned,0.95,0.32,1608.0338914994427
4,path_aligned_tuned,0.95,0.45,1553.391143359969
4,path_aligned_tuned,1.25,0.1,1786.0379003417133
4,path_aligned_tuned,1.25,0.14,1728.906285212309
4,path_aligned_tuned,1.25,0.18,1682.765605215952
4,path_aligned_tuned,1.25,0.24,1630.0958685734913
4,path_aligned_tuned,1.25,0.32,1581.0782097768213
4,path_aligned_tuned,1.25,0.45,1531.7902616456033
4,path_aligned_tuned,1.6,0.1,1758.453926765089
4,path_aligned_tuned,1.6,0.14,1703.3384106662572
4,path_aligned_tuned,1.6,0.18,1656.385213129588
4,path_aligned_tuned,1.6,0.24,1604.5745155767793
4,path_aligned_tuned,1.6,0.32,1558.4217193106356
4,path_aligned_tuned,1.6,0.45,1513.5586604873824
4,path_aligned_tuned,2.1,0.1,1726.219059682772
4,path_aligned_tuned,2.1,0.14,1675.6021420862226
4,path_aligned_tuned,2.1,0.18,1631.0564704133506
4,path_aligned_tuned,2.1,0.24,1581.2985932319423
4,path_aligned_tuned,2.1,0.32,1538.5917313543252
4,path_aligned_tuned,2.1,0.45,1497.3926527947465
5,path_aligned_tuned,0.45,0.1,1875.8984894215082
5,path_aligned_tuned,0.45,0.14,1811.8905043447726
5,path_aligned_tuned,0.45,0.18,1769.3242251839715
5,path_aligned_tuned,0.45,0.24,1720.175176721977
5,path_aligned_tuned,0.45,0.32,1677.5602677263141
5,path_aligned_tuned,0.45,0.45,1627.9586151817134
5,path_aligned_tuned,0.7,0.1,1846.3640521627017
5,path_aligned_tuned,0.7,0.14,1775.9378060870722
5,path_aligned_tuned,0.7,0.18,1727.7811045164103
5,path_aligned_tuned,0.7,0.24,1671.8139908029848
5,path_aligned_tuned,0.7,0.32,1624.1811346352742
5,path_aligned_tuned,0.7,0.45,1574.097312261917
5,path_aligned_tuned,0.95,0.1,1818.4680965649122
5,path_aligned_tuned,0.95,0.14,1745.9485968683234
5,path_aligned_tuned,0.95,0.18,1696.7154034679957
5,path_aligned_tuned,0.95,0.24,1639.6635354768441
5,path_aligned_tuned,0.95,0.32,1591.1346108849511
5,path_aligned_tuned,0.95,0.45,1542.6247422820957
5,path_aligned_tuned,1.25,0.1,1789.66676731276
5,path_aligned_tuned,1.25,0.14,1716.5984018553431
5,path_aligned_tuned,1.25,0.18,1667.9589224817228
5,path_aligned_tuned,1.25,0.24,1611.8891100622386
5,path_aligned_tuned,1.25,0.32,1565.090296550382
5,path_aligned_tuned,1.25,0.45,1519.57688119268
5,path_aligned_tuned,1.6,0.1,1761.7342826349773
5,path_aligned_tuned,1.6,0.14,1690.183724356199
5,path_aligned_tuned,1.6,0.18,1643.2945338385607
5,path_aligned_tuned,1.6,0.24,1588.9799636529942
5,path_aligned_tuned,1.6,0.32,1544.4706000215338
5,path_aligned_tuned,1.6,0.45,1503.6373482542149
5,path_aligned_tuned,2.1,0.1,1729.9360054794138
5,path_aligned_tuned,2.1,0.14,1664.1316299186788
5,path_aligned_tuned,2.1,0.18,1622.2775840957952
5,path_aligned_tuned,2.1,0.24,1571.2609088650697
5,path_aligned_tuned,2.1,0.32,1528.347531429592
5,path_aligned_tuned,2.1,0.45,1493.1988607033863
6,path_aligned_tuned,0.45,0.1,1868.0532803361127
6,path_aligned_tuned,0.45,0.14,1810.8698758502962
6,path_aligned_tuned,0.45,0.18,1772.674277668954
6,path_aligned_tuned,0.45,0.24,1726.663073960199
6,path_aligned_tuned,0.45,0.32,1682.9344241190627
6,path_aligned_tuned,0.45,0.45,1636.1327250634226
6,path_aligned_tuned,0.7,0.1,1838.764757063873
6,path_aligned_tuned,0.7,0.14,1775.2716580805663
6,path_aligned_tuned,0.7,0.18,1731.525028436256
6,path_aligned_tuned,0.7,0.24,1679.1884851926454
6,path_aligned_tuned,0.7,0.32,1630.8003973967516
6,path_aligned_tuned,0.7,0.45,1582.9203932471007
6,path_aligned_tuned,0.95,0.1,1811.0060942385117
6,path_aligned_tuned,0.95,0.14,1745.6444213128555
6,path_aligned_tuned,0.95,0.18,1701.023842241302
6,path_aligned_tuned,0.95,0.24,1647.5962188953786
6,path_aligned_tuned,0.95,0.32,1600.0263899854012
6,path_aligned_tuned,0.95,0.45,1557.3888866337377
6,path_aligned_tuned,1.25,0.1,1782.1795328788878
6,path_aligned_tuned,1.25,0.14,1716.5465131746141
6,path_aligned_tuned,1.25,0.18,1672.6360308105525
6,path_aligned_tuned,1.25,0.24,1620.493918316609
6,path_aligned_tuned,1.25,0.32,1574.8208732635346
6,path_aligned_tuned,1.25,0.45,1537.657879971479
6,path_aligned_tuned,1.6,0.1,1754.2061272518029
6,path_aligned_tuned,1.6,0.14,1690.815598081655
6,path_aligned_tuned,1.6,0.18,1648.8819423415364
6,path_aligned_tuned,1.6,0.24,1598.9281416765136
6,path_aligned_tuned,1.6,0.32,1554.8371849643493
6,path_aligned_tuned,1.6,0.45,1520.571894084949
6,path_aligned_tuned,2.1,0.1,1722.242935078342
6,path_aligned_tuned,2.1,0.14,1665.3446422800998
6,path_aligned_tuned,2.1,0.18,1627.9179139654707
6,path_aligned_tuned,2.1,0.24,1580.3187606121564
6,path_aligned_tuned,2.1,0.32,1537.6830187795917
6,path_aligned_tuned,2.1,0.45,1506.1267027372576
7,path_aligned_tuned,0.45,0.1,1882.8424145229637
7,path_aligned_tuned,0.45,0.14,1817.3908385078507
7,path_aligned_tuned,0.45,0.18,1771.6773863306084
7,path_aligned_tuned,0.45,0.24,1722.8511676952166
7,path_aligned_tuned,0.45,0.32,1672.0763957461472
7,path_aligned_tuned,0.45,0.45,1616.3400260790227
7,path_aligned_tuned,0.7,0.1,1854.666361624953
7,path_aligned_tuned,0.7,0.14,1784.2723219208224
7,path_aligned_tuned,0.7,0.18,1731.8693120088928
7,path_aligned_tuned,0.7,0.24,1674.8155772672885
7,path_aligned_tuned,0.7,0.32,1620.1623204628959
7,path_aligned_tuned,0.7,0.45,1567.9323182234698
7,path_aligned_tuned,0.95,0.1,1828.2316019029436
7,path_aligned_tuned,0.95,0.14,1758.7160092744243
7,path_aligned_tuned,0.95,0.18,1705.304440953415
7,path_aligned_tuned,0.95,0.24,1646.5015599824646
7,path_aligned_tuned,0.95,0.32,1592.130974404061
7,path_aligned_tuned,0.95,0.45,1548.1156467220444
7,path_aligned_tuned,1.25,0.1,1800.9599567319256
7,path_aligned_tuned,1.25,0.14,1734.9104366907372
7,path_aligned_tuned,1.25,0.18,1682.3142982889012
7,path_aligned_tuned,1.25,0.24,1623.5325180632026
7,path_aligned_tuned,1.25,0.32,1573.3472761920766
7,path_aligned_tuned,1.25,0.45,1537.99688303399
7,path_aligned_tuned,1.6,0.1,1774.1994637980856
7,path_aligned_tuned,1.6,0.14,1714.4544205949355
7,path_aligned_tuned,1.6,0.18,1662.8430528580143
7,path_aligned_tuned,1.6,0.24,1603.686779608975
7,path_aligned_tuned,1.6,0.32,1557.1277216510293
7,path_aligned_tuned,1.6,0.45,1529.1800943670396
7,path_aligned_tuned,2.1,0.1,1742.6889332458568
7,path_aligned_tuned,2.1,0.14,1694.995930897378
7,path_aligned_tuned,2.1,0.18,1647.1021424105743
7,path_aligned_tuned,2.1,0.24,1588.4744718899942
7,path_aligned_tuned,2.1,0.32,1546.5975930767904
7,path_aligned_tuned,2.1,0.45,1524.6628772448926
8,path_aligned_tuned,0.45,0.1,1886.5486122880056
8,path_aligned_tuned,0.45,0.14,1830.335176077624
8,path_aligned_tuned,0.45,0.18,1784.9589313665679
8,path_aligned_tuned,0.45,0.24,1734.6755800591259
8,path_aligned_tuned,0.45,0.32,1684.2263245895692
8,path_aligned_tuned,0.45,0.45,1626.315498296476
8,path_aligned_tuned,0.7,0.1,1857.6007586631858
8,path_aligned_tuned,0.7,0.14,1795.6759735105593
8,path_aligned_tuned,0.7,0.18,1744.7168882911155
8,path_aligned_tuned,0.7,0.24,1687.4865670398522
8,path_aligned_tuned,0.7,0.32,1631.5351320515551
8,path_aligned_tuned,0.7,0.45,1575.6405073815258
8,path_aligned_tuned,0.95,0.1,1830.5862228353053
8,path_aligned_tuned,0.95,0.14,1767.0317705664588
8,path_aligned_tuned,0.95,0.18,1714.3349160889852
8,path_aligned_tuned,0.95,0.24,1654.7441801218183
8,path_aligned_tuned,0.95,0.32,1599.275534743569
8,path_aligned_tuned,0.95,0.45,1546.710318585583
8,path_aligned_tuned,1.25,0.1,1803.0338288928447
8,path_aligned_tuned,1.25,0.14,1739.0267505660217
8,path_aligned_tuned,1.25,0.18,1685.2833800752915
8,path_aligned_tuned,1.25,0.24,1625.1775634800847
8,path_aligned_tuned,1.25,0.32,1572.6612642369168
8,path_aligned_tuned,1.25,0.45,1526.467023214354
8,path_aligned_tuned,1.6,0.1,1776.3601547484486
8,path_aligned_tuned,1.6,0.14,1713.5180878180245
8,path_aligned_tuned,1.6,0.18,1660.2137529567335
8,path_aligned_tuned,1.6,0.24,1601.8180561230151
8,path_aligned_tuned,1.6,0.32,1554.6136826537227
8,path_aligned_tuned,1.6,0.45,1518.4239091184631
8,path_aligned_tuned,2.1,0.1,1747.2577234879627
8,path_aligned_tuned,2.1,0.14,1688.518196789591
8,path_aligned_tuned,2.1,0.18,1638.2293798390715
8,path_aligned_tuned,2.1,0.24,1584.824415080639
8,path_aligned_tuned,2.1,0.32,1546.0676347642493
8,path_aligned_tuned,2.1,0.45,1519.1670813108535
9,path_aligned_tuned,0.45,0.1,1884.5538004778514
9,path_aligned_tuned,0.45,0.14,1824.69426829465
9,path_aligned_tuned,0.45,0.18,1782.9059238509144
