method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
exact clipped,0.1124204092431358,0.2882359883175966,1520.195695818044,856.219908796926,663.975787021118,0.6034482758620694,0.12068965517241415,856.219908796926,15.150229227769325,826.5254595104981,885.9143580833539,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,0,rbf,0.7,
discard saturated,0.15229681568623551,0.4026431529513686,1520.195695818044,719.8248651068701,800.3708307111739,0.6034482758620694,0.12068965517241415,613.9568946902585,62.74855006987844,490.9697365532968,736.9440528272203,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,0,rbf,0.7,
censored Laplace,0.10513202682131122,0.26546854565410644,1520.195695818044,914.4083892949625,605.7873065230815,0.6034482758620694,0.12068965517241415,911.4596919781841,28.425706990618494,855.7453062765718,967.1740776797964,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,0,rbf,0.7,
censored sampled,0.10611253056069929,0.26723280686767226,1520.195695818044,922.799935637898,597.395760180146,0.6034482758620694,0.12068965517241415,917.4316968780897,15.401089921013712,891.3046849787949,952.8527569150932,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,0,rbf,0.7,
oracle true,0.06519059487598279,0.12431023290290041,1520.195695818044,1259.1113370070875,261.0843588109565,0.6034482758620694,0.12068965517241415,1259.1113370070875,15.150229227769325,1229.4168877206596,1288.8057862935154,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,0,rbf,0.7,
exact clipped,0.11594217152629432,0.30511995969361255,1520.195695818044,828.448662752808,691.747033065236,0.6034482758620694,0.12068965517241415,805.9736197506176,254.18187847241762,307.77713794467905,1304.1701015565561,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,0,rbf,1.1,0.2
discard saturated,0.1320834052794333,0.3514708467763147,1520.195695818044,780.5433493172321,739.6523465008119,0.6034482758620694,0.12068965517241415,711.952290547173,258.7992772861875,204.70570706624557,1219.1988740281004,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,0,rbf,1.1,0.2
censored Laplace,0.10459634476042753,0.26971306611104484,1520.195695818044,934.4021912213705,585.7935045966735,0.6034482758620694,0.12068965517241415,861.6958087948193,254.80048079076735,362.2868664449153,1361.1047511447232,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,0,rbf,1.1,0.2
censored sampled,0.2447937144114722,0.34762052117516823,1520.195695818044,951.7484272536634,568.4472685643806,0.6034482758620694,0.12068965517241415,728.3998944019314,277.9252913258008,28.328163145979417,1168.477701654587,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,0,rbf,1.1,0.2
oracle true,0.06640971342060573,0.14848400272943185,1520.195695818044,1185.571115195386,334.62458062265796,0.6034482758620694,0.12068965517241415,1185.571115195386,254.18187847241762,687.3746333894476,1683.7675970013245,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,0,rbf,1.1,0.2
exact clipped,0.12237518972301557,0.2982762085098738,1520.195695818044,1057.2970207613967,462.89867505664733,0.6034482758620694,0.12068965517241415,832.5074012737626,39.20841233647386,755.6589130942739,909.3558894532514,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,0,path_aligned,1.1,0.2
discard saturated,0.0749949876945177,0.1354369557944619,1520.195695818044,1371.3403886127358,148.85530720530824,0.6034482758620694,0.12068965517241415,1371.3403886127358,318.8048747137809,746.4828341737251,1996.1979430517463,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,0,path_aligned,1.1,0.2
censored Laplace,0.096734538287026,0.19987940134660562,1520.195695818044,1278.7519903179543,241.44370550008966,0.6034482758620694,0.12068965517241415,1268.1167674983908,283.61325418564115,712.2347892945342,1823.9987457022476,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,0,path_aligned,1.1,0.2
censored sampled,0.09974917131587341,0.19228403302456878,1520.195695818044,1472.9403430387079,47.255352779336135,0.6034482758620694,0.12068965517241415,1472.9403430387079,233.82195007791637,1096.2125861204836,2016.3446509176342,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,0,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,0,path_aligned,1.1,0.2
exact clipped,0.10920586233557736,0.28261778703958923,1520.195695818044,863.6256780430689,656.5700177749751,0.6034482758620694,0.12068965517241415,863.6256780430689,12.66706243368589,838.7982356730446,888.4531204130932,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,0,path_aligned,2.1,0.45
discard saturated,0.09949897967489166,0.25445029359540566,1520.195695818044,934.2774452935831,585.9182505244609,0.6034482758620694,0.12068965517241415,934.2774452935831,34.75969288875076,866.1484472316316,1002.4064433555346,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,0,path_aligned,2.1,0.45
censored Laplace,0.08624591328059107,0.21312018753365414,1520.195695818044,1001.2157964244616,518.9798993935824,0.6034482758620694,0.12068965517241415,999.6999831810429,27.727842610378033,945.3534116647019,1054.0465546973837,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,0,path_aligned,2.1,0.45
censored sampled,0.08909064886561625,0.21847420716017635,1520.195695818044,990.771531948146,529.4241638698979,0.6034482758620694,0.12068965517241415,986.6279758690109,28.27459734964531,935.2620435218643,1038.7204377596286,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,0,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,0,path_aligned,2.1,0.45
exact clipped,0.11189364684104862,0.2904405220598555,1520.195695818044,846.0574587103096,674.1382371077344,0.6034482758620694,0.12068965517241415,846.0574587103096,15.150229227769325,816.3630094238816,875.7519079967375,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,1,rbf,0.7,
discard saturated,0.16476394843138192,0.4346482739100789,1520.195695818044,742.1606281397729,778.035067678271,0.6034482758620694,0.12068965517241415,547.0704151045605,62.75756288241455,424.06559185502806,670.075238354093,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,1,rbf,0.7,
censored Laplace,0.10604894934976036,0.2723107447802919,1520.195695818044,889.0722803818928,631.1234154361512,0.6034482758620694,0.12068965517241415,888.3416563018747,24.44039433312808,840.4384834089436,936.2448291948057,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,1,rbf,0.7,
