kernel,kernel_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,lengthscale_s_mean,lengthscale_r_mean
isotropic_fixed,isotropic fixed,exact clipped,10,0.11242934097236697,0.000654735399872233,0.2896396153941193,668.7101680908382,5.083981915461073,15.150229227769325,59.38889857285585,0.0,0.7,
isotropic_fixed,isotropic fixed,discard saturated,10,0.1546595712786032,0.010686595582377249,0.40763667305264245,773.1375588152116,31.231927995329176,59.89573562141593,234.7912836359504,0.0,0.7,
isotropic_fixed,isotropic fixed,censored Laplace,10,0.1058273795519831,0.0013091367763212174,0.2691844696929258,616.0223926902702,12.518552620589535,27.338488482736768,107.16687485232816,0.0,0.7,
isotropic_fixed,isotropic fixed,censored sampled,10,0.11428550262760677,0.004001935160780471,0.2901177063933354,649.9302093152917,26.72680637775431,41.96898553152903,145.82830413121252,0.0,0.7,
isotropic_fixed,isotropic fixed,oracle true,10,0.06519059487598279,0.0,0.12431023290290041,261.0843588109565,0.0,15.150229227769325,59.38889857285585,0.0,0.7,
anisotropic_informed,global anisotropic,exact clipped,10,0.1157938922739182,0.00040923862224021484,0.3055547749085362,689.0575369804629,4.02415834635694,254.18187847241762,996.3929636118771,0.0,1.1,0.2
anisotropic_informed,global anisotropic,discard saturated,10,0.1361825654175396,0.006772910481055247,0.356103304864602,585.2345553465857,130.79330363651397,258.77605763260317,1014.4021459198044,0.0,1.1,0.2
anisotropic_informed,global anisotropic,censored Laplace,10,0.10751506629747634,0.003117071146869714,0.2702269420868133,529.004671201162,70.51029154050278,254.81553452000247,998.8768953184097,0.0,1.1,0.2
anisotropic_informed,global anisotropic,censored sampled,10,0.20090025103736284,0.02601631198244549,0.27431036219463456,483.3516632908918,79.75124782186053,263.5496205129035,1031.3992555225684,0.2,1.1,0.2
anisotropic_informed,global anisotropic,oracle true,10,0.06640971342060573,0.0,0.14848400272943185,334.62458062265796,0.0,254.18187847241762,996.392963611877,1.0,1.1,0.2
path_aligned_fixed,path-aligned fixed,exact clipped,10,0.12046959657157696,0.0012795117388528484,0.2957037609869726,512.3018328254265,30.87506707479098,39.20841233647386,153.6969763589775,0.0,1.1,0.2
path_aligned_fixed,path-aligned fixed,discard saturated,10,0.08478051474031645,0.010006093669821702,0.1701594936374314,244.9274244523246,60.065544542584036,319.40731519258935,1252.0766755549503,1.0,1.1,0.2
path_aligned_fixed,path-aligned fixed,censored Laplace,10,0.0996072986059337,0.008941806201336272,0.2089719735571741,195.6211205913521,78.99373030030809,282.08130657304594,1105.75872176634,1.0,1.1,0.2
path_aligned_fixed,path-aligned fixed,censored sampled,10,0.10307875582464392,0.012196720859802165,0.2093408729916383,58.55412224956196,36.76597781624841,244.77515433588533,940.1877985356157,1.0,1.1,0.2
path_aligned_fixed,path-aligned fixed,oracle true,10,0.06283467139547919,0.0,0.1248761414255026,79.14990083418797,0.0,39.20841233647386,153.69697635897774,0.0,1.1,0.2
path_aligned_tuned,path-aligned tuned,exact clipped,10,0.10923236065460921,0.000667714008186608,0.2836799371216827,658.7987986767928,4.145750961102527,12.820758158664509,50.257371981964795,0.0,2.05,0.45
path_aligned_tuned,path-aligned tuned,discard saturated,10,0.10294041571015682,0.006110245703642408,0.2620652749362441,584.3546309970627,17.070968191463354,35.066431718703804,137.46041233731893,0.0,2.05,0.45
path_aligned_tuned,path-aligned tuned,censored Laplace,10,0.08649316579754199,0.002052475783753707,0.21503029129694648,523.396187083746,11.941917501077361,28.577272218754143,112.02290709751624,0.0,2.05,0.45
path_aligned_tuned,path-aligned tuned,censored sampled,10,0.08758897759865604,0.0033171668828308916,0.21640617587127298,523.4970688390582,21.374770887462976,28.112258997990438,102.66875648729524,0.0,2.05,0.45
path_aligned_tuned,path-aligned tuned,oracle true,10,0.05451851634591034,0.0016807067558489532,0.11401760044831215,251.60042893804058,16.882511620868513,12.820758158664509,50.257371981964795,0.0,2.05,0.45
