observation_seed,tuning_strategy,tuning_label,lengthscale_s,lengthscale_r
0,path_fixed,fixed geometry,1.1,0.2
0,path_unsat_mll,unsat MLL tuned,2.1,0.45
0,path_censored_mll,censored MLL tuned,1.6,0.45
1,path_fixed,fixed geometry,1.1,0.2
1,path_unsat_mll,unsat MLL tuned,2.1,0.45
1,path_censored_mll,censored MLL tuned,1.6,0.45
2,path_fixed,fixed geometry,1.1,0.2
2,path_unsat_mll,unsat MLL tuned,2.1,0.45
2,path_censored_mll,censored MLL tuned,1.6,0.45
3,path_fixed,fixed geometry,1.1,0.2
3,path_unsat_mll,unsat MLL tuned,2.1,0.45
3,path_censored_mll,censored MLL tuned,1.6,0.45
4,path_fixed,fixed geometry,1.1,0.2
4,path_unsat_mll,unsat MLL tuned,2.1,0.45
4,path_censored_mll,censored MLL tuned,1.6,0.45
5,path_fixed,fixed geometry,1.1,0.2
5,path_unsat_mll,unsat MLL tuned,2.1,0.45
5,path_censored_mll,censored MLL tuned,2.1,0.45
6,path_fixed,fixed geometry,1.1,0.2
6,path_unsat_mll,unsat MLL tuned,2.1,0.45
6,path_censored_mll,censored MLL tuned,1.6,0.45
7,path_fixed,fixed geometry,1.1,0.2
7,path_unsat_mll,unsat MLL tuned,2.1,0.45
7,path_censored_mll,censored MLL tuned,1.6,0.45
8,path_fixed,fixed geometry,1.1,0.2
8,path_unsat_mll,unsat MLL tuned,1.6,0.45
8,path_censored_mll,censored MLL tuned,1.6,0.45
9,path_fixed,fixed geometry,1.1,0.2
9,path_unsat_mll,unsat MLL tuned,2.1,0.45
9,path_censored_mll,censored MLL tuned,1.6,0.45
