tuning_strategy,tuning_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,lengthscale_s_mean,lengthscale_r_mean
path_fixed,fixed geometry,exact clipped,10,0.12046959657157696,0.0012795117388528484,0.2957037609869726,512.3018328254265,30.87506707479098,39.20841233647386,153.6969763589775,0.0,1.1,0.2
path_fixed,fixed geometry,discard saturated,10,0.08478051474031645,0.010006093669821702,0.1701594936374314,244.9274244523246,60.065544542584036,319.40731519258935,1252.0766755549503,1.0,1.1,0.2
path_fixed,fixed geometry,censored Laplace,10,0.0996072986059337,0.008941806201336272,0.2089719735571741,195.6211205913521,78.99373030030809,282.08130657304594,1105.75872176634,1.0,1.1,0.2
path_fixed,fixed geometry,censored sampled,10,0.10146460217274263,0.012646144600924543,0.20929796658117242,48.13798004521368,44.30861000979045,253.5362609563726,977.510852740295,1.0,1.1,0.2
path_fixed,fixed geometry,oracle true,10,0.06283467139547919,0.0,0.1248761414255026,79.14990083418797,0.0,39.20841233647386,153.69697635897774,0.0,1.1,0.2
path_unsat_mll,unsat MLL tuned,exact clipped,10,0.10923236065460921,0.000667714008186608,0.2836799371216827,658.7987986767928,4.145750961102527,12.820758158664509,50.257371981964795,0.0,2.05,0.45
path_unsat_mll,unsat MLL tuned,discard saturated,10,0.10294041571015682,0.006110245703642408,0.2620652749362441,584.3546309970627,17.070968191463354,35.066431718703804,137.46041233731893,0.0,2.05,0.45
path_unsat_mll,unsat MLL tuned,censored Laplace,10,0.08649316579754199,0.002052475783753707,0.21503029129694648,523.396187083746,11.941917501077361,28.577272218754143,112.02290709751624,0.0,2.05,0.45
path_unsat_mll,unsat MLL tuned,censored sampled,10,0.08756968121021921,0.0028243022411951263,0.216315159093051,525.310930985228,19.507192764347,23.18124372650286,88.054115986207,0.0,2.05,0.45
path_unsat_mll,unsat MLL tuned,oracle true,10,0.05451851634591034,0.0016807067558489532,0.11401760044831215,251.60042893804058,16.882511620868513,12.820758158664509,50.257371981964795,0.0,2.05,0.45
path_censored_mll,censored MLL tuned,exact clipped,10,0.10946566368124441,0.0007273431767079459,0.2844407909444661,657.5605442554547,2.526936962996681,14.050323958493454,55.07726991729437,0.0,1.65,0.45
path_censored_mll,censored MLL tuned,discard saturated,10,0.10069268764849489,0.004960475143874132,0.2557663768285961,571.1831405945475,16.42901996119498,44.894544839601906,175.98661577123946,0.0,1.65,0.45
path_censored_mll,censored MLL tuned,censored Laplace,10,0.08535022623529949,0.0028407973682718314,0.21095579389535923,509.96732593907274,14.3389490014927,34.38302781396706,134.78146903075088,0.0,1.65,0.45
path_censored_mll,censored MLL tuned,censored sampled,10,0.08601134403091829,0.004320506204812819,0.21120689121334157,511.1206094235755,26.869681260896673,29.318943615314744,107.54502416496189,0.0,1.65,0.45
path_censored_mll,censored MLL tuned,oracle true,10,0.05026662720405817,0.0016807067558489534,0.1044936653283848,208.8906774610761,16.882511620868517,14.050323958493454,55.07726991729437,0.0,1.65,0.45
