observation_seed,objective,lengthscale_s,lengthscale_r,negative_log_marginal_likelihood,tuning_strategy,tuning_label
0,unsat_mll,0.45,0.1,1882.3548782186772,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.45,0.14,1819.2532166269184,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.45,0.18,1773.1666702488315,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.45,0.24,1728.910447989896,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.45,0.32,1685.4577733931378,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.45,0.45,1632.1727496377202,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.7,0.1,1853.5880541255115,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.7,0.14,1785.5321956599655,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.7,0.18,1734.3430093991115,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.7,0.24,1683.2926966516793,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.7,0.32,1633.1660667612455,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.7,0.45,1583.6690430738836,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.95,0.1,1826.6279067353275,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.95,0.14,1757.8551772239207,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.95,0.18,1705.5684902949583,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.95,0.24,1651.425109417345,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.95,0.32,1601.5620000990589,path_unsat_mll,unsat MLL tuned
0,unsat_mll,0.95,0.45,1556.6915557256157,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.25,0.1,1798.9612117351785,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.25,0.14,1729.8946050991663,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.25,0.18,1676.9829887161623,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.25,0.24,1622.1611979922063,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.25,0.32,1575.4104154414094,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.25,0.45,1535.648152178132,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.6,0.1,1772.0839005476191,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.6,0.14,1703.860380122499,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.6,0.18,1651.380074407687,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.6,0.24,1597.6389950031412,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.6,0.32,1555.6055002917556,path_unsat_mll,unsat MLL tuned
0,unsat_mll,1.6,0.45,1522.465734693184,path_unsat_mll,unsat MLL tuned
0,unsat_mll,2.1,0.1,1741.643192730351,path_unsat_mll,unsat MLL tuned
