source_amplitude_fraction_sd,source_amplitude_timescale_multiplier,source_amplitude_timescale_s,fixed_top_01_crps_K,mean_crps_K,excess_field_rel_l2,peak_absolute_error_K,hot_region_95_coverage
0.0,1.0,0.0005000000000000004,2.6892844768088797,0.5761123013937399,0.3667936193653926,6.919507524919955,0.9210526315789473
0.1,1.0,0.0005000000000000004,2.67538335584074,0.5759691262464838,0.3667936193653926,6.919507524919955,0.9254385964912281
0.1,3.0,0.0015000000000000013,2.67538335584074,0.5759691262464838,0.3667936193653926,6.919507524919955,0.9254385964912281
0.1,10.0,0.0050000000000000044,2.67538335584074,0.5759691262464838,0.3667936193653926,6.919507524919955,0.9254385964912281
0.25,1.0,0.0005000000000000004,2.6671392044139517,0.5758904305693172,0.3667936193653926,6.919507524919955,0.9298245614035089
0.25,3.0,0.0015000000000000013,2.6671392044139517,0.5758904305693172,0.3667936193653926,6.919507524919955,0.9298245614035089
0.25,10.0,0.0050000000000000044,2.6671392044139517,0.5758904305693172,0.3667936193653926,6.919507524919955,0.9298245614035089
0.5,1.0,0.0005000000000000004,2.6861336815834123,0.5761127424361824,0.3667936193653926,6.919507524919955,0.9342105263157894
0.5,3.0,0.0015000000000000013,2.6861336815834123,0.5761127424361824,0.3667936193653926,6.919507524919955,0.9342105263157894
0.5,10.0,0.0050000000000000044,2.6861336815834123,0.5761127424361824,0.3667936193653926,6.919507524919955,0.9342105263157894
1.0,1.0,0.0005000000000000004,2.7653472034116873,0.5770306896234118,0.3667936193653926,6.919507524919955,0.9473684210526315
1.0,3.0,0.0015000000000000013,2.7653472034116873,0.5770306896234118,0.3667936193653926,6.919507524919955,0.9473684210526315
1.0,10.0,0.0050000000000000044,2.7653472034116873,0.5770306896234118,0.3667936193653926,6.919507524919955,0.9473684210526315
