trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,source_amplitude_fraction_sd,source_amplitude_timescale_s
DiagonalScanPath_1,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.6560504149699,0.452485744442776,0.4325303935178855,334.19579037327884,340.26376783262305,6.067977459344206,3.3985568836258127,False,0.9972011195521792,0.9210526315789472,0.7342419046520232,1.5536182363864195,11.351272550608735,11.8426502701486,20.33623338446461,1.0,False,0.9210526315789472,11.8426502701486,20.33623338446461,2.841395999946845,3.866734926318576,1.5536182363864195,1.9404767421002072,1.2966762800610765,1.452285024663967,1.0030121087944828,0.8237341329516251,4.789194398726579,6.067977459344206,4.789194398726576,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_1,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,5,294.6560504149699,0.4556435980248365,0.4346571028382031,334.19579037327884,340.29609799193656,6.100307618657723,3.3985568836172493,False,0.9976009596161536,0.9342105263157896,0.7351391499282359,1.569900374977831,11.358332022188105,11.915280170066715,20.900490272271885,1.0,False,0.9342105263157896,11.915280170066715,20.900490272271885,2.8504368761098373,3.874909617789117,1.569900374977831,1.976924633785091,1.300622919845165,1.4674524626783874,1.0099944541105896,0.841468342358721,4.595332195218303,6.100307618657723,4.595332195218285,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_2,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,294.7833581687172,0.4712006516081814,0.4664630277442201,330.73381085494185,326.55223350403946,4.181577350902387,3.3985568836172493,True,0.9988004798080768,0.9605263157894736,0.7332016527835111,1.568362355573549,11.36944176473046,12.245453484581928,18.423079150037257,1.0,True,0.9605263157894736,12.245453484581928,18.423079150037257,2.984101033377077,4.220699440478171,1.568362355573549,1.8862341581701707,1.2609371111732548,1.312606142009096,0.9867517832851566,0.7314415489414521,2.5434475323103767,4.181577350902387,2.3031735033319984,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_2,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,3,294.7833581687172,0.4748573854261614,0.4694578035005144,330.73381085494185,326.5683042678897,4.165506587052164,3.3985568836172493,True,0.9972011195521792,0.9078947368421052,0.7354509443972465,1.610166256063873,11.37632644169986,11.995856489040726,18.92874627956093,1.0,True,0.9078947368421052,11.995856489040726,18.92874627956093,3.0191504602967996,4.220382905118688,1.610166256063873,1.961155092769592,1.2747140497613567,1.3628883827660296,0.996490800563406,0.7650979932327616,2.160058222799843,4.165506587052164,2.015385793396809,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_3,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.9015209525281,0.4467554640149482,0.4566124085935321,326.4740358780628,331.49298070790206,5.018944829839256,3.3985881686745785,False,0.9968012794882048,0.8947368421052632,0.7321841232844435,1.5778441494891664,11.347496891671456,11.945035301587046,23.06591222793802,1.0,False,0.8947368421052632,11.945035301587046,23.06591222793802,2.969835240395138,3.851077031746406,1.5778441494891664,1.8078980970737415,1.2484540299801608,1.2115505709703152,0.9816677587394084,0.6701032932630471,5.936521641486398,7.5379289476535405,3.352703927438534,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_3,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,5,294.9015209525281,0.4503234493936997,0.4602165162709005,326.4740358780628,331.51752861246507,5.043492734402264,3.3985842688687975,False,0.9972011195521792,0.9078947368421052,0.7322484914181433,1.5697490808566292,11.36060378818785,12.045715400009051,20.774298291605607,1.0,False,0.9078947368421052,12.045715400009051,20.774298291605607,2.9311843999427585,3.886146202625796,1.5697490808566292,1.85749749762485,1.23747264487869,1.2388430041887315,0.9784424916366397,0.6835895748673527,5.3707448015014325,7.524333093812288,3.523766322973446,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_4,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,295.3585248883726,0.4245161416061706,0.4375116165483058,331.63935958961497,339.1302619175939,7.490902327978915,3.398583546230008,False,0.9976009596161536,0.9210526315789472,0.7330121699696972,1.6078965305174773,11.359963748259178,12.024685375644594,23.744446463053983,1.0,False,0.9210526315789472,12.024685375644594,23.744446463053983,3.0743874701280536,4.131382165985466,1.6078965305174773,1.8672634548911955,1.2769829425536994,1.2326874587707406,0.9924080630931738,0.673707101115044,5.842019047640463,7.490902327978915,5.842019047640433,Diagonal,4,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_4,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,3,295.3585248883726,0.4311390775140374,0.4431372784552664,331.63935958961497,339.1642769746734,7.524917385058416,3.3985770099668127,False,0.9972011195521792,0.9078947368421052,0.7330407188548652,1.6026236119736583,11.363159080504737,11.958004857104456,22.842029966026793,1.0,False,0.9078947368421052,11.958004857104456,22.842029966026793,3.0232952680131837,4.21149174504199,1.6026236119736583,1.9405108374146816,1.2671282550166394,1.277074109276378,0.9926634904525576,0.7096882991214646,5.41590948933726,7.524917385058416,5.415909489337279,Diagonal,4,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_5,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,6,295.50866552712534,0.4142308908677463,0.4231081044123611,334.0359159203151,331.12939309264436,2.906522827670756,3.399742404834124,True,0.9984006397441024,0.9473684210526316,0.7333712914281046,1.5512763313129192,11.379034614078428,12.112183555765853,22.911795876026716,1.0,True,0.9473684210526316,12.112183555765853,22.911795876026716,2.8920443197292793,3.804429930463779,1.5512763313129192,1.7821646205034047,1.2701675374414445,1.3007699929083707,0.991881826668638,0.6939308233766083,2.221166725983256,2.906522827670756,2.2211667259832324,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_5,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,6,295.50866552712534,0.411027015996587,0.4187341742475,334.0359159203151,331.235564556319,2.8003513639961284,3.4012475092939227,True,0.9984006397441024,0.9473684210526316,0.73240578256236,1.4897999118535317,11.370536586274604,12.023587640565475,21.379467013815457,1.0,True,0.9473684210526316,12.023587640565475,21.379467013815457,2.707878913969343,3.723287986616264,1.4897999118535317,1.7671737190576753,1.226641974208515,1.280131713799737,0.9724588217468702,0.695904962486795,1.5347261285873923,2.8003513639961284,1.5295194006169217,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,0.0003125,,,,
