trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,source_amplitude_fraction_sd,source_amplitude_timescale_s
DiagonalScanPath_1,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.6560504149699,0.452485744442776,0.4325303935178855,334.19579037327884,340.26376783262305,6.067977459344206,3.3985568836258127,False,0.9972011195521792,0.9210526315789472,0.7342419046520232,1.5536182363864195,11.351272550608735,11.8426502701486,20.33623338446461,1.0,False,0.9210526315789472,11.8426502701486,20.33623338446461,2.841395999946845,3.866734926318576,1.5536182363864195,1.9404767421002072,1.2966762800610765,1.452285024663967,1.0030121087944828,0.8237341329516251,4.789194398726579,6.067977459344206,4.789194398726576,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_1,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.6560504149699,0.4776324354951358,0.4347607596836339,334.19579037327884,340.15595385199447,5.960163478715629,2.9480181694010383,False,0.9976009596161536,0.9210526315789472,0.6014748014486285,1.507436318697906,9.086195879299,10.11521803598112,20.23924512509549,1.0,False,0.9210526315789472,10.11521803598112,20.23924512509549,2.831825320225595,3.783712088102708,1.507436318697906,1.9507065365410363,1.2495567190152153,1.582408701951575,0.9235978041400132,0.9599868242527384,4.410925075069216,5.960163478715629,4.41092507506918,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
DiagonalScanPath_2,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,294.7833581687172,0.4712006516081814,0.4664630277442201,330.73381085494185,326.55223350403946,4.181577350902387,3.3985568836172493,True,0.9988004798080768,0.9605263157894736,0.7332016527835111,1.568362355573549,11.36944176473046,12.245453484581928,18.423079150037257,1.0,True,0.9605263157894736,12.245453484581928,18.423079150037257,2.984101033377077,4.220699440478171,1.568362355573549,1.8862341581701707,1.2609371111732548,1.312606142009096,0.9867517832851566,0.7314415489414521,2.5434475323103767,4.181577350902387,2.3031735033319984,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_2,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,294.7833581687172,0.4968069240437258,0.4710014186102449,330.73381085494185,326.6094616516928,4.124349203249039,2.9480178168869924,True,0.9972011195521792,0.9078947368421052,0.6014490830791615,1.5448741281112208,9.091250495765005,9.809499620216098,21.232424525872258,1.0,True,0.9078947368421052,9.809499620216098,21.232424525872258,3.055627437446532,4.2225441848899115,1.5448741281112208,1.9805480900381771,1.2271367906654969,1.4576171816656882,0.908817101217622,0.848185099695873,2.3135600380962607,4.124349203249039,2.182848547705383,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
DiagonalScanPath_3,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.9015209525281,0.4467554640149482,0.4566124085935321,326.4740358780628,331.49298070790206,5.018944829839256,3.3985881686745785,False,0.9968012794882048,0.8947368421052632,0.7321841232844435,1.5778441494891664,11.347496891671456,11.945035301587046,23.06591222793802,1.0,False,0.8947368421052632,11.945035301587046,23.06591222793802,2.969835240395138,3.851077031746406,1.5778441494891664,1.8078980970737415,1.2484540299801608,1.2115505709703152,0.9816677587394084,0.6701032932630471,5.936521641486398,7.5379289476535405,3.352703927438534,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_3,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.9015209525281,0.4551650777366187,0.4482785145159207,326.4740358780628,331.604548744955,5.130512866892218,2.955767015965924,False,0.9972011195521792,0.9078947368421052,0.5976095163940022,1.5232551012301327,9.083882893524333,10.260034685624982,21.661433767109383,1.0,False,0.9078947368421052,10.260034685624982,21.661433767109383,2.7742390010099456,3.472202618100611,1.5232551012301327,1.8569678716622993,1.171356985803287,1.3063360749180088,0.8776729255838508,0.7678598861497548,5.639614979689576,7.261375660765054,3.658722007696501,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
DiagonalScanPath_4,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,295.3585248883726,0.4245161416061706,0.4375116165483058,331.63935958961497,339.1302619175939,7.490902327978915,3.398583546230008,False,0.9976009596161536,0.9210526315789472,0.7330121699696972,1.6078965305174773,11.359963748259178,12.024685375644594,23.744446463053983,1.0,False,0.9210526315789472,12.024685375644594,23.744446463053983,3.0743874701280536,4.131382165985466,1.6078965305174773,1.8672634548911955,1.2769829425536994,1.2326874587707406,0.9924080630931738,0.673707101115044,5.842019047640463,7.490902327978915,5.842019047640433,Diagonal,4,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_4,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,295.3585248883726,0.4310662797763295,0.428052595663888,331.63935958961497,339.25024866769985,7.610889078084881,2.9495049800081783,False,0.9976009596161536,0.9210526315789472,0.5969547919593563,1.5149216914194372,9.079702607385055,9.939940870537615,21.258863822691502,1.0,False,0.9210526315789472,9.939940870537615,21.258863822691502,2.861208198088561,3.891657141122273,1.5149216914194372,1.971954319622286,1.1888778153538446,1.430550719945537,0.8840452915084591,0.8082835431604772,5.791554518468133,7.610889078084881,5.791554518468125,Diagonal,4,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
DiagonalScanPath_5,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,6,295.50866552712534,0.4142308908677463,0.4231081044123611,334.0359159203151,331.12939309264436,2.906522827670756,3.399742404834124,True,0.9984006397441024,0.9473684210526316,0.7333712914281046,1.5512763313129192,11.379034614078428,12.112183555765853,22.911795876026716,1.0,True,0.9473684210526316,12.112183555765853,22.911795876026716,2.8920443197292793,3.804429930463779,1.5512763313129192,1.7821646205034047,1.2701675374414445,1.3007699929083707,0.991881826668638,0.6939308233766083,2.221166725983256,2.906522827670756,2.2211667259832324,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_5,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,6,295.50866552712534,0.4248428763618749,0.4136588108743557,334.0359159203151,331.5925555089752,2.4433604113399383,2.968777769661868,True,0.998000799680128,0.9342105263157896,0.6010032733881036,1.5039916580364998,9.105590383096269,10.12787270907666,22.67123448572995,1.0,True,0.9342105263157896,10.12787270907666,22.67123448572995,2.5563874281969303,3.212631274134535,1.5039916580364998,1.998357850112214,1.242640447708506,1.626557397980496,0.9116510267348344,0.9070579925445442,1.269870551311974,2.4433604113399383,1.2698705513120316,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
