trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,source_amplitude_fraction_sd,source_amplitude_timescale_s
DiagonalScanPath_8,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,2,296.12149833303096,0.3902426364859307,0.4081589371319107,336.214847986714,341.95751471187026,5.742666725156255,3.419633737138535,True,0.998000799680128,0.9342105263157896,0.7428435284366042,1.6744605011013711,11.462016301022482,12.09205345506457,23.306042962330583,1.0,True,0.9342105263157896,12.09205345506457,23.306042962330583,3.2748360782983097,4.427124178138528,1.6744605011013711,1.980217750287604,1.3178278757570314,1.278279954492549,1.0168236836225562,0.6916969668167506,3.9624910352684544,5.742666725156255,3.9624910352684264,Diagonal,8,calibration,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,296.12149833303096,0.3884014082555864,0.404759250102474,336.214847986714,341.9806115988879,5.765763612173885,3.398851803278045,True,0.9972011195521792,0.9078947368421052,0.7379043497568107,1.6915661466947305,11.363240002211008,12.010217987192942,23.95110881221648,1.0,True,0.9078947368421052,12.010217987192942,23.95110881221648,3.2940366101606,4.3397178179109055,1.6915661466947305,1.9320011921100135,1.330474829462109,1.3121768179489686,1.0203353704453433,0.7049861749385019,4.069513892499646,5.765763612173885,4.069513892499658,Diagonal,8,calibration,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_8,physics mean + advective space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,296.12149833303096,0.3769928117840385,0.3922144016676822,336.214847986714,342.20175999169055,5.986912004976546,3.3484061030939114,True,0.9976009596161536,0.9210526315789472,0.7233076879286268,1.625153679596983,11.14550731786569,11.704654495269269,24.674828033151215,1.0,True,0.9210526315789472,11.704654495269269,24.674828033151215,3.1836268877748086,4.144982942352099,1.625153679596983,1.838682540540674,1.282023121938649,1.2218147176406922,0.9901356351457634,0.6774632217926576,4.266037945803358,5.986912004976546,4.266037945803376,Diagonal,8,calibration,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_8,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,296.12149833303096,0.3755161227468006,0.3769399314661291,336.214847986714,342.4614680135042,6.246620026790197,2.957872115101697,False,0.9968012794882048,0.8947368421052632,0.599978080441704,1.5489149094309052,9.089870019709815,10.066392640514485,23.17582963663509,1.0,False,0.8947368421052632,10.066392640514485,23.17582963663509,2.859446763470658,3.550665912060212,1.5489149094309052,1.906816717323084,1.225143930833318,1.4149073979486326,0.8965366656194793,0.7976159198633975,4.575735544798745,6.246620026790197,4.575735544798819,Diagonal,8,calibration,0.03,0.0213675213675213,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
HorizontalScanPath_13,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,1,296.4959614680289,0.432480697004636,0.4819820359813112,319.1296936365724,305.8770444131363,13.252649223436151,3.4196267389679513,False,0.9984006397441024,0.9473684210526316,0.7394286669742994,1.5694170615910854,11.458629220669618,11.80989865457749,20.85440874210951,1.0,False,0.9473684210526316,11.80989865457749,20.85440874210951,2.975224056937567,4.207889620841852,1.5694170615910854,2.0070057722626644,1.2497879483308572,1.2492216068981905,0.9840833132536144,0.6749336240386041,11.480547192409812,13.252649223436151,10.868533666294944,Horizontal,13,calibration,0.03,0.0085470085470085,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,4,296.4959614680289,0.4179811851821321,0.463782146084097,319.1296936365724,305.99681420075245,13.132879435819971,3.3995787999825446,False,0.9984006397441024,0.9473684210526316,0.7314030647388041,1.4875079950683818,11.352961459535452,11.640704155310482,18.830121444945274,1.0,False,0.9473684210526316,11.640704155310482,18.830121444945274,2.7489817947661397,3.9340354300428086,1.4875079950683818,1.8776088085819824,1.2033536237684814,1.2688695852960206,0.9622647034770933,0.6929498068154527,11.018321046878825,13.132879435819971,10.43583732437042,Horizontal,13,calibration,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_13,physics mean + advective space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,4,296.4959614680289,0.4369537370629979,0.4767335397785035,319.1296936365724,306.05180671605217,13.077886920520257,3.3397645357142065,False,0.998000799680128,0.9473684210526316,0.7257044799043774,1.5636314957243236,11.213536558961918,11.58323668595167,19.47583385645912,1.0,False,0.9473684210526316,11.58323668595167,19.47583385645912,2.947336667444558,4.132386746403947,1.5636314957243236,1.9858622801053736,1.2484557262576277,1.2781329530426857,0.9737557073353588,0.705666069798849,10.886867199852812,13.077886920520257,10.383150487183883,Horizontal,13,calibration,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_13,physics mean + forced space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,4,296.4959614680289,0.4291053962217374,0.4579712580262097,319.1296936365724,306.10386657487,13.025827061702444,2.951173177559423,False,0.998000799680128,0.9473684210526316,0.5959407855868837,1.451685993035114,9.085010825937744,9.9113342405348,19.456399645638044,1.0,False,0.9473684210526316,9.9113342405348,19.456399645638044,2.585155985553496,3.421572530658374,1.451685993035114,1.8880520722761875,1.1541530627957457,1.3730183404940906,0.8635164797019915,0.7697021803898733,11.096232616391267,13.025827061702444,10.74325085695252,Horizontal,13,calibration,0.03,0.017094017094017,fixed_stride_5,0.0003125,0.0003125,1077.1162951691497,,
SpiralScanPath_13,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,2,296.4901280292387,0.3068313750206295,0.3454243749357367,335.7083806056465,334.4406225585519,1.26775804709456,3.358508407575534,True,0.9976009596161536,0.9210526315789472,0.7327972199084822,1.419846343817092,11.43892966643519,11.955993164859436,16.939192163487814,1.0,True,0.9210526315789472,11.955993164859436,16.939192163487814,2.5253933654606735,3.542227844876882,1.419846343817092,1.7003767718044347,1.1447583905606595,1.105488933423286,0.9370352262442724,0.5985511548266935,0.9698607578998504,1.26775804709456,0.9698607578998576,Spiral,13,calibration,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,4,296.4901280292387,0.3044110700047724,0.3427238847035298,335.7083806056465,334.4160018002242,1.2923788054222882,3.3261540078516187,True,0.998000799680128,0.9342105263157896,0.727162964212442,1.4343357511987065,11.34249270569673,11.800893346421214,16.97757196224133,1.0,True,0.9342105263157896,11.800893346421214,16.97757196224133,2.54034176450142,3.503624560914329,1.4343357511987065,1.6648671551046157,1.1562814748138868,1.1089067566351407,0.9432148874395292,0.6037821913700515,1.036303584167961,1.2923788054222882,1.0363035841679318,Spiral,13,calibration,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
