family,fraction_saturated,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,0.03,physics mean + RBF,0.7390332601711967,0.001971131972582269,7,2.96935255218661,0.16244029062160123,7,0.4260675287136736,0.022203863607795752,7,5.190468884043663,1.900401077572237,7,0.9285714285714286,0.012840790433533408,7,0.9977723196435713,0.0003902039476003601,7,11.457001132418714,0.022159530911489016,7,12.112932175683728,0.1042946708340492,7
Diagonal,0.03,physics mean + space-time,0.7341481849903292,0.002272485438164033,7,2.9878295493332834,0.09811926922817854,7,0.43326198973793145,0.02503060449202286,7,5.1923507977042505,1.9242827981151422,7,0.9285714285714286,0.021294041939807558,7,0.9977723196435713,0.0006870249444096135,7,11.360628871362463,0.017285545994038774,7,12.053068535297593,0.13103865919657764,7
Diagonal,0.03,physics mean + advective space-time,0.7187161491754595,0.009164789716950911,7,2.861568852903115,0.15446218755857555,7,0.4202162023408113,0.03212091116828192,7,5.276416496250079,2.1249593352589264,7,0.9323308270676691,0.015986655165630494,7,0.9979436796709888,0.00048579999703637905,7,11.132183729591654,0.1621575238195104,7,11.869503363755115,0.24425709493731304,7
Diagonal,0.03,physics mean + forced space-time,0.6006818448169456,0.004160078268851203,7,2.786871490017423,0.16300872390237242,7,0.4453910287551985,0.03511162120511767,7,5.124171227007041,2.1707126850457863,7,0.9172932330827067,0.009946433500242859,7,0.9974867195978752,0.00030225067813613243,7,9.088573264078947,0.020040031181368503,7,10.118066179695106,0.23795107493281875,7
Horizontal,0.03,physics mean + RBF,0.7362247918209057,0.0023387487475445895,11,2.730550019905021,0.07356044722683266,11,0.52488141862212,0.06387294989303448,11,12.475994710199389,1.6175217755032119,11,0.9461722488038279,0.010936965981495081,11,0.9983642906473775,0.00033235082550725975,11,11.448230956843723,0.012845457182830774,11,12.206765643065411,0.13062029901393502,11
Horizontal,0.03,physics mean + space-time,0.7303225537738666,0.002508878887814123,11,2.6446538120799477,0.11238993806236929,11,0.5236006391104616,0.06350444354834203,11,12.42712846082455,1.6024715642503653,11,0.9425837320574164,0.008871050821884701,11,0.9982188942604776,0.0002749106961024875,11,11.351875694522752,0.013600816859922166,11,12.17927462599714,0.13893354294233265,11
Horizontal,0.03,physics mean + advective space-time,0.7210897384762581,0.002533851123207531,11,2.686854129687315,0.05707322738662651,11,0.5247306012334779,0.06120974051135493,11,12.257447895486662,1.5764717302363418,11,0.9461722488038279,0.009219066444017956,11,0.9983279415506524,0.00030018280429011787,11,11.194413767382782,0.013508296689974044,11,11.91339336916282,0.1488007761164534,11
Horizontal,0.03,physics mean + forced space-time,0.5964806152320296,0.0035735834853763654,11,2.504730951136759,0.23229265890712364,11,0.5445176620869852,0.0688836161850155,11,12.28427476774378,1.6890154429526607,11,0.9401913875598087,0.006871486419303803,11,0.9981098469703028,0.0003143724082794595,11,9.073425208325494,0.013931799020635864,11,10.093498239290177,0.16758878107906688,11
Spiral,0.03,physics mean + RBF,0.7343714896568073,0.0018827044987131298,12,2.540936871286395,0.12089496101372804,12,0.35873085229255786,0.0321906482133714,12,5.124625298080332,2.1132957368669056,12,0.9320175438596491,0.013550753961695767,12,0.997834199653472,0.0004332765571574562,12,11.460940818028876,0.013191521590491877,12,12.104682032278385,0.10359739160738454,12
Spiral,0.03,physics mean + space-time,0.7307309810840267,0.002705337122133832,12,2.6139235895300397,0.1127381814728962,12,0.373131954540538,0.03561743590445782,12,5.126401717173057,2.1118083970909156,12,0.9298245614035089,0.011679281113139497,12,0.9977675596428096,0.0004332765571574631,12,11.362017746314711,0.011186291339304655,12,11.970387333665803,0.08190091612732137,12
