trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observation_design,previous_posterior_design,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,propagated_prior_sd_at_true_peak_K,propagated_prior_sd_hot_mean_K,uses_propagated_covariance,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
DiagonalScanPath_1,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.4594232886784455,0.42709455125363316,334.19579037327884,340.2583835900902,6.062593216811365,3.4196267389530575,True,0.9984006397441023,0.9473684210526315,0.7322824503248511,1.4905856616194593,11.4465492252087,12.17907139387774,19.808974170317846,1.0,True,0.9473684210526315,12.17907139387774,19.808974170317846,2.697876213579429,3.851900955703601,1.4905856616194593,1.8655404447796773,1.231069584282913,1.318533798659499,0.9723739148941087,0.796878107029371,4.248750206998718,6.062593216811365,4.248750206998748,Diagonal,1,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.44454641516842786,6.093016467586438,0.0,0.0,False,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.4294029991440326,0.3851136907518022,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389530575,True,0.9988004798080767,0.9605263157894737,0.7299683265097286,1.3916884388203061,11.45332749617605,12.319257041988282,17.9848650143598,1.0,True,0.9605263157894737,12.319257041988282,17.9848650143598,2.301110684481217,2.953976025595632,1.3916884388203061,1.624991633014635,1.1862983418401283,1.2461193665618913,0.9486735806358431,0.7642456147443686,5.235796354021552,7.171459676896745,5.235796354021631,Diagonal,1,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.3980049723562434,7.2018843759549895,0.0,0.0,False,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.42673368185902,0.38239387022266214,334.19579037327884,341.4430279732156,7.247237599936739,3.4887676673405177,False,0.9984006397441023,0.9473684210526315,0.7295271744096201,1.367461057290873,11.459032760973258,12.136270283145752,18.572034622201116,1.0,False,0.9473684210526315,12.136270283145752,18.572034622201116,2.26850014460014,2.935150304339478,1.367461057290873,1.6065064584032052,1.1676092271999483,1.231291982921969,0.9430148650972875,0.7561263028048907,5.1414090433653294,7.247237599936739,5.141409043365313,Diagonal,1,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.3980049723562434,7.2018843759549895,0.7091436759059994,0.49835646996019867,True,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_2,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.48596123923461454,0.4631794769156623,330.73381085494185,326.58603143513716,4.147779419804692,3.4196267389530575,True,0.998000799680128,0.9342105263157895,0.7334371147208417,1.5647912766631442,11.467866173339916,12.09488155190807,19.04887080058362,1.0,True,0.9342105263157895,12.09488155190807,19.04887080058362,2.9502859054019535,4.20901300880948,1.5647912766631442,1.8927359871857463,1.2422609484934655,1.299578365292826,0.9832929980107482,0.7607541242847754,2.4886959416208603,4.147779419804692,2.211811687422891,Diagonal,2,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4716165592972467,4.175595032333831,0.0,0.0,False,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.45001204007758955,0.4208153877723474,330.73381085494185,327.4142562418244,3.319554613117475,3.4196267389530575,True,0.9984006397441023,0.9473684210526315,0.728947942398128,1.4124691677417573,11.467866173339916,12.094881551908074,18.455383543214197,1.0,True,0.9473684210526315,12.094881551908074,18.455383543214197,2.554681276486041,3.6108705912425547,1.4124691677417573,1.6119387135174754,1.153155925241213,1.1533146264765308,0.9385624412432046,0.6873267305694661,1.8960160996467923,3.319554613117475,1.6579367654871713,Diagonal,2,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.43228718039239006,3.3473659582493838,0.0,0.0,False,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.45001204562798497,0.42081538645098476,330.73381085494185,327.4142566650015,3.319554189940334,3.439399385575269,True,0.9984006397441023,0.9473684210526315,0.7290699134532576,1.4160696613762374,11.471026355350812,12.190783698761024,18.48540464625835,1.0,True,0.9473684210526315,12.190783698761024,18.48540464625835,2.5543538070077036,3.6108700011983084,1.4160696613762374,1.6119389918100637,1.1555769538313945,1.1533148681826004,0.9397777783175515,0.6873268518972602,1.8946838291622312,3.319554189940334,1.651802527854412,Diagonal,2,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.43228718039239006,3.3473659582493838,0.368266900323738,0.3637225585373519,True,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_3,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.4609737973258503,0.44986117326772146,326.4740358780628,331.5565785233125,5.082542645249703,3.419839810731507,False,0.9976009596161536,0.9210526315789473,0.731851422476476,1.5560172525120324,11.45316653449985,12.27916102238487,21.482722544625748,1.0,False,0.9210526315789473,12.27916102238487,21.482722544625748,2.859085235922149,3.6945183347477135,1.5560172525120324,1.7921689626991837,1.2322907603836166,1.183627050067114,0.9738838612181232,0.6969917707122198,5.801082468503888,7.416948010878286,3.5380756795767576,Diagonal,3,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.47380536797644257,5.087479803719759,0.0,0.0,False,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_3,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.43389213873423843,0.40831988592733587,326.4740358780628,333.4254850584476,6.95144918038477,3.419801081179824,True,0.9984006397441023,0.9473684210526315,0.7304429741522486,1.4226514039875813,11.458596969806527,12.198357258521256,18.89114723012533,1.0,True,0.9473684210526315,12.198357258521256,18.89114723012533,2.4396810941860947,3.008653202192337,1.4226514039875813,1.5573483966623336,1.1719351438655268,1.1799007729280806,0.9480077616661642,0.7264896893034547,3.5763208337646457,5.58720419666821,5.291281181492266,Diagonal,3,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4210459635223986,6.959433074313324,0.0,0.0,False,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_3,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.43404159937053616,0.40924596168497784,326.4740358780628,333.32012086772625,6.846084989663439,3.573851006758415,True,0.9984006397441023,0.9473684210526315,0.7298805814492212,1.4182602792825414,11.463801254004018,12.495690568178851,18.66585177163994,1.0,True,0.9473684210526315,12.495690568178851,18.66585177163994,2.403881638807559,3.023361310898655,1.4182602792825414,1.5592466002410361,1.1662829805757293,1.1756872641709317,0.947854119919606,0.7227551683968503,3.376350622166137,5.694985889700263,4.725381106525049,Diagonal,3,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4210459635223986,6.959433074313324,1.0520830641788264,0.5638603573763142,True,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_4,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.3585248883726,0.43963867659597783,0.4297246546807819,331.63935958961497,339.0549341475612,7.415574557946229,3.419633193061979,False,0.9976009596161536,0.9210526315789473,0.732324553370569,1.5614912087222559,11.464972133501872,12.143482986712014,22.463791970568316,1.0,False,0.9210526315789473,12.143482986712014,22.463791970568316,3.001314921728387,4.003933552228967,1.5614912087222559,1.7862721302073756,1.242398943137278,1.2116003692910742,0.9739763892669999,0.7058902948281118,5.149763727800725,7.415574557946229,5.149763727800675,Diagonal,4,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4422148769887004,7.46151624017665,0.0,0.0,False,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
