trajectory,role,previous_draws,current_observation_count,current_observation_time_count,same_previous_posterior_for_pair,same_current_observations_for_pair,same_sampler_seed_for_pair,same_rbf_covariance_for_pair,previous_observations_reused_in_current_update
DiagonalScanPath_1,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_2,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_3,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_4,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_5,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_6,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_7,evaluation,180,117,1,True,True,True,True,False
DiagonalScanPath_8,calibration,180,117,1,True,True,True,True,False
HorizontalScanPath_1,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_2,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_3,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_4,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_5,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_6,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_7,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_8,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_10,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_11,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_12,evaluation,180,117,1,True,True,True,True,False
HorizontalScanPath_13,calibration,180,117,1,True,True,True,True,False
SpiralScanPath_1,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_2,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_3,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_4,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_5,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_6,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_7,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_8,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_9,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_10,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_11,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_12,evaluation,180,117,1,True,True,True,True,False
SpiralScanPath_13,calibration,180,117,1,True,True,True,True,False
