trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,family,run_index,role,fraction_saturated,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,noise_sd_K,previous_posterior_seed,current_observation_seed,current_sampler_seed,previous_observations_reused_in_current_update,same_previous_posterior_for_pair,same_current_observations_for_pair,same_rbf_covariance_for_pair,displacement_x_m,displacement_y_m,displacement_m,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K
DiagonalScanPath_1,posterior physics mean + RBF,117,2,294.6560504149699,0.4294029991440301,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389530575,True,0.9988004798080767,0.9605263157894737,12.319257041988285,11.45332749617605,0.7299683265097255,1.3916884388202955,2.3011106844812397,0.39800497235624055,7.201884375955046,Diagonal,1,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,41,41,41,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413
DiagonalScanPath_1,advective posterior physics mean + RBF,117,2,294.6560504149699,0.4135647442463844,334.19579037327884,341.2595438213388,7.06375344805997,3.4196267389530575,False,0.9976009596161536,0.9342105263157895,12.207162694157484,11.457425795427342,0.7266754234767067,1.3510566981633052,2.2501549950958197,0.38566165210205433,7.0983424581989425,Diagonal,1,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,41,41,41,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413
DiagonalScanPath_2,posterior physics mean + RBF,117,1,294.7833581687172,0.45001204007758494,330.73381085494185,327.4142562418245,3.3195546131173614,3.4196267389530575,True,0.9984006397441023,0.9473684210526315,12.09488155190808,11.467866173339916,0.7289479423981294,1.412469167741723,2.554681276485958,0.43228718039238634,3.347365958249327,Diagonal,2,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,50041,10041,100041,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342
DiagonalScanPath_2,advective posterior physics mean + RBF,117,1,294.7833581687172,0.4428990943532298,330.73381085494185,327.15490584756253,3.578905007379319,3.4196267389530575,True,0.998000799680128,0.9342105263157895,12.230374872002418,11.467442168856664,0.7286741397047252,1.4394907905784078,2.6443157320887645,0.4285409080166218,3.59546937077846,Diagonal,2,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,50041,10041,100041,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342
DiagonalScanPath_3,posterior physics mean + RBF,117,2,294.9015209525281,0.43389213873423493,326.4740358780628,333.42548505844746,6.951449180384657,3.419801081179824,True,0.9984006397441023,0.9473684210526315,12.198357258521256,11.458596969806527,0.7304429741522521,1.4226514039875742,2.4396810941860765,0.4210459635223904,6.959433074313154,Diagonal,3,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,100041,20041,200041,False,True,True,True,0.00015850189402815242,1.5628413080268078e-06,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652
DiagonalScanPath_3,advective posterior physics mean + RBF,117,2,294.9015209525281,0.4253224025053886,326.4740358780628,333.375417344936,6.901381466873204,3.419881396702813,True,0.9984006397441023,0.9473684210526315,12.576168615679943,11.459972935546398,0.7284082550165372,1.4708763175712762,2.4637429714739336,0.41920197985443036,6.935222835893683,Diagonal,3,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,100041,20041,200041,False,True,True,True,0.00015850189402815242,1.5628413080268078e-06,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652
DiagonalScanPath_4,posterior physics mean + RBF,117,2,295.3585248883726,0.4015688813926749,331.63935958961497,341.79302799975187,10.153668410136902,3.4196320745675792,False,0.998000799680128,0.9342105263157895,12.142901514172046,11.454065921869729,0.7309875829418129,1.4613899023850878,2.323647954553982,0.38325530541834857,10.20018499697892,Diagonal,4,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,150041,30041,300041,False,True,True,True,0.00015249506403192223,3.631305827199536e-06,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187
DiagonalScanPath_4,advective posterior physics mean + RBF,117,2,295.3585248883726,0.395237735791308,331.63935958961497,341.74417261610625,10.104813026491286,3.4196322902803726,False,0.998000799680128,0.9342105263157895,12.115142816288506,11.450192871175092,0.7279217784117156,1.435143114132618,2.354975064535716,0.38461479362104767,10.156020050201164,Diagonal,4,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,150041,30041,300041,False,True,True,True,0.00015249506403192223,3.631305827199536e-06,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187
DiagonalScanPath_5,posterior physics mean + RBF,117,3,295.50866552712534,0.4058642033429197,334.0359159203151,332.2259205852151,1.8099953351000408,3.4197576367316946,True,0.9984006397441023,0.9473684210526315,12.169279075714607,11.476651412422546,0.7306322800640712,1.3944923618877032,2.3261693106323107,0.3837209916282345,1.8490463542470366,Diagonal,5,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,200041,40041,400041,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,0.00013812613329495813,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.531485381547889,2.128748577688744
DiagonalScanPath_5,advective posterior physics mean + RBF,117,3,295.50866552712534,0.400524775867242,334.0359159203151,332.2803644059774,1.7555515143376965,3.4197859371616626,True,0.9984006397441023,0.9473684210526315,12.334944328673531,11.46689486449039,0.7295978000974503,1.4499516359379352,2.4376555388454335,0.384068225744366,1.7926432812850521,Diagonal,5,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,200041,40041,400041,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,0.00013812613329495813,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.531485381547889,2.128748577688744
