family,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,ambient mean + RBF,0.9342619667977357,0.02821557611327261,7,0.7825725115769826,0.012519164219577187,7,6.446983539764209,0.5491978331884249,7,33.732206490017056,2.7339652737083804,7,0.8872180451127819,0.02385070966249907,7,12.069716733985343,0.14941227281970323,7
Diagonal,ambient mean + stochastic ST,0.8728241110238739,0.06294598723944402,7,0.6256446457078483,0.004069621747246427,7,5.9105926010169485,0.2542329974441891,7,33.18972529599722,2.6736309422722484,7,0.8684210526315789,0.024022919188823058,7,10.059409838734679,0.39511620600922337,7
Diagonal,legacy latent-clipped physics mean + RBF,0.4260675287136736,0.022203863607795752,7,0.7296427809513855,0.001961612606812537,7,2.9591608991280816,0.16251427515554792,7,5.190468884043663,1.900401077572237,7,0.9285714285714286,0.012840790433533408,7,12.112932175683728,0.1042946708340492,7
Diagonal,legacy latent-clipped physics mean + stochastic ST,0.4453910287551985,0.03511162120511767,7,0.5932331982631086,0.004145475253303663,7,2.7783470132609738,0.16320731170855698,7,5.124171227007041,2.1707126850457863,7,0.9172932330827067,0.009946433500242859,7,10.118066179695106,0.23795107493281875,7
Horizontal,ambient mean + RBF,0.9054305803024968,0.04555818866547091,11,0.7686378137910285,0.01353911884891991,11,4.881366478094471,0.47504664985797557,11,19.522840842052496,1.8445970274247214,11,0.9078947368421052,0.013157894736842082,11,12.099087573868514,0.18700773303416196,11
Horizontal,ambient mean + stochastic ST,0.7944172467315532,0.10394576064358522,11,0.6096583342220003,0.0042381304425863865,11,4.199451354074663,0.22377836741363205,11,18.97960171216062,1.9526148168516262,11,0.8971291866028708,0.015365110740030054,11,10.057652727460097,0.27718059666590555,11
Horizontal,legacy latent-clipped physics mean + RBF,0.52488141862212,0.06387294989303448,11,0.7268412724397142,0.002330252377542642,11,2.720168370565725,0.07342936922812962,11,12.475994710199389,1.6175217755032119,11,0.9461722488038279,0.010936965981495081,11,12.206765643065411,0.13062029901393502,11
Horizontal,legacy latent-clipped physics mean + stochastic ST,0.5445176620869852,0.0688836161850155,11,0.5890425757068551,0.0035632006104927712,11,2.496111220679858,0.2324597334004453,11,12.28427476774378,1.6890154429526607,11,0.9401913875598087,0.006871486419303803,11,10.093498239290177,0.16758878107906688,11
Spiral,ambient mean + RBF,0.8945731336613748,0.028666213421080246,12,0.788183575732793,0.019537532861898473,12,6.1315664719131755,0.5274816422239966,12,33.41072427453948,2.7728522312419877,12,0.8892543859649122,0.014258219334879304,12,12.01670217499907,0.17417485546214242,12
Spiral,ambient mean + stochastic ST,0.8105425116093291,0.073827741950692,12,0.6232976147765532,0.003839743812471606,12,5.547912205601424,0.25014713559786533,12,32.805157967639,2.418905977665785,12,0.8706140350877193,0.01667505874507692,12,9.765499502311924,0.12446766746633742,12
Spiral,legacy latent-clipped physics mean + RBF,0.35873085229255786,0.0321906482133714,12,0.7249785410325598,0.001876561292442145,12,2.5307828727407635,0.12087277337136765,12,5.124625298080332,2.1132957368669056,12,0.9320175438596491,0.013550753961695767,12,12.104682032278385,0.10359739160738454,12
Spiral,legacy latent-clipped physics mean + stochastic ST,0.3927675428783577,0.04368911876525783,12,0.5910719482088541,0.004569658887755635,12,2.4903615250949382,0.10724685773275688,12,5.106871842079504,2.1421719438951503,12,0.913377192982456,0.01043370343550999,12,9.943774735027048,0.1599417106242871,12
Diagonal,legacy latent-clipped physics mean + advective stochastic ST,0.4177820211256468,0.04067589580183996,7,0.5657805761632977,0.015723831778997607,7,2.6593882454027784,0.2869444870517113,7,5.181310204383968,2.5460225444189524,7,0.9210526315789475,0.020099016205946726,7,9.767323040273055,0.4260654022465016,7
Horizontal,legacy latent-clipped physics mean + advective stochastic ST,0.5292173511940917,0.06757437334583949,11,0.5727317389151764,0.0031263492593935687,11,2.5785345946705425,0.1583556486260186,11,12.049902695764073,1.6363590821182632,11,0.9354066985645934,0.007096840657507851,11,9.63320782748557,0.1470523210411371,11
