family,comparison,method,baseline,n_trajectories,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count,hot_region_95_interval_width_K_mean_change,hot_region_95_interval_width_K_median_change,hot_region_95_interval_width_K_win_count
all,stochastic covariance with ambient mean,ambient mean + stochastic ST,ambient mean + RBF,30,-0.08865263747739872,-0.0927803595436571,30,-0.16086336226060416,-0.16010367976794831,30,-0.6086551377063247,-0.6850436418798593,25,-0.5679931489918414,-0.5370684756071,24,-0.0157894736842105,-0.013157894736842035,3,-2.1180787883164336,-2.2168369905070353,30
all,stochastic covariance with latent-clipped physics mean,legacy latent-clipped physics mean + stochastic ST,legacy latent-clipped physics mean + RBF,30,0.02532344884779297,0.026584269383816084,1,-0.1359177285587952,-0.1363292681645712,30,-0.14051273405213982,-0.08316764334111104,22,-0.09286814794259998,-0.06413008762933714,20,-0.012280701754385987,-0.013157894736842035,3,-2.1046963660154656,-2.107059524612173,30
all,residual advection with latent-clipped physics mean,legacy latent-clipped physics mean + advective stochastic ST,legacy latent-clipped physics mean + stochastic ST,30,-0.014494784854456821,-0.013157780502422,20,-0.025123091797513982,-0.02261745248473479,30,-0.014933022648105136,-0.017250989288907226,18,-0.04764445858363993,-0.04403624020497521,20,-0.0017543859649122714,0.0,6,-0.5565845068516999,-0.6374287055112857,30
all,previous-frame inequality information,posterior physics mean + RBF,observed-clipped physics mean + RBF,30,-0.03632207775362199,-0.033103013423196576,30,-0.0031361473180241775,-0.003064731620293526,29,-0.45800426386883225,-0.4211678241565122,30,-0.21469043963888534,-0.47382846313257865,19,0.012719298245614035,0.01315789473684198,21,0.06363688800931827,0.058163963118120776,9
all,advection in posterior physics mean,advective posterior physics mean + RBF,posterior physics mean + RBF,30,-0.005507244587542833,-0.006421835433218087,24,-0.0009486031734932713,-0.0009418678658673629,25,0.037869364918890355,0.02809508174575659,6,0.0596527236955297,0.019167456078804435,12,-0.003508771929824539,0.0,3,9.889089053416455e-05,-0.004290701020489784,15
all,propagated previous-frame covariance,full-posterior propagation + RBF,posterior physics mean + RBF,30,-0.00015473320485672552,7.649987143754089e-09,14,0.00029344442781025214,0.000168374231223678,9,-0.009169145723624757,-0.000977100061727576,18,-0.007231596238502395,-5.22341451869579e-07,16,-0.0008771929824561431,0.0,4,0.21334673546679983,0.19173718236508197,1
Diagonal,stochastic covariance with ambient mean,ambient mean + stochastic ST,ambient mean + RBF,7,-0.06143785577386179,-0.06329985572445773,7,-0.15692786586913426,-0.15779688499098954,7,-0.5363909387472597,-0.5459344658952947,5,-0.5424811940198343,-0.4894938381727343,5,-0.018796992481202972,-0.013157894736842035,0,-2.0103068952506655,-2.276087198997681,7
Diagonal,stochastic covariance with latent-clipped physics mean,legacy latent-clipped physics mean + stochastic ST,legacy latent-clipped physics mean + RBF,7,0.01932350004152487,0.016492830910264322,1,-0.13640958268827696,-0.1361137597758696,7,-0.18081388586710753,-0.10705771551987375,6,-0.06629765703662217,-0.03499622601879082,4,-0.011278195488721887,-0.013157894736842035,1,-1.9948659959886221,-2.019126336759882,7
Diagonal,residual advection with latent-clipped physics mean,legacy latent-clipped physics mean + advective stochastic ST,legacy latent-clipped physics mean + stochastic ST,7,-0.027609007629551714,-0.0317449196943877,6,-0.02745262209981084,-0.025072986659513852,7,-0.1189587678581953,-0.17756141125307545,5,0.0571389773769267,0.054023376898101105,3,0.0037593984962406768,0.0,3,-0.3507431394220509,-0.33842980313899673,7
Diagonal,previous-frame inequality information,posterior physics mean + RBF,observed-clipped physics mean + RBF,7,-0.029752846137485404,-0.030152369216399078,7,-0.0026258661965550584,-0.002314123815125524,7,-0.4668485798395278,-0.4194041417360723,7,0.4364039569899124,1.1088664600853804,3,0.013157894736842115,0.013157894736842035,6,0.04114672119537716,0.04317147135061816,2
