family,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,posterior physics mean + RBF,0.41757473956496266,0.02393611307958083,7,0.7311650611147638,0.0029948614684680657,7,2.4850218188900484,0.18893557701504535,7,5.618202488979607,3.4647379533783718,7,0.9454887218045113,0.009079809991346752,7,12.179603710081917,0.09850844752187495,7
Diagonal,advective posterior physics mean + RBF,0.4100749211933872,0.02082709159914144,7,0.7298966118859573,0.0035056176102878714,7,2.5369139253216564,0.22272100272132375,7,5.633662499111226,3.4444367134155045,7,0.9379699248120301,0.0064203952167666304,7,12.241929405645958,0.1904645605375424,7
Diagonal,posterior physics mean + sequential stochastic ST,0.40320434123445786,0.022321204912485154,7,0.21341082479343226,0.0032745029847144483,7,3.0395143147334367,0.4509238171363963,7,5.447884977726111,3.4594995895627103,7,0.7894736842105263,0.05582421956735904,7,3.5033768854196095,0.4726261896985179,7
Diagonal,posterior physics mean + sequential advective stochastic ST,0.4019940105927408,0.02193938588343233,7,0.21372843571721942,0.0031070177661458665,7,3.0284420059835098,0.4421106342561369,7,5.584891439677863,3.5762700849022173,7,0.7518796992481203,0.05856301476465124,7,3.2230384380236643,0.29320182759111996,7
Diagonal,advective posterior physics mean + sequential advective stochastic ST,0.3979588141598878,0.02059905109386467,7,0.20730991863451217,0.004043115779059428,7,3.130219628000684,0.48200800976257835,7,5.514963702198697,3.4431190544070724,7,0.7556390977443609,0.054175354188514505,7,3.2406405727959404,0.29877784239657246,7
Horizontal,posterior physics mean + RBF,0.5021183259671879,0.06519178656296223,11,0.7270223440337643,0.00316609752935152,11,2.1628639844111484,0.1882053376706711,11,11.361711492637136,1.8518392390114917,11,0.9533492822966507,0.006871486419303884,11,12.228710561611468,0.16591320101730014,11
Horizontal,advective posterior physics mean + RBF,0.49393921715556455,0.06600512049093765,11,0.7258921552313458,0.003172608981767673,11,2.174358634853657,0.1832013128715374,11,11.443070608008746,1.7590469895277634,11,0.9521531100478469,0.006638486567230459,11,12.215735034836564,0.1581924970346178,11
Horizontal,posterior physics mean + sequential stochastic ST,0.47630106761817576,0.07187306451426599,11,0.20783736946866388,0.0034889892738202786,11,2.4815184445124276,0.31242678108516175,11,11.379455039305599,1.8667286145930169,11,0.812200956937799,0.055228970970404294,11,3.331631522599298,0.30288753050735767,11
Horizontal,posterior physics mean + sequential advective stochastic ST,0.47679568037328596,0.07198061661766715,11,0.2079918803044798,0.0038179787355301625,11,2.496905795453573,0.3155709641719237,11,11.387519243056163,1.8609020797930813,11,0.8074162679425837,0.05950881800876914,11,3.273917728776846,0.2835716074141313,11
Horizontal,advective posterior physics mean + sequential advective stochastic ST,0.4690365124203028,0.07206837818118678,11,0.20365056457041303,0.0035123945998923544,11,2.4989620733834452,0.3145907433900971,11,11.453919068719188,1.7765917471227286,11,0.8074162679425837,0.06122953252710483,11,3.2884472372235014,0.2855868701276629,11
Spiral,posterior physics mean + RBF,0.3567338212894511,0.03561020725136814,12,0.7270315304658791,0.0019236413948367872,12,2.1751058915147623,0.11451525100931936,12,5.353528717193342,2.8329142997919052,12,0.9484649122807017,0.011846534702348938,12,12.262375215979937,0.10696593165198665,12
Spiral,advective posterior physics mean + RBF,0.3548381202813347,0.03313396359288197,12,0.7264359576511668,0.00216345857904454,12,2.2289721454879174,0.09584380529128014,12,5.419062998098089,2.9452086721892226,12,0.9451754385964911,0.009443954770595687,12,12.23816002033758,0.12380360646695587,12
Spiral,posterior physics mean + sequential stochastic ST,0.3466174847070995,0.03553326691672969,12,0.20899676189367053,0.0031978988996687954,12,2.796093755617786,0.3109038552165142,12,5.386409942929745,2.8911483123447517,12,0.7708333333333334,0.04362476980553493,12,3.2883846600453457,0.37491015087674995,12
Spiral,posterior physics mean + sequential advective stochastic ST,0.34692340715442077,0.035951941613321894,12,0.20938936446356735,0.0033498354505723323,12,2.817651323078907,0.28811524112312026,12,5.401985709096579,2.8871495186834077,12,0.7478070175438596,0.03496289599511625,12,3.052903328241351,0.2923951196331743,12
Spiral,advective posterior physics mean + sequential advective stochastic ST,0.3490545180778802,0.033214633832486525,12,0.20662278903410547,0.003727458661130758,12,2.9908386099003885,0.2730764057220089,12,5.440016831298654,2.9453257570505604,12,0.7039473684210527,0.046773241138797,12,3.0389751793281032,0.2789430107744342,12
