trajectory,role,previous_draws,previous_saturated_pixels,previous_posterior_sd_mean_K,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,same_previous_posterior_for_all_models,same_current_observations_for_all_models,same_sampler_seed_for_all_models,previous_observations_reused_in_current_update,stationary_propagated_feature_frobenius,advective_propagated_feature_frobenius
DiagonalScanPath_1,evaluation,180,85,0.01838579580122515,85,0.03398640543782487,2.331933136134589,2.0635505257513413,True,True,True,False,5.417438935749747,4.732024248875893
DiagonalScanPath_2,evaluation,180,76,0.0123137458509963,76,0.030387844862055178,2.5723192018558456,2.190519750972342,True,True,True,False,3.6759470463215522,3.1172967220894336
DiagonalScanPath_3,evaluation,180,80,0.020526525258870203,80,0.03198720511795282,2.5364864097536155,2.032651194332652,True,True,True,False,5.933312422789144,5.2139750414197925
DiagonalScanPath_4,evaluation,180,74,0.02297473444150412,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,True,True,True,False,7.213475215508919,6.483059498838219
DiagonalScanPath_5,evaluation,180,83,0.021624245624173623,83,0.03318672530987605,2.531485381547889,2.128748577688744,True,True,True,False,6.279835015084498,5.659649868838105
DiagonalScanPath_6,evaluation,180,79,0.02946696700185665,79,0.03158736505397841,2.7201208277385236,2.283562412780356,True,True,True,False,9.1724291158015,8.379643853785533
DiagonalScanPath_7,evaluation,180,80,0.01573355137314278,80,0.03198720511795282,2.846539173110377,2.5218178195117296,True,True,True,False,4.6305782605061045,3.9616546002072845
DiagonalScanPath_8,calibration,180,77,0.02614485318087645,77,0.03078768492602959,3.06156684424828,2.5942242004168845,True,True,True,False,8.205535657859413,7.269369355958127
HorizontalScanPath_1,evaluation,180,81,0.020739329323223046,81,0.032387045181927226,2.3362551184433964,2.072788496217603,True,True,True,False,6.149709011624031,5.777498799395213
HorizontalScanPath_2,evaluation,180,82,0.01872569303060204,82,0.03278688524590164,2.3543719517122503,1.90653286655082,True,True,True,False,5.676708879437096,5.512441532149579
HorizontalScanPath_3,evaluation,180,80,0.0134619486844342,80,0.03198720511795282,2.4498292697436965,2.108352308521746,True,True,True,False,3.911265047403442,3.7067292618802337
HorizontalScanPath_4,evaluation,180,90,0.018361121648884957,90,0.03598560575769692,2.149644136871292,1.8164370527120122,True,True,True,False,5.054040344927264,4.739543013995302
HorizontalScanPath_5,evaluation,180,83,0.016200524909052747,83,0.03318672530987605,2.2837726459313594,1.981498903042539,True,True,True,False,4.6767928635858045,4.514588715588878
HorizontalScanPath_6,evaluation,180,78,0.011644945880562432,78,0.031187524990004,2.42798065441825,2.0540222485962705,True,True,True,False,3.4391126092098596,3.2467315799072938
HorizontalScanPath_7,evaluation,180,81,0.030607619269246725,81,0.032387045181927226,2.346534294838893,2.139312985186778,True,True,True,False,8.950620997156783,8.484886910240874
HorizontalScanPath_8,evaluation,180,83,0.0217551050103862,83,0.03318672530987605,2.3328248105326024,1.984444912344575,True,True,True,False,6.1586168237428796,5.930736978282172
HorizontalScanPath_10,evaluation,180,73,0.025238768606131057,73,0.029188324670131948,2.7154174495621515,2.1736624194621537,True,True,True,False,8.044022060136385,7.645828861433271
HorizontalScanPath_11,evaluation,180,78,0.016523630465916685,78,0.031187524990004,2.6094915770781015,2.035023466430805,True,True,True,False,4.875879337397082,4.684906700215611
HorizontalScanPath_12,evaluation,180,86,0.012526724652787383,86,0.03438624550179928,2.4265666660057685,2.09883200916295,True,True,True,False,3.4290279107754054,3.237919195567074
HorizontalScanPath_13,calibration,180,77,0.028133413920870255,77,0.03078768492602959,2.720531247724229,2.3781927259288977,True,True,True,False,8.607133223360027,8.150289741219307
SpiralScanPath_1,evaluation,180,72,0.01963784543996535,72,0.028788484606157537,2.657064232673197,2.085295254877664,True,True,True,False,6.176052347277328,5.292880000167778
SpiralScanPath_2,evaluation,180,89,0.01006483563799039,89,0.03558576569372251,2.154459598727737,2.011625074624826,True,True,True,False,2.673435490002959,1.9227375091570373
SpiralScanPath_3,evaluation,180,81,0.009275549640348064,81,0.032387045181927226,2.3269279645816527,2.17910508580971,True,True,True,False,2.5811175820991346,1.8906121124851993
SpiralScanPath_4,evaluation,180,80,0.019935884140449243,80,0.03198720511795282,2.421583203054216,2.3340915269788938,True,True,True,False,5.886311056907597,4.9044385555663546
SpiralScanPath_5,evaluation,180,84,0.027111791096520135,84,0.03358656537385046,2.3160661582293405,1.9500492688862512,True,True,True,False,7.977486577621263,7.068778771754798
SpiralScanPath_6,evaluation,180,81,0.017647074413120308,81,0.032387045181927226,2.401808793946929,2.0355564117669664,True,True,True,False,5.120718347402428,4.438888385596371
SpiralScanPath_7,evaluation,180,79,0.013020808954295764,79,0.03158736505397841,2.4968012424373893,2.1202911782120935,True,True,True,False,3.767974835714396,3.056235536853052
SpiralScanPath_8,evaluation,180,83,0.012234675175682313,83,0.03318672530987605,2.37643008716828,2.098610895750184,True,True,True,False,3.46933589981921,2.749405902565863
SpiralScanPath_9,evaluation,180,79,0.021808422919486443,79,0.03158736505397841,2.4829704941696766,2.326264298063792,True,True,True,False,6.606446075321737,5.738816328595073
SpiralScanPath_10,evaluation,180,78,0.02408747287274616,78,0.031187524990004,2.4942509915903295,2.2925440864066675,True,True,True,False,7.411247181285131,6.3439028561096675
SpiralScanPath_11,evaluation,180,77,0.015378161024910521,77,0.03078768492602959,2.510525167157445,2.1382740331159407,True,True,True,False,4.579763896753444,3.8504353922093686
SpiralScanPath_12,evaluation,180,79,0.016129874631878146,79,0.03158736505397841,2.4554211855889654,2.092668154393517,True,True,True,False,4.736866480721801,4.006020951315417
SpiralScanPath_13,calibration,180,76,0.026349702320990064,76,0.030387844862055178,2.575770072454711,2.309910217491491,True,True,True,False,7.95225954378539,6.477742040917164
