trajectory,role,previous_draws,current_saturated_observations,component_mean_average_max_difference_K,propagated_component_sd_mean_K,innovation_sd_K,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,mixture_component_count,mixture_component_weight_ess,mixture_max_component_weight,mixture_normalized_weight_entropy,mixture_resampled_unique_components,mixture_log_weight_range,mixture_mvn_integration_failures
DiagonalScanPath_1,evaluation,180,2,2.5011104298755527e-12,0.016907274444606105,0.7159318740849085,85,0.03398640543782487,2.331933136134589,2.0635505257513413,180.0,174.9424263834588,0.007800379950067429,0.9971477091070554,169.0,1.0483432870337595,0.0
DiagonalScanPath_2,evaluation,180,1,2.5579538487363607e-12,0.011110848246529843,0.7159318740849122,76,0.030387844862055178,2.5723192018558456,2.190519750972342,180.0,177.6372165206295,0.006903647548729603,0.9987027021594226,173.0,0.5771504828561405,0.0
DiagonalScanPath_3,evaluation,180,2,2.5011104298755527e-12,0.01915574832634341,0.7159318740849122,80,0.03198720511795282,2.5364864097536155,2.032651194332652,180.0,105.19092860856082,0.019828696202420573,0.9273513985338594,118.0,6.82710159354211,0.0
DiagonalScanPath_4,evaluation,180,2,2.6147972675971687e-12,0.0216856221874829,0.7159318740849122,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,180.0,140.12339239837692,0.013757485413570317,0.9730426935414677,142.0,2.9702256399099554,0.0
DiagonalScanPath_5,evaluation,180,3,2.4442670110147446e-12,0.020030736697745025,0.7159318740849036,83,0.03318672530987605,2.531485381547889,2.128748577688744,180.0,170.12037246115065,0.007679500553852785,0.99374065213897,164.0,1.5553450773052049,0.0
DiagonalScanPath_6,evaluation,180,3,2.3874235921539366e-12,0.027832987481869232,0.7159318740849122,79,0.03158736505397841,2.7201208277385236,2.283562412780356,180.0,164.89611746254175,0.009949724190653405,0.9903667443360135,160.0,2.552713198549995,0.0
DiagonalScanPath_7,evaluation,180,2,2.5579538487363607e-12,0.01415316383726026,0.7159318740849122,80,0.03198720511795282,2.846539173110377,2.5218178195117296,180.0,126.46849593227896,0.014481337023715585,0.955474860706124,132.0,3.5353375795883295,0.0
DiagonalScanPath_8,calibration,180,2,2.6147972675971687e-12,0.02420908645421882,0.7159318740849122,77,0.03078768492602959,3.06156684424828,2.5942242004168845,180.0,161.8419982409503,0.010769000695195078,0.9892804729804527,156.0,1.5801946738969548,0.0
HorizontalScanPath_1,evaluation,180,0,2.6716406864579767e-12,0.019977915661585355,0.7159318740849122,81,0.032387045181927226,2.3362551184433964,2.072788496217603,180.0,179.96837630136343,0.005710872123791183,0.999983104202181,178.0,0.055106174442968836,0.0
HorizontalScanPath_2,evaluation,180,1,2.5579538487363607e-12,0.01827774111750956,0.7159318740849122,82,0.03278688524590164,2.3543719517122503,1.90653286655082,180.0,179.83584885982793,0.005844110165019297,0.9999117661366476,178.0,0.12825481421565144,0.0
HorizontalScanPath_3,evaluation,180,0,2.5011104298755527e-12,0.012917743450655732,0.7159318740849122,80,0.03198720511795282,2.4498292697436965,2.108352308521746,180.0,179.95725430269277,0.005814641912138878,0.9999770824401141,179.0,0.09214564798661229,0.0
HorizontalScanPath_4,evaluation,180,1,2.6147972675971687e-12,0.017570056815500626,0.7159318740849122,90,0.03598560575769692,2.149644136871292,1.8164370527120122,180.0,177.34108960034965,0.007278759741905482,0.9985366778969534,173.0,0.7440519576534115,0.0
HorizontalScanPath_5,evaluation,180,2,2.5011104298755527e-12,0.015771522428400766,0.7159318740849122,83,0.03318672530987605,2.2837726459313594,1.981498903042539,180.0,176.63069626110294,0.007061816834359128,0.9981295168765614,167.0,0.7377268200888665,0.0
HorizontalScanPath_6,evaluation,180,2,2.5011104298755527e-12,0.011071507236235059,0.7159318740849122,78,0.031187524990004,2.42798065441825,2.0540222485962705,180.0,159.36007151528963,0.012065408829993726,0.9879328592619024,156.0,1.8464659337381164,0.0
HorizontalScanPath_7,evaluation,180,2,2.4442670110147446e-12,0.029703489525855963,0.7159318740849122,81,0.032387045181927226,2.346534294838893,2.139312985186778,180.0,61.10901056801363,0.03025045947860412,0.8408192017196173,86.0,29.154166340083762,0.0
HorizontalScanPath_8,evaluation,180,2,2.4442670110147446e-12,0.02108155510730605,0.7159318740849122,83,0.03318672530987605,2.3328248105326024,1.984444912344575,180.0,147.99131815899554,0.010632407799322136,0.9784449460306697,144.0,2.216334355088918,0.0
HorizontalScanPath_10,evaluation,180,2,2.5579538487363607e-12,0.024604685949259304,0.7159318740849122,73,0.029188324670131948,2.7154174495621515,2.1736624194621537,180.0,169.63576040305014,0.008801048289210635,0.9942263714085391,163.0,1.0317113473542179,0.0
HorizontalScanPath_11,evaluation,180,3,2.6147972675971687e-12,0.015961938206348527,0.7159318740849122,78,0.031187524990004,2.6094915770781015,2.035023466430805,180.0,170.01813650677138,0.008538892006627729,0.9942251399611661,163.0,1.1826028780633635,0.0
HorizontalScanPath_12,evaluation,180,3,2.5011104298755527e-12,0.011889257431083437,0.7159318740849122,86,0.03438624550179928,2.4265666660057685,2.09883200916295,180.0,146.82684449603963,0.014083487818921466,0.9806324529942605,148.0,2.0622933367179286,0.0
HorizontalScanPath_13,calibration,180,1,2.6147972675971687e-12,0.026932381436014095,0.7159318740849122,77,0.03078768492602959,2.720531247724229,2.3781927259288977,180.0,82.58925898594907,0.016623138974333807,0.8850865108636192,93.0,7.0672685890792195,0.0
SpiralScanPath_1,evaluation,180,3,2.3874235921539366e-12,0.018130796140052138,0.7159318740849122,72,0.028788484606157537,2.657064232673197,2.085295254877664,180.0,152.4410639175701,0.009121196487608474,0.9814895627030434,147.0,1.6656171577435543,0.0
