method,region,rmse_K_mean,rmse_K_std,rmse_K_count,mae_K_mean,mae_K_std,mae_K_count,signed_error_K_mean,signed_error_K_std,signed_error_K_count,crps_K_mean,crps_K_std,crps_K_count,coverage_95_mean,coverage_95_std,coverage_95_count,interval_width_95_K_mean,interval_width_95_K_std,interval_width_95_K_count,posterior_sd_K_mean,posterior_sd_K_std,posterior_sd_K_count
mean-only sequential advective stochastic ST,Q1,0.1822733902440477,0.010675934339747308,30,0.1254729380220111,0.008678257680611385,30,0.07048249085489215,0.013641673009704978,30,0.1738574897834418,0.0024908266425195387,30,1.0,0.0,30,2.516576150816865,0.016814183961258562,30,0.6575866815564713,0.0035933561934481753,30
mean-only sequential advective stochastic ST,Q2,0.1834803933382185,0.010091937983686088,30,0.12608961078362727,0.008638595841103788,30,0.07085413550598064,0.010723429233851651,30,0.1733153068402749,0.0023384228681308907,30,1.0,0.0,30,2.500405235643365,0.010930827846641024,30,0.653772106673019,0.002191795342362479,30
mean-only sequential advective stochastic ST,Q3,0.18643038416799612,0.008511852566777247,30,0.12918430019987326,0.0069583655806486466,30,0.07199000053610337,0.015107416425126492,30,0.174459530139746,0.0019886899287675443,30,1.0,0.0,30,2.5105735336280337,0.00941734441522722,30,0.6569760856783362,0.0014864720240582137,30
mean-only sequential advective stochastic ST,Q4,0.9372756979049826,0.06474837288281761,30,0.34997933504438994,0.0247960994789952,30,-0.06823387777097635,0.041325385305846236,30,0.32074632361659,0.015232589044008569,30,0.9620266666666667,0.0062736962285255896,30,2.542377640049243,0.013419668747697726,30,0.6646958955063893,0.0028521535400401407,30
mean-only sequential advective stochastic ST,top_1pct,4.303514516121585,0.36853772819765346,30,3.159388036369825,0.39804644357079044,30,-2.634391914424778,0.41526409367019396,30,2.8080419939737875,0.3824687757011382,30,0.3,0.11265561456202926,30,2.671091474153996,0.03985587287466606,30,0.698927608871754,0.006856286906096226,30
mean-only sequential advective stochastic ST,above_camera_ceiling,2.5809953416180322,0.19777390447309384,30,1.4327062647636948,0.12760536298155342,30,-0.741387785534083,0.29014550852831567,30,1.2130434775245242,0.1179142384531283,30,0.7166666666666667,0.040257394539845136,30,2.630714386841282,0.028443531277871432,30,0.6878383442569013,0.006196360265757558,30
mean-only sequential advective stochastic ST,overall,0.4950901375344149,0.030786699348591184,30,0.18265884023694917,0.00789086973434173,30,0.03628716720227895,0.011069730908693372,30,0.21058002406939197,0.0037951291580838207,30,0.9905104624816741,0.0015677969383560374,30,2.517482816048264,0.0033778707885071236,30,0.6582574279636646,0.0003831040758146119,30
moment-matched sequential advective stochastic ST,Q1,0.1822727358109443,0.010673851758663533,30,0.12547332381612633,0.008674982197661912,30,0.07048523173784808,0.013636438730051029,30,0.17374233646041748,0.00247844537036952,30,0.9999467518636849,0.0002916520540496069,30,2.5142304300520757,0.015208504478341564,30,0.6575877107090364,0.0035927804813137244,30
moment-matched sequential advective stochastic ST,Q2,0.1834803944199832,0.010091932852011301,30,0.12608963085088157,0.008638579332142364,30,0.07085413493924539,0.010723427771115327,30,0.1731954672309766,0.002373288127881924,30,0.9999466666666667,0.0002921186973360925,30,2.499560384838118,0.009219576127429276,30,0.6537721173064086,0.0021917979477926093,30
moment-matched sequential advective stochastic ST,Q3,0.1864360912708302,0.00851833193557971,30,0.1291816647986125,0.006957344662546359,30,0.07200189239082641,0.015106989977122372,30,0.17443458434507308,0.0022057956873368302,30,1.0,0.0,30,2.5120563231204316,0.008756337671821931,30,0.6569827717911658,0.0014877659993377675,30
moment-matched sequential advective stochastic ST,Q4,0.9373136280777226,0.0668506715575941,30,0.3504784612163039,0.02527530141350806,30,-0.06692916255140902,0.04545426434224015,30,0.31824287699317855,0.015841740989866307,30,0.9699733333333334,0.007212964063040444,30,2.62038832719328,0.04193728660260793,30,0.6847651442910315,0.010841969009399054,30
moment-matched sequential advective stochastic ST,top_1pct,4.3016681142430055,0.36986364135492,30,3.1542403066853217,0.3918188565493867,30,-2.622394691421904,0.443312656729747,30,2.749229122294025,0.3888076916392065,30,0.38846153846153847,0.14925168712264983,30,3.330478775720964,0.39043183677589166,30,0.8730986096587142,0.10295413716199218,30
moment-matched sequential advective stochastic ST,above_camera_ceiling,2.5826024643048617,0.201665223347193,30,1.4412608408870333,0.13350237938572848,30,-0.7355624218423592,0.30712239367334876,30,1.1965540942481454,0.12164105593697266,30,0.7706140350877193,0.05663993814485064,30,3.1736401340535725,0.297286453046628,30,0.8317439645034433,0.07817376829441404,30
moment-matched sequential advective stochastic ST,overall,0.49510663548743883,0.03192092013151151,30,0.18278301487941787,0.007998855522781536,30,0.03661687326378848,0.01170204807275108,30,0.20988940356442073,0.004038182117939868,30,0.9924696787951486,0.001831043305535401,30,2.53654998760351,0.010346997108116616,30,0.6632746651513071,0.0025594384572762176,30
full-posterior mixture sequential advective stochastic ST,Q1,0.18227518165644505,0.010674003296081107,30,0.12547531683197172,0.008673797264107917,30,0.0704879895609687,0.013634710999988114,30,0.17354519288126624,0.00256909769216325,30,0.9999467518636849,0.0002916520540496069,30,2.5127822764758747,0.014914117833299708,30,0.65758779046621,0.0035927070119426106,30
full-posterior mixture sequential advective stochastic ST,Q2,0.18348039370888578,0.010091940535466085,30,0.1260895700951089,0.008638647516944068,30,0.07085418261843021,0.010723435596089136,30,0.17332276755422002,0.002272732027866434,30,0.9999466666666667,0.0002921186973360925,30,2.501076292069053,0.010467395613889027,30,0.6537721081622954,0.0021917961214724152,30
full-posterior mixture sequential advective stochastic ST,Q3,0.18644038578249703,0.008518464928155212,30,0.12918185994157733,0.0069581983257037015,30,0.07201058064421009,0.015103500644262672,30,0.17463599012999545,0.0018681774606668952,30,1.0,0.0,30,2.5141617177308717,0.010333939954301062,30,0.6569830957783036,0.0014883252506081846,30
full-posterior mixture sequential advective stochastic ST,Q4,0.937023806714008,0.06741063932594979,30,0.3509434126699012,0.02582719545912379,30,-0.06577067154366938,0.046151787294223916,30,0.31831800762113444,0.016016726346679392,30,0.9704533333333334,0.006478597833255067,30,2.6205742199996185,0.044157098915398936,30,0.6857295734645911,0.011918553108847313,30
full-posterior mixture sequential advective stochastic ST,top_1pct,4.296549797582079,0.3769930951210036,30,3.1489342454903246,0.4043216144645986,30,-2.619753925657082,0.4422508726316276,30,2.7447599451586484,0.40019957228477543,30,0.39871794871794874,0.1496385270276312,30,3.352242418660968,0.4076497010826065,30,0.878881717793176,0.10974126071106402,30
full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,2.5809824129812653,0.20346099232422368,30,1.4420275484978626,0.13353760662770237,30,-0.7277479990051529,0.3096080424777558,30,1.196938605606427,0.12327110556420033,30,0.7728070175438596,0.05462789893737656,30,3.1907120051978586,0.3136382555297682,30,0.8391268859576442,0.08677274286177124,30
