method,method_label,region,region_label,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K,rbf_to_method_interval_width_ratio,rbf_to_method_posterior_sd_ratio
moment-matched sequential advective stochastic ST,moment-matched ST,overall,overall,0.4951066354874388,0.1827830148794178,0.0366168732637884,0.2098894035644207,0.9924696787951486,2.53654998760351,0.6632746651513071,4.517047165397961,4.5169445642103945
full-posterior mixture sequential advective stochastic ST,full-mixture ST,overall,overall,0.4949748357780821,0.1828997387012386,0.036909253605645,0.2099409573634608,0.992589630814341,2.537139013965245,0.6635157746828368,4.515998480307008,4.515303188934361
posterior physics mean + RBF,posterior mean + RBF,overall,overall,0.5153057736977394,0.2067529179115331,0.0447259382336289,0.7279926525921767,0.9984006397441024,11.457715931394668,2.995974893333666,1.0,1.0
moment-matched sequential advective stochastic ST,moment-matched ST,Q4,Q4,0.9373136280777226,0.3504784612163039,-0.066929162551409,0.3182428769931785,0.9699733333333334,2.62038832719328,0.6847651442910315,4.444521980014358,4.448518125249499
full-posterior mixture sequential advective stochastic ST,full-mixture ST,Q4,Q4,0.937023806714008,0.3509434126699012,-0.0657706715436693,0.3183180076211344,0.9704533333333334,2.6205742199996185,0.6857295734645911,4.444206703821304,4.44226160544181
posterior physics mean + RBF,posterior mean + RBF,Q4,Q4,0.9693321163666256,0.3969404066631865,-0.0027591451304997,0.8008783550956622,0.9936,11.646373516383589,3.046190155917742,1.0,1.0
moment-matched sequential advective stochastic ST,moment-matched ST,above_camera_ceiling,above camera ceiling,2.5826024643048617,1.441260840887033,-0.7355624218423592,1.1965540942481454,0.7706140350877193,3.1736401340535725,0.8317439645034433,3.853845313702949,3.8490218082727194
full-posterior mixture sequential advective stochastic ST,full-mixture ST,above_camera_ceiling,above camera ceiling,2.5809824129812653,1.4420275484978626,-0.7277479990051529,1.196938605606427,0.7728070175438596,3.1907120051978586,0.8391268859576442,3.833225354741323,3.815156815788832
posterior physics mean + RBF,posterior mean + RBF,above_camera_ceiling,above camera ceiling,2.6108367383018347,1.5737153880225712,-0.3809243131668294,1.3586671109903072,0.949561403508772,12.23071815800196,3.201400658272964,1.0,1.0
moment-matched sequential advective stochastic ST,moment-matched ST,top_1pct,top 1%,4.3016681142430055,3.1542403066853217,-2.622394691421904,2.749229122294025,0.3884615384615384,3.330478775720964,0.8730986096587142,3.7703253766664027,3.764081184980143
full-posterior mixture sequential advective stochastic ST,full-mixture ST,top_1pct,top 1%,4.296549797582079,3.1489342454903246,-2.619753925657082,2.7447599451586484,0.3987179487179487,3.352242418660968,0.878881717793176,3.7458474287684163,3.7393132462701515
posterior physics mean + RBF,posterior mean + RBF,top_1pct,top 1%,4.173155531890128,2.9266368823225064,-2.3668139417373606,2.242930908631004,0.8551282051282051,12.556988644549604,3.2864140492486884,1.0,1.0
