method,method_label,percentile_bin,percentile_lower,percentile_upper,n_pixels,n_trajectories,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K,mean_abs_standardized_residual
full-posterior mixture sequential advective stochastic ST,full-mixture ST,0-10%,0.0,10.0,7500,30,0.18353722700194677,0.12644552290864453,0.06639734476007923,0.17443417922741575,1.0,2.5198814482554908,0.6600317774631478,0.19810170356051376
posterior physics mean + RBF,posterior mean + RBF,0-10%,0.0,10.0,7500,30,0.20178648035815674,0.14334938608088202,0.05245830362096129,0.711651701694453,1.0,11.521379506156011,3.0129732927959294,0.06261824934023735
posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,0-10%,0.0,10.0,7500,30,0.1828947486607909,0.12527742726645863,0.06776628400372618,0.17462775677311176,1.0,2.533937791461427,0.6627145038842388,0.19534872849068366
full-posterior mixture sequential advective stochastic ST,full-mixture ST,10-20%,10.0,20.0,7500,30,0.18206857522638809,0.12425630493935999,0.07171738300506988,0.17318402498524543,0.9998666666666667,2.510528616124102,0.6562566796164259,0.19594514075369035
posterior physics mean + RBF,posterior mean + RBF,10-20%,10.0,20.0,7500,30,0.19986988218812154,0.14103387943957935,0.06133963736007336,0.7037305506188306,1.0,11.397292512974953,2.9804138251632653,0.06387882409075185
posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,10-20%,10.0,20.0,7500,30,0.18143220191596635,0.12316047833288965,0.07274730973975133,0.17405985193531845,1.0,2.523724569641536,0.6589842999638078,0.1933055272925287
full-posterior mixture sequential advective stochastic ST,full-mixture ST,20-30%,20.0,30.0,7500,30,0.18469092463331943,0.1275775220342403,0.0760810447361713,0.17267946899101352,1.0,2.4927160207349033,0.6517389221476587,0.20258652457571572
posterior physics mean + RBF,posterior mean + RBF,20-30%,20.0,30.0,7500,30,0.201736854344812,0.14386179008027344,0.06566114336405261,0.6951760416659643,1.0,11.246449169097119,2.9402572349099803,0.06745713719123807
posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,20-30%,20.0,30.0,7500,30,0.18414597830800522,0.12656507468687095,0.07709515189053066,0.17374502620966173,1.0,2.503854862745008,0.6545101821114645,0.200019759984219
full-posterior mixture sequential advective stochastic ST,full-mixture ST,30-40%,30.0,40.0,7500,30,0.18093641040131062,0.12440518576338268,0.06422339667490824,0.17269411004193466,0.9998666666666667,2.4945877533612637,0.6533142697863616,0.19762822253211534
posterior physics mean + RBF,posterior mean + RBF,30-40%,30.0,40.0,7500,30,0.20001737271292533,0.14151680579775433,0.0502458208034465,0.6973237702638263,1.0,11.301889055851152,2.9534504596091122,0.06711478150147843
posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,30-40%,30.0,40.0,7500,30,0.18035759637015367,0.12335546425233529,0.06553118541760264,0.17308458398217075,1.0,2.5096729958020236,0.6560485713909938,0.19504536353941032
full-posterior mixture sequential advective stochastic ST,full-mixture ST,40-50%,40.0,50.0,7500,30,0.18469398783370936,0.12629450947292917,0.0750617502035103,0.17423962800514667,1.0,2.5172970444628295,0.6571550705393677,0.19866520803074944
posterior physics mean + RBF,posterior mean + RBF,40-50%,40.0,50.0,7500,30,0.2026861437818651,0.14270345001690862,0.06520222162066032,0.7055955810657307,1.0,11.419529492756528,2.987341270204824,0.0640495836970803
posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,40-50%,40.0,50.0,7500,30,0.18403714803794882,0.12520266378100678,0.07609084539811371,0.1744966053032328,1.0,2.523885897378174,0.6598625085076414,0.19603130260701912
full-posterior mixture sequential advective stochastic ST,full-mixture ST,50-60%,50.0,60.0,7530,30,0.18173641970672597,0.12364137787483954,0.07529042435770533,0.17339705727147767,1.0,2.5139490399165183,0.6570270300425184,0.1943823078570438
posterior physics mean + RBF,posterior mean + RBF,50-60%,50.0,60.0,7530,30,0.19798985309567804,0.13918819025974494,0.06713819468105924,0.7060942733780529,1.0,11.434118060898967,2.988877669276093,0.061809482651018814
