trajectory,method,method_label,percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K,mean_abs_standardized_residual
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,0-10%,0.0,10.0,250,0.18776733312405686,0.1242967056841635,0.07490636242393066,0.17833282670155928,1.0,2.5547653273994,0.6697577000621011,0.19068583900684571
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,10-20%,10.0,20.0,250,0.20944505824137027,0.139481748749429,0.09270609720238031,0.17960878957254478,1.0,2.527865906582994,0.6586742007443819,0.2169103045474698
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,20-30%,20.0,30.0,250,0.17427390499832063,0.11530757507659564,0.0659151033169046,0.17231148017079267,1.0,2.5230971256552976,0.6586938583648785,0.18115509046876724
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,30-40%,30.0,40.0,250,0.15116391258109238,0.10502330521272688,0.04508931887116205,0.1626970544190833,1.0,2.4685227334338915,0.6452603463067678,0.1688531722852108
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,40-50%,40.0,50.0,250,0.17229147362662145,0.11013689845223348,0.07185360277104223,0.1717479939302384,1.0,2.524028090093374,0.6567847444540652,0.17090751019178185
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,50-60%,50.0,60.0,251,0.1864123590346419,0.13134406675683896,0.05881237650662302,0.17463879294325546,1.0,2.4958345266040363,0.6536548859682285,0.21332654482246866
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,60-70%,60.0,70.0,250,0.19023135788596973,0.12861284133380788,0.07211068042178659,0.17676382819396583,1.0,2.507484070095502,0.6577768847087454,0.19932022705063684
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,70-80%,70.0,80.0,250,0.16982281496126356,0.11649498016169332,0.055238499094102965,0.17103680095027587,1.0,2.5034771872441333,0.6546065396654137,0.1857823418316654
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,80-90%,80.0,90.0,250,0.2254727802688574,0.1795304683027391,0.027550481234005247,0.18244970843857947,1.0,2.528120524514469,0.6562978188403074,0.277245317547996
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,90-95%,90.0,95.0,125,0.32160682346593283,0.2394303400758472,0.0027027506652757436,0.20586770232233753,1.0,2.5143846670601184,0.6577321957793029,0.3628661310023469
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,95-99%,95.0,99.0,100,0.7495209755382654,0.5635689592729392,0.28420768574589206,0.4080693192654746,0.94,2.9736757543062864,0.7804728559212966,0.7151162906747613
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,full-mixture ST,99-100%,99.0,100.0,25,4.298791325971757,3.017642833032269,-2.198850586132721,2.6585181862166882,0.36,3.141126800898005,0.8318720869888244,3.712363526544466
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,0-10%,0.0,10.0,250,0.20355585922075317,0.13966872592686128,0.06739175636229788,0.730551474108704,1.0,11.913495177280081,3.0936387049324274,0.05595085845847062
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,10-20%,10.0,20.0,250,0.2306243593512328,0.15708325590894673,0.0870611549759924,0.7117610527298758,1.0,11.503687814142207,3.007184657405213,0.06243373180345629
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,20-30%,20.0,30.0,250,0.18156398495203815,0.125228879941237,0.05343725166690388,0.7070143142330316,1.0,11.327356939675745,2.9960076260473625,0.05295545261100363
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,30-40%,30.0,40.0,250,0.17018404695331266,0.12161258737322009,0.029339411607952344,0.6821729780215149,1.0,11.042832748449277,2.884212581639517,0.059422307548463865
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,40-50%,40.0,50.0,250,0.18535709085019086,0.12339657289053753,0.06292632420411906,0.7068901418434955,1.0,11.446040057497001,2.9913879680433006,0.04878195922450363
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,50-60%,50.0,60.0,251,0.2144195902591207,0.15659436824687492,0.045175820146037,0.7006802817193953,1.0,11.279647221862495,2.9541653551201694,0.08278368565710449
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,60-70%,60.0,70.0,250,0.2082559043015094,0.14693147924614208,0.058572061517019616,0.7027240575301718,1.0,11.446811497097514,2.9899920104362017,0.06659478036748706
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,70-80%,70.0,80.0,250,0.18567068690586722,0.1321330389584407,0.04046940183136962,0.7039018612706791,1.0,11.39107649050876,2.9697174274874802,0.06223943574910497
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,80-90%,80.0,90.0,250,0.2438080613427883,0.1960026331037493,0.021831291527618306,0.7050161536685785,1.0,11.401877933244235,2.984747378975095,0.07939462136519776
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,90-95%,90.0,95.0,125,0.41048138127062145,0.2855893035821846,0.058628687275168886,0.7091789928471662,1.0,11.33723248045472,2.9773067501109862,0.1092414305610521
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,95-99%,95.0,99.0,100,1.1006111126683114,0.8003422616112948,0.5718500178327508,0.9002212803275259,1.0,12.093197423279873,3.1752455200690504,0.26194265082379703
DiagonalScanPath_1,posterior physics mean + RBF,posterior mean + RBF,99-100%,99.0,100.0,25,4.301960069532401,3.0218891679809623,-2.180580162520264,2.3441009359637675,0.88,12.752485935611306,3.2958167510855123,0.9115848272045086
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,0-10%,0.0,10.0,250,0.18715566682944218,0.12317941067428455,0.07606947260334436,0.17847182800886718,1.0,2.5697373994470762,0.672268181173797,0.18814525659379447
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,10-20%,10.0,20.0,250,0.20831204887539873,0.13817769071323346,0.09329681523508453,0.17793946665707974,1.0,2.5256219455690863,0.6614281805440699,0.2138070296248233
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,20-30%,20.0,30.0,250,0.17410216022788066,0.11447812644571355,0.06713007484412833,0.17223551968203424,1.0,2.5297527538515214,0.6613119205739045,0.17902181750050192
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,30-40%,30.0,40.0,250,0.15056667275821914,0.10393668063948394,0.04647587402582371,0.16605209330239146,1.0,2.489137292656661,0.648097150469177,0.1662985619205736
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,40-50%,40.0,50.0,250,0.1717400031712545,0.10925457685648599,0.0728957077781838,0.17045788443976723,1.0,2.5215650319257246,0.6596123753792711,0.1686644207389034
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,50-60%,50.0,60.0,251,0.18541198513853932,0.12981645754230856,0.060054689681362065,0.17496279164842268,1.0,2.5084171488649636,0.656373853134194,0.20994038793152764
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,60-70%,60.0,70.0,250,0.18953966390663812,0.1273993154782504,0.07312824042224861,0.17418940821009563,1.0,2.519515818246885,0.6604674262033552,0.19661311908088996
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,70-80%,70.0,80.0,250,0.1695649544156532,0.11571345190420766,0.05673114576997864,0.17199197075216302,1.0,2.506657396211753,0.6574171316059038,0.18358099086478186
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,80-90%,80.0,90.0,250,0.2245861449613623,0.17864250288772426,0.028382112293148565,0.18318803897860686,1.0,2.532556068479156,0.6590788436328354,0.2744959536561379
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,90-95%,90.0,95.0,125,0.3208064589171705,0.23846749907260117,0.00195901430931508,0.21109952246752586,0.992,2.5148630017458866,0.6590355433821832,0.36108215734427745
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,95-99%,95.0,99.0,100,0.7335047216775598,0.5535617558024944,0.2670340727499479,0.41544106796909847,0.91,2.632321725621907,0.6886175158724709,0.8035357162623336
DiagonalScanPath_1,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,99-100%,99.0,100.0,25,4.305382944381833,3.0245414573352694,-2.2109417883381752,2.6992349485608713,0.36,2.656953068271118,0.6972835909262236,4.317669740517874
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,0-10%,0.0,10.0,250,0.17051848813571924,0.12327882694548566,0.07635927602384412,0.17110544272255754,1.0,2.527920286131906,0.6616272515805762,0.1905469964075475
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,10-20%,10.0,20.0,250,0.18638870599510923,0.13219147659931035,0.08891792797197082,0.17241436267885382,1.0,2.504704112388511,0.6535630646798937,0.2068880761008281
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,20-30%,20.0,30.0,250,0.18727134948955157,0.1347546906931527,0.05921544523460057,0.1753558378715729,1.0,2.4976423475173304,0.6522158488929738,0.21558510228519798
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,30-40%,30.0,40.0,250,0.1720253837591626,0.123780623417362,0.06249869736874848,0.17032733460051389,1.0,2.4792897874571502,0.6471916732908463,0.19983004457042075
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,40-50%,40.0,50.0,250,0.20430034314774423,0.14450945504092716,0.11713429630155542,0.17882817884171476,1.0,2.552159540292045,0.6629660143277586,0.22528921110456174
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,50-60%,50.0,60.0,251,0.1884195087287147,0.1325971101764947,0.09151737100533688,0.1762805868700888,1.0,2.5355780361051736,0.658068963578529,0.2081258851661117
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,60-70%,60.0,70.0,250,0.18942536229962464,0.13107312514102137,0.10794190176011739,0.1761885829642706,1.0,2.5181781589961543,0.6558538075817748,0.21065631508411403
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,70-80%,70.0,80.0,250,0.19450783925973314,0.13767192035341008,0.08166544046207741,0.17732334070715858,1.0,2.5578874695827296,0.6671698613166768,0.20971012619946078
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,80-90%,80.0,90.0,250,0.24993028860972089,0.1996425118917796,0.0022597857378355,0.188723786729845,1.0,2.5126212449405356,0.6534709639679965,0.3102289798037614
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,90-95%,90.0,95.0,125,0.26133987261109487,0.20730133322654273,0.010275317368028482,0.19339875987916438,1.0,2.5219510467682174,0.6617126718779152,0.316212570613182
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,95-99%,95.0,99.0,100,0.46664914580378175,0.3577962545032364,0.0846248180306776,0.268629939647415,0.99,2.7049579146902194,0.7065510139401026,0.5059142087516547
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,full-mixture ST,99-100%,99.0,100.0,25,4.7570316034254,3.723570552789279,-2.8659003996739103,3.310179399931213,0.2,2.9266186809277337,0.7637234547272408,4.909443196497559
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,0-10%,0.0,10.0,250,0.18731798065000949,0.13892410524212664,0.0691063393975337,0.7149556637488665,1.0,11.592374547561851,3.0331222275629233,0.0553489167512274
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,10-20%,10.0,20.0,250,0.20119024453602774,0.14969847034600595,0.08142015364308759,0.6980293925053683,1.0,11.367125034423779,2.9588439661231307,0.0669948439970295
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,20-30%,20.0,30.0,250,0.2159256226613372,0.15989688829100895,0.04609684377471558,0.6977550349161629,1.0,11.243162358002667,2.9498607215653827,0.07877238318175096
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,30-40%,30.0,40.0,250,0.1946507882294566,0.14442230837501482,0.04971310716591961,0.6838637947762842,1.0,11.16162914393046,2.9014367861000614,0.07141344711233451
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,40-50%,40.0,50.0,250,0.22299845718338365,0.16179958368977373,0.12111418512897558,0.7162207022814696,1.0,11.554652376582926,3.0290255996931936,0.07436264229887876
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,50-60%,50.0,60.0,251,0.20511749765642512,0.14912490954090882,0.08627511017972479,0.7123643321127371,1.0,11.47863941355811,2.9945172750841316,0.06623479330187167
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,60-70%,60.0,70.0,250,0.205944983337606,0.14570065840363486,0.1121326232478218,0.7048807624357687,1.0,11.469386464514884,2.981100764543745,0.06621081538955002
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,70-80%,70.0,80.0,250,0.20654993260633067,0.1507234821678719,0.07944647094385641,0.7169098299433599,1.0,11.751838821491063,3.068950781736232,0.06046406077410957
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,80-90%,80.0,90.0,250,0.2721497729326965,0.21896938223660642,0.005035578663748993,0.7058880955089355,1.0,11.36982195754407,2.956312879507763,0.09199379233167036
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,90-95%,90.0,95.0,125,0.28269499830137457,0.22067038217869503,0.028129068307268426,0.7198943447111192,1.0,11.525004348314358,3.016137774085426,0.08070321204876242
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,95-99%,95.0,99.0,100,0.7167977688248901,0.5191142676865041,0.2485340837640507,0.7913676878844862,1.0,11.732966107098168,3.054699943904509,0.18350897592133233
DiagonalScanPath_2,posterior physics mean + RBF,posterior mean + RBF,99-100%,99.0,100.0,25,4.752289346182842,3.7202071097487557,-2.861375263203897,2.6218390268412946,0.84,12.342999058320071,3.274320864258328,1.1220914183373125
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,0-10%,0.0,10.0,250,0.1695494211019503,0.1219478046087654,0.07692488631531046,0.17330524602989492,1.0,2.541379986298225,0.6644395331120534,0.18760816015855744
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,10-20%,10.0,20.0,250,0.18593558680384686,0.13117369730297515,0.08954854104987361,0.17410999842776767,1.0,2.5269320188071545,0.6563377338669373,0.20431324228112976
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,20-30%,20.0,30.0,250,0.1860916918798195,0.1330800835255452,0.05988007740069884,0.1752959124796696,1.0,2.512267620132665,0.6550823486553592,0.2119104597909044
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,30-40%,30.0,40.0,250,0.1713513051978036,0.12261492399902113,0.06368128914471595,0.17020230430904065,1.0,2.502184497205957,0.6500368736399662,0.19691550383509
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,40-50%,40.0,50.0,250,0.20356250161617243,0.14341344377895052,0.11726800912745898,0.18091493478516923,1.0,2.559841032637391,0.6654300062155238,0.22264547010737568
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,50-60%,50.0,60.0,251,0.18769688806064225,0.13140208806992137,0.0920720365692891,0.175730956910891,1.0,2.542860129095591,0.6607482248581501,0.20530850709538775
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,60-70%,60.0,70.0,250,0.18865229542190934,0.12997786818879173,0.10783783126743242,0.17550692466765816,1.0,2.501697807298302,0.6586215792008205,0.20784750935538318
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,70-80%,70.0,80.0,250,0.19383055111346847,0.13669081634977057,0.08193190568697037,0.17825136485455517,1.0,2.561755836952689,0.6696804904750916,0.20737724037867047
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,80-90%,80.0,90.0,250,0.24835467420123078,0.19830402308531847,0.0018215224776022296,0.18728948833795617,1.0,2.509072013676835,0.6559405810065221,0.3068728307470209
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,90-95%,90.0,95.0,125,0.2605198951760375,0.20648415363305503,0.008789027555658323,0.19635901848303383,1.0,2.492758040150926,0.6629250112171964,0.31398391377881923
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,95-99%,95.0,99.0,100,0.461188268814326,0.35111497486900417,0.0814784634519566,0.267725988691477,0.99,2.5661832391296473,0.667153670809625,0.5300831596869096
DiagonalScanPath_2,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,99-100%,99.0,100.0,25,4.759334608272055,3.7257513205701773,-2.869425984967709,3.3504217290506104,0.12,2.6941022530733947,0.694170790221762,5.319640772417069
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,0-10%,0.0,10.0,250,0.16107604229311706,0.11328139788600629,0.07749048863020744,0.1694873734053459,1.0,2.520664011377592,0.6609802665903094,0.1781421129260975
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,10-20%,10.0,20.0,250,0.17995523580619371,0.11816385825485486,0.08619934481701602,0.17545150198603188,1.0,2.5283997452579614,0.6609412550908409,0.1840087340036215
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,20-30%,20.0,30.0,250,0.17255434885181706,0.11954215330836519,0.07472743379407097,0.17139094505560515,1.0,2.500339706678581,0.6559133715042406,0.1885973230395601
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,30-40%,30.0,40.0,250,0.17492351191804176,0.12137893798032678,0.08420993572009389,0.17169815072460856,1.0,2.476324677651082,0.6478637004084611,0.19625705810858768
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,40-50%,40.0,50.0,250,0.2100366507247294,0.13872408520194607,0.0840191735531655,0.18152125915963932,1.0,2.5066595292693394,0.6550509401697729,0.2208488110281383
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,50-60%,50.0,60.0,251,0.16246146210381326,0.10928308999062082,0.07129495260637778,0.16834743767211996,1.0,2.496635787154429,0.6565742655950247,0.17039588511282205
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,60-70%,60.0,70.0,250,0.18841881703332444,0.12043455739535898,0.07317056278405266,0.17334237943111477,1.0,2.5297706843172967,0.6575209515453605,0.18680817892187282
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,70-80%,70.0,80.0,250,0.19543774882653073,0.15152674738931138,0.048572752162395774,0.17862967016954917,1.0,2.540898187523649,0.6653336604345798,0.23496007749327827
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,80-90%,80.0,90.0,250,0.26483165895506994,0.20777612713905774,0.01078750862320976,0.19238519492900585,1.0,2.492026388110463,0.6520154252685285,0.32332004248253005
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,90-95%,90.0,95.0,125,0.3455160863296415,0.24648303594612345,-0.10287114218151829,0.21831377031087174,0.984,2.5471939740549114,0.6650233999096218,0.37789568105942
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,95-99%,95.0,99.0,100,0.5341251349424305,0.4142798108803152,-0.06402020866058705,0.3064244823136146,0.99,2.8145774782965636,0.730282271141792,0.5793895011400467
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,full-mixture ST,99-100%,99.0,100.0,25,4.937836855056334,3.586866258671155,-2.723805021834835,3.1825209321521526,0.44,3.1503082576984163,0.8291377433291757,4.2649213173516
DiagonalScanPath_3,posterior physics mean + RBF,posterior mean + RBF,0-10%,0.0,10.0,250,0.17304096308052738,0.12672340778525745,0.07323766692351888,0.7113026449251465,1.0,11.486898760947325,3.0221845512315086,0.05510006325936482
DiagonalScanPath_3,posterior physics mean + RBF,posterior mean + RBF,10-20%,10.0,20.0,250,0.18790987146362342,0.12726911357042717,0.08019031380621391,0.7117120730223911,1.0,11.54681025831367,3.019854585706536,0.05262862052187382
DiagonalScanPath_3,posterior physics mean + RBF,posterior mean + RBF,20-30%,20.0,30.0,250,0.18515429846572923,0.13108350853901402,0.06421921198114477,0.6995256550117301,1.0,11.406666892926394,2.979175572032262,0.05976408412395096
