method,region,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
full-posterior mixture sequential advective stochastic ST,Q1,0.18227518165644505,0.12547531683197172,0.0704879895609687,0.17354519288126624,0.9999467518636849,2.5127822764758747,0.65758779046621
full-posterior mixture sequential advective stochastic ST,Q2,0.18348039370888578,0.1260895700951089,0.07085418261843021,0.17332276755422002,0.9999466666666667,2.501076292069053,0.6537721081622954
full-posterior mixture sequential advective stochastic ST,Q3,0.18644038578249703,0.12918185994157733,0.07201058064421009,0.17463599012999545,1.0,2.5141617177308717,0.6569830957783036
full-posterior mixture sequential advective stochastic ST,Q4,0.937023806714008,0.3509434126699012,-0.06577067154366938,0.31831800762113444,0.9704533333333334,2.6205742199996185,0.6857295734645911
full-posterior mixture sequential advective stochastic ST,top_1pct,4.296549797582079,3.1489342454903246,-2.619753925657082,2.7447599451586484,0.39871794871794874,3.352242418660968,0.878881717793176
full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,2.5809824129812653,1.4420275484978626,-0.7277479990051529,1.196938605606427,0.7728070175438596,3.1907120051978586,0.8391268859576442
full-posterior mixture sequential advective stochastic ST,overall,0.49497483577808216,0.18289973870123868,0.03690925360564507,0.20994095736346083,0.992589630814341,2.537139013965245,0.6635157746828368
posterior physics mean + RBF,Q1,0.19967170617256116,0.14201882285696021,0.058844090601576596,0.7066611259289101,1.0,11.442261542748064,2.9918068115575904
posterior physics mean + RBF,Q2,0.20178803671836587,0.1429584686836798,0.05905947866599827,0.6986655295478209,1.0,11.311740867189085,2.9576252965269
posterior physics mean + RBF,Q3,0.20357882831866095,0.14519698240014367,0.06373549479804672,0.705799572614453,1.0,11.43051247884877,2.9882839697864636
posterior physics mean + RBF,Q4,0.9693321163666256,0.3969404066631865,-0.002759145130499779,0.8008783550956622,0.9936,11.646373516383587,3.046190155917742
posterior physics mean + RBF,top_1pct,4.173155531890128,2.9266368823225064,-2.3668139417373606,2.242930908631004,0.8551282051282051,12.556988644549604,3.2864140492486884
posterior physics mean + RBF,above_camera_ceiling,2.6108367383018347,1.5737153880225712,-0.3809243131668294,1.3586671109903072,0.9495614035087719,12.230718158001961,3.201400658272964
posterior physics mean + RBF,overall,0.5153057736977394,0.20675291791153316,0.04472593823362891,0.7279926525921767,0.9984006397441024,11.457715931394668,2.995974893333666
posterior physics mean + variance-matched RBF (diagnostic),Q1,0.1816604587464147,0.1243661153849109,0.07164794583594146,0.17425374487697975,1.0,2.527058225493158,0.6603007643051428
posterior physics mean + variance-matched RBF (diagnostic),Q2,0.18289154569643512,0.12503179915740023,0.07199396623286139,0.1737297633404805,1.0,2.5107541636131594,0.656508740838722
posterior physics mean + variance-matched RBF (diagnostic),Q3,0.18576686428693825,0.12814179105236842,0.07284756015719118,0.17476761507300742,1.0,2.5210150961862996,0.6597346282658701
posterior physics mean + variance-matched RBF (diagnostic),Q4,0.9370099236838371,0.3491999024356056,-0.06817307694404144,0.3208316762322444,0.9624,2.5522048589342887,0.6672223477634934
posterior physics mean + variance-matched RBF (diagnostic),top_1pct,4.303672234567367,3.159889839425925,-2.6348829232690663,2.8075958173663382,0.30256410256410254,2.6740982983189197,0.7001959728991518
posterior physics mean + variance-matched RBF (diagnostic),above_camera_ceiling,2.5810020884126166,1.4326259997771236,-0.7420577539249926,1.2127023281613085,0.718421052631579,2.6376934023233876,0.6894945202626046
posterior physics mean + variance-matched RBF (diagnostic),overall,0.4947888758456281,0.18166215549280368,0.03709322227316937,0.21088109977406494,0.9906037584966013,2.527757841042795,0.6609413669042933
