trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
DiagonalScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.564551056408352,0.20146622241743356,-0.004984598517367266,0.5689507074602634,0.9976009596161536,8.699473193809538,2.276727057990433
DiagonalScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.9570883717663543,1.9199037180640899,-1.1098186523352667,1.4520237367733098,0.9210526315789473,9.458503451492492,2.4908966784783066
DiagonalScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.784611143302019,3.7541933611972547,-3.0340719419170123,2.737768354356393,0.7692307692307693,10.081727280628662,2.628321352332007
DiagonalScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5651452212305322,0.20400685562850018,0.01819472072582421,0.5594328642971548,0.9968012794882047,8.560765846764237,2.23345779226451
DiagonalScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,3.0265334465088185,1.7809709143164965,-1.0915266992672148,1.479545489027941,0.8947368421052632,9.339177757475648,2.424195239324404
DiagonalScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,5.0756307724791405,4.148297503129549,-3.5189604464356203,3.0726081259477636,0.6923076923076923,9.281670437363468,2.4540438828435986
DiagonalScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5329290243954,0.1785410007390949,0.00010472962594340156,0.5856517849428763,0.9976009596161536,9.076690078330207,2.3722595174620396
DiagonalScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.8660581441746724,1.702708343778231,-0.421298045461438,1.3916887152099002,0.9210526315789473,10.19325078106481,2.6442935697413223
DiagonalScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.634995044548169,3.195070038885997,-2.300557919749832,2.5349269656161653,0.7692307692307693,10.17788950556061,2.64830314976321
DiagonalScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5816796268421786,0.19103585828308012,0.006466045938959453,0.5705622739204842,0.9968012794882047,8.736360952788266,2.2828361898553
DiagonalScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,3.132977997276984,1.8056816423060427,-0.8295046836417053,1.4845511587224698,0.8947368421052632,9.28979764576145,2.4531399914750023
DiagonalScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,5.2094404616634735,3.881010195029334,-3.131830856282667,3.0091685785503164,0.6923076923076923,9.60116871790312,2.5437944964613957
DiagonalScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5371866258173063,0.1908328265291736,0.019849298996576635,0.5825875785443331,0.998000799680128,9.049948890627816,2.364978022399023
DiagonalScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.873674197815923,1.7467113282235178,-0.1599225282394059,1.337218967694912,0.9342105263157895,10.105176093450666,2.6615350385493417
DiagonalScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.624585997648292,3.0437431037448515,-2.242950761933243,2.3501388712104054,0.8076923076923077,10.169516773706697,2.7340340639478224
DiagonalScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5683941854398934,0.20567990909405495,0.056247821308955434,0.54688118024061,0.9984006397441023,8.382824267219881,2.1881715051326482
DiagonalScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,3.0068416180397333,2.015746593441533,0.18762683088835344,1.4471383608795023,0.9473684210526315,10.297106173417163,2.6606559396458347
DiagonalScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.6898503900513875,3.2556404284755707,-2.033338234868154,2.4388295613010484,0.8461538461538461,10.787997849887084,2.795236321982971
DiagonalScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5423159117874596,0.1878535071845302,0.012882787617607331,0.546397643737362,0.998000799680128,8.416405294976196,2.2070983614476836
DiagonalScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.9116810958738073,1.6780158269002214,-0.20319170266002864,1.3614619876382852,0.9342105263157895,9.68824937924916,2.541659945083132
DiagonalScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.679731042612913,3.022862552217788,-2.1565038382227724,2.4722772608373558,0.8076923076923077,10.033208701600447,2.6465022093074664
DiagonalScanPath_8,calibration,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5820816438386925,0.1922132049308159,0.012804207357736151,0.5718498025853709,0.9976009596161536,8.76121310123906,2.290670418281443
DiagonalScanPath_8,calibration,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,3.12934820322648,1.8226507281163136,-0.260116725973431,1.4908948668473772,0.9210526315789473,9.968073444715921,2.597002428470883
DiagonalScanPath_8,calibration,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.991371967872647,3.306527401729701,-2.5591529675232434,2.7013818493917947,0.7692307692307693,10.24977045637099,2.706091723853628
HorizontalScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5264615613663988,0.16983371067680805,-0.03165430692508605,0.5679784030168927,0.998000799680128,8.8127300658281,2.308170651664952
HorizontalScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.874891457654707,1.6452637462292823,-1.6434808234074985,1.3792539924676472,0.9342105263157895,9.700525540740315,2.560675062523876
HorizontalScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.7979487844209645,3.6568287665793116,-3.6568287665793116,2.6988662850953964,0.8076923076923077,9.888272565833619,2.630084319929706
HorizontalScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5448247297629405,0.19770006503150467,-0.042498437270916456,0.5717154297668133,0.998000799680128,8.821739802251097,2.3049533875773154
