trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,role,rmse_K,signed_error_K
DiagonalScanPath_1,Legacy latent-clipped mean + joint advective ST,117,2,294.6560504149699,0.4587282622228313,334.19579037327884,340.4908450619904,6.295054688711559,2.8321385340445207,False,0.9976009596161536,0.9210526315789473,9.458503451492492,8.699473193809538,0.5689507074602634,1.4520237367733098,2.737768354356393,evaluation,0.564551056408352,-0.004984598517367266
DiagonalScanPath_2,Legacy latent-clipped mean + joint advective ST,117,1,294.7833581687172,0.471134404998757,330.73381085494185,326.55543827479465,4.178372580147197,2.7520955214761855,True,0.9968012794882047,0.8947368421052632,9.339177757475648,8.560765846764237,0.5594328642971548,1.479545489027941,3.0726081259477636,evaluation,0.5651452212305322,0.01819472072582421
DiagonalScanPath_3,Legacy latent-clipped mean + joint advective ST,117,2,294.9015209525281,0.42342015804223104,326.4740358780628,331.9481414615166,5.47410558345382,2.9674478212187014,False,0.9976009596161536,0.9210526315789473,10.19325078106481,9.076690078330207,0.5856517849428763,1.3916887152099002,2.5349269656161653,evaluation,0.5329290243954,0.00010472962594340156
DiagonalScanPath_4,Legacy latent-clipped mean + joint advective ST,117,2,295.3585248883726,0.43177966685061775,331.63935958961497,338.98145262727314,7.342093037658174,2.8145461504399196,False,0.9968012794882047,0.8947368421052632,9.28979764576145,8.736360952788266,0.5705622739204842,1.4845511587224698,3.0091685785503164,evaluation,0.5816796268421786,0.006466045938959453
DiagonalScanPath_5,Legacy latent-clipped mean + joint advective ST,117,3,295.50866552712534,0.38788149273746575,334.0359159203151,332.0193939960221,2.0165219242930448,2.949507490451232,True,0.998000799680128,0.9342105263157895,10.105176093450666,9.049948890627816,0.5825875785443331,1.337218967694912,2.3501388712104054,evaluation,0.5371866258173063,0.019849298996576635
DiagonalScanPath_6,Legacy latent-clipped mean + joint advective ST,117,3,295.76268867732483,0.3951492086601002,331.21807173731014,329.03020803381406,2.1878637034960775,3.286965334065756,False,0.9984006397441023,0.9473684210526315,10.297106173417163,8.382824267219881,0.54688118024061,1.4471383608795023,2.4388295613010484,evaluation,0.5683941854398934,0.056247821308955434
DiagonalScanPath_7,Legacy latent-clipped mean + joint advective ST,117,2,295.92680693793324,0.35638095436752437,329.2427619913974,338.01792190432525,8.775159912927847,2.7947995585602685,False,0.998000799680128,0.9342105263157895,9.68824937924916,8.416405294976196,0.546397643737362,1.3614619876382852,2.4722772608373558,evaluation,0.5423159117874596,0.012882787617607331
DiagonalScanPath_8,Legacy latent-clipped mean + joint advective ST,117,2,296.12149833303096,0.36392902832914,336.214847986714,342.90033055021996,6.685482563505957,2.87114707752194,False,0.9976009596161536,0.9210526315789473,9.968073444715921,8.76121310123906,0.5718498025853709,1.4908948668473772,2.7013818493917947,calibration,0.5820816438386925,0.012804207357736151
HorizontalScanPath_1,Legacy latent-clipped mean + joint advective ST,117,0,294.63123831934564,0.6062610276915614,317.4810532811467,304.3132632746179,13.167790006528833,2.8359287371210447,False,0.998000799680128,0.9342105263157895,9.700525540740315,8.8127300658281,0.5679784030168927,1.3792539924676472,2.6988662850953964,evaluation,0.5264615613663988,-0.03165430692508605
HorizontalScanPath_2,Legacy latent-clipped mean + joint advective ST,117,1,294.6301695664475,0.6223262499470905,315.9337083198785,302.35383753777035,13.579870782108173,2.8247915673196853,False,0.998000799680128,0.9342105263157895,9.67857800931697,8.821739802251097,0.5717154297668133,1.3973267591590228,2.7376666664434373,evaluation,0.5448247297629405,-0.042498437270916456
HorizontalScanPath_3,Legacy latent-clipped mean + joint advective ST,117,0,294.64317213251667,0.6127582754047853,314.00846851431186,303.73695825293527,10.27151026137659,2.8291677909670336,False,0.9976009596161536,0.9210526315789473,9.655595775824757,8.818371802444684,0.5724704300462528,1.4341921635531651,2.874388467438366,evaluation,0.5538626995600766,-0.03042463669711457
HorizontalScanPath_4,Legacy latent-clipped mean + joint advective ST,117,1,294.825260500259,0.564083679390857,317.615531356997,304.64732544563117,12.968205911365828,2.8491149240828832,False,0.998000799680128,0.9342105263157895,9.760110912357451,8.848617564715209,0.570176042036716,1.386225863881055,2.6381118680698687,evaluation,0.5296814401529142,-0.04134025536070957
HorizontalScanPath_5,Legacy latent-clipped mean + joint advective ST,117,2,295.0840552279015,0.5516805315827937,316.22149177634935,303.0545691375256,13.166922638823735,2.8407658291958495,False,0.9984006397441023,0.9473684210526315,9.679613637785963,8.825207556746902,0.5718828145929775,1.3422287974642344,2.570885058311131,evaluation,0.5381998919186273,0.018055649470393544
HorizontalScanPath_6,Legacy latent-clipped mean + joint advective ST,117,2,295.31752139540873,0.5267627761985589,314.4374668883787,305.35539174585955,9.082075142519159,2.8671652527134914,False,0.9976009596161536,0.9342105263157895,9.823510791326322,8.85906831276237,0.5767525697729042,1.2704696372714743,2.4130518784388935,evaluation,0.5396867552357898,0.0028362404359393682
HorizontalScanPath_7,Legacy latent-clipped mean + joint advective ST,117,2,295.52522559779794,0.5093397134895373,318.1194882121125,305.18730876560846,12.932179446504051,2.8498885954615956,False,0.998000799680128,0.9342105263157895,9.66269875005865,8.841952231555712,0.5746019184306828,1.3345228385262091,2.49797111780648,evaluation,0.5437911883766331,-0.0007337681241036377
HorizontalScanPath_8,Legacy latent-clipped mean + joint advective ST,117,2,295.71434881764065,0.4792382444176389,316.75154527615916,304.05549119249883,12.696054083660329,2.8460124107773264,False,0.9984006397441023,0.9473684210526315,9.437712280054981,8.811377002529506,0.5707376783345284,1.3113820565818881,2.548350759538601,evaluation,0.5289022928079397,0.0068069246933543165
HorizontalScanPath_10,Legacy latent-clipped mean + joint advective ST,117,2,296.06802208777685,0.45376511479169335,318.649993978916,305.74425414961667,12.905739829299307,2.845032717427359,False,0.998000799680128,0.9342105263157895,9.328111904136605,8.823520216784365,0.5701286269843691,1.3430894733701981,2.62119914360324,evaluation,0.5388632982005309,-0.03759249695065062
HorizontalScanPath_11,Legacy latent-clipped mean + joint advective ST,117,3,296.2091569703494,0.4624149986140811,317.2636056084965,304.87396144992687,12.389644158569638,2.8723110892755,False,0.998000799680128,0.9342105263157895,9.724597712231947,8.841919227726333,0.5780738087096535,1.3838057318176933,2.3281846407957434,evaluation,0.5633685635637095,0.027776144301505892
HorizontalScanPath_12,Legacy latent-clipped mean + joint advective ST,117,3,296.3525815864646,0.43276025160641224,315.46455223645467,306.0756148438055,9.388937392649154,2.86027087600274,False,0.998000799680128,0.9342105263157895,9.514230788507312,8.836063083794885,0.5755314063751491,1.3447389402966639,2.43520465583481,evaluation,0.5437299394443486,0.013918212208576825
HorizontalScanPath_13,Legacy latent-clipped mean + joint advective ST,117,1,296.4959614680289,0.43365085622655225,319.1296936365724,306.24472179187745,12.884971844694974,2.84581816267672,False,0.998000799680128,0.9342105263157895,9.263512713423966,8.849602880177986,0.5755957236577417,1.4187452641002851,2.753135889317031,calibration,0.5604659827923022,-0.014934376111890682
SpiralScanPath_1,Legacy latent-clipped mean + joint advective ST,117,3,294.5644045668491,0.40997136560936853,333.10510445751316,340.1698714022181,7.064766944704957,2.4958231209227213,False,0.9976009596161536,0.9210526315789473,9.585857374283858,8.896369024576865,0.5725848202595776,1.238534337033666,2.259030377209796,evaluation,0.4828254441316515,-0.015462913113826561
SpiralScanPath_2,Legacy latent-clipped mean + joint advective ST,117,4,294.77953556616137,0.4414194896412662,329.2630123504799,325.7524591603138,3.5105531901661493,2.6332762149064397,True,0.9976009596161536,0.9210526315789473,9.68056989159616,8.72970672594763,0.5665831682811174,1.2866862830803596,2.1851625631922382,evaluation,0.5096306887135347,0.053725111175416514
SpiralScanPath_3,Legacy latent-clipped mean + joint advective ST,117,3,295.09034972544174,0.4101601659781514,333.2341053416775,339.62565093996164,6.391545598284154,2.4181322899855444,False,0.9972011195521792,0.9078947368421053,8.862852992737395,8.5130156141211,0.5551280286862788,1.1956840889393539,2.2822639786425203,evaluation,0.5259497528780233,0.03836518885643408
SpiralScanPath_4,Legacy latent-clipped mean + joint advective ST,117,2,295.3171456785458,0.40450559407138825,330.1270426836271,325.5654377154704,4.561604968156701,2.5696088443095073,True,0.9976009596161536,0.9210526315789473,9.064796108761954,8.562475055820299,0.5565759539132348,1.2911599731844898,2.465975552497304,evaluation,0.516315181841833,-0.028519137718261187
SpiralScanPath_5,Legacy latent-clipped mean + joint advective ST,117,4,295.5160834229293,0.44963074107610745,326.14461910118706,333.5361524979843,7.391533396797229,2.426183776598669,False,0.9960015993602559,0.8947368421052632,9.360526054441554,8.537089945324448,0.5693590953340417,1.5212495090724465,2.680669902329186,evaluation,0.6056342686830211,0.04054971144209488
SpiralScanPath_6,Legacy latent-clipped mean + joint advective ST,117,2,295.69040467376334,0.3759352438000092,332.8537813167321,339.646406061362,6.7926247446298476,2.42491184361334,False,0.9972011195521792,0.9078947368421053,8.97366837547638,8.477782355129397,0.554448975428933,1.3134613229990737,2.5493004686235015,evaluation,0.5339449578040488,0.03519951685902864
SpiralScanPath_7,Legacy latent-clipped mean + joint advective ST,117,3,295.8140795498944,0.38241261440440566,334.45555342383483,332.9534276627822,1.502125761052639,2.5635545819677112,True,0.9968012794882047,0.9078947368421053,8.967540434228589,8.544939419564157,0.5605426818255186,1.262829787488091,2.4533665035974064,evaluation,0.5436322547117124,0.02966447325609845
SpiralScanPath_8,Legacy latent-clipped mean + joint advective ST,117,3,295.9806504909343,0.3851712184216601,332.0671634791022,327.95252215123463,4.1146413278675595,2.5383485969517063,True,0.9972011195521792,0.9210526315789473,9.122999948160235,8.518304927430071,0.5618970593457515,1.3221067491130598,2.3945139909200046,evaluation,0.5577222919829536,0.04732197437165023
SpiralScanPath_9,Legacy latent-clipped mean + joint advective ST,117,2,296.12811830237854,0.35507450244235134,329.66153916113313,328.1686264263851,1.4929127347480176,2.5055684596972387,False,0.9972011195521792,0.9078947368421053,9.18099218141542,8.480608942371317,0.5537957583008773,1.3285260447290506,2.4394063922181415,evaluation,0.5268433666868843,0.03304695116339889
SpiralScanPath_10,Legacy latent-clipped mean + joint advective ST,117,3,296.24464913741537,0.3497361811444783,327.4312034644041,333.52318219201356,6.091978727609444,2.481145792574481,False,0.9968012794882047,0.9078947368421053,9.044081010680616,8.491691571380557,0.5540217764726197,1.3121954941201257,2.5429973926692204,evaluation,0.5337623610488414,0.01323517241509007
SpiralScanPath_11,Legacy latent-clipped mean + joint advective ST,117,2,296.3525026623504,0.33708132600254026,330.9114233717931,337.68636375388513,6.774940382092041,2.424943623281903,False,0.9972011195521792,0.9078947368421053,9.197144203741468,8.475153535165168,0.5519766894062765,1.3359340159714832,2.540253515289713,evaluation,0.5292572921391295,0.019347699314310653
SpiralScanPath_12,Legacy latent-clipped mean + joint advective ST,117,3,296.4285472031083,0.3388349995435504,334.51052576547374,340.8525462869481,6.342020521474353,2.422541667502775,False,0.9968012794882047,0.9078947368421053,9.105129545054979,8.473446338080143,0.5538441767337465,1.290864142888861,2.569461245616909,evaluation,0.5456687870318819,0.031136147743357614
SpiralScanPath_13,Legacy latent-clipped mean + joint advective ST,117,2,296.4901280292387,0.3170265092290262,335.7083806056465,334.45919685592435,1.2491837497221354,2.545503757895269,True,0.9976009596161536,0.9210526315789473,9.167294922282938,8.521100716191482,0.5531071841684085,1.2919342863859917,2.478803804624881,calibration,0.5069821378598146,-0.022645918723325043
