method,metric,max_absolute_difference
Posterior physics mean + RBF,excess_field_rel_l2,5.551115123125783e-17
Posterior physics mean + RBF,mean_crps_K,0.0
Posterior physics mean + RBF,fixed_top_01_crps_K,4.440892098500626e-16
Posterior physics mean + RBF,peak_absolute_error_K,1.7763568394002505e-15
Posterior physics mean + RBF,hot_region_95_coverage,1.1102230246251565e-16
Posterior physics mean + RBF,hot_region_95_interval_width_K,1.7763568394002505e-15
Advective posterior physics mean + RBF,excess_field_rel_l2,5.551115123125783e-17
Advective posterior physics mean + RBF,mean_crps_K,0.0
Advective posterior physics mean + RBF,fixed_top_01_crps_K,4.440892098500626e-16
Advective posterior physics mean + RBF,peak_absolute_error_K,1.7763568394002505e-15
Advective posterior physics mean + RBF,hot_region_95_coverage,1.1102230246251565e-16
Advective posterior physics mean + RBF,hot_region_95_interval_width_K,1.7763568394002505e-15
Posterior physics mean + sequential ST (moment-matched),excess_field_rel_l2,5.551115123125783e-17
Posterior physics mean + sequential ST (moment-matched),mean_crps_K,8.326672684688674e-17
Posterior physics mean + sequential ST (moment-matched),fixed_top_01_crps_K,4.440892098500626e-16
Posterior physics mean + sequential ST (moment-matched),peak_absolute_error_K,1.7763568394002505e-15
Posterior physics mean + sequential ST (moment-matched),hot_region_95_coverage,0.0
Posterior physics mean + sequential ST (moment-matched),hot_region_95_interval_width_K,4.440892098500626e-16
Posterior physics mean + sequential advective ST (moment-matched),excess_field_rel_l2,5.551115123125783e-17
Posterior physics mean + sequential advective ST (moment-matched),mean_crps_K,8.326672684688674e-17
Posterior physics mean + sequential advective ST (moment-matched),fixed_top_01_crps_K,4.440892098500626e-16
Posterior physics mean + sequential advective ST (moment-matched),peak_absolute_error_K,1.7763568394002505e-15
Posterior physics mean + sequential advective ST (moment-matched),hot_region_95_coverage,1.1102230246251565e-16
Posterior physics mean + sequential advective ST (moment-matched),hot_region_95_interval_width_K,4.440892098500626e-16
Advective posterior mean + sequential advective ST (moment-matched),excess_field_rel_l2,5.551115123125783e-17
Advective posterior mean + sequential advective ST (moment-matched),mean_crps_K,8.326672684688674e-17
Advective posterior mean + sequential advective ST (moment-matched),fixed_top_01_crps_K,4.440892098500626e-16
Advective posterior mean + sequential advective ST (moment-matched),peak_absolute_error_K,1.7763568394002505e-15
Advective posterior mean + sequential advective ST (moment-matched),hot_region_95_coverage,0.0
Advective posterior mean + sequential advective ST (moment-matched),hot_region_95_interval_width_K,4.440892098500626e-16
Legacy latent-clipped mean + joint advective ST,excess_field_rel_l2,3.3306690738754696e-16
Legacy latent-clipped mean + joint advective ST,mean_crps_K,1.1102230246251565e-16
Legacy latent-clipped mean + joint advective ST,fixed_top_01_crps_K,3.1086244689504383e-15
Legacy latent-clipped mean + joint advective ST,peak_absolute_error_K,1.1368683772161603e-13
Legacy latent-clipped mean + joint advective ST,hot_region_95_coverage,1.1102230246251565e-16
Legacy latent-clipped mean + joint advective ST,hot_region_95_interval_width_K,3.552713678800501e-15
