n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,stage,region
25,9.58251339716365,5.055550645469148,-5.055550645469148,0.5006936755666335,0.2,1.802024802191188,1.0,0.0,11.726633349908056,25.031632430492316,11.726633349908056,5.18308467630931,0.8,4.813015197666154,DiagonalScanPath_1,Diagonal,1,evaluation,Previous censored representation,top_1pct
25,4.288794185758564,3.0073982601425926,-2.1792183481292953,0.817331679142369,0.32,3.0723925013817235,1.0,0.0,2.7387443200966266,5.3001296850257,3.75369620188593,2.5869646169068616,0.64,2.6461658311750638,DiagonalScanPath_1,Diagonal,1,evaluation,Current sequential advective ST,top_1pct
25,10.259356755978486,5.7944902518822525,-5.7944902518822525,0.39952219223277197,0.04,1.450775503519028,1.0,0.0,16.780666791202794,29.53100434570303,16.780666791202794,8.01048937960303,0.96,5.573857471825653,DiagonalScanPath_2,Diagonal,2,evaluation,Previous censored representation,top_1pct
25,4.758977251824033,3.7265361139470814,-2.8697914733396463,0.7621696488342958,0.24,2.957902356410054,1.0,0.0,3.8327217146666133,6.305763316627877,4.919738149928432,3.1530757142546624,0.8,3.3184447294328283,DiagonalScanPath_2,Diagonal,2,evaluation,Current sequential advective ST,top_1pct
25,10.17489385596419,5.34337541287467,-5.34337541287467,0.713837639875335,0.4,2.5592519802389417,1.0,0.0,7.585864802889197,12.57079081381474,7.585864802889197,3.2282008502593773,0.6,5.031414052362541,DiagonalScanPath_3,Diagonal,3,evaluation,Previous censored representation,top_1pct
25,4.927168201271908,3.548329712841687,-2.684161948224755,0.8915495354407023,0.44,3.34441316579931,1.0,0.0,3.1300944579926755,5.311503779373656,3.8949520565482243,2.226561013065053,0.56,3.1532217785097405,DiagonalScanPath_3,Diagonal,3,evaluation,Current sequential advective ST,top_1pct
25,9.568082727665464,4.996749009963278,-4.996749009963278,0.9454035617727773,0.48,3.3892452819391177,1.0,0.0,4.833624249238996,7.513809872722416,4.833624249238996,2.2843181405520694,0.52,4.583503143209954,DiagonalScanPath_4,Diagonal,4,evaluation,Previous censored representation,top_1pct
25,4.474709700904035,3.0464586654690926,-1.822237965604179,1.0706879221072318,0.48,4.049162806637794,1.0,0.0,1.877745289373541,3.7863398068478227,2.751860050358192,1.8699675199335133,0.48,2.6497929124397372,DiagonalScanPath_4,Diagonal,4,evaluation,Current sequential advective ST,top_1pct
25,10.532711588652727,5.698791627852636,-5.698791627852636,0.7472903601522752,0.36,2.5938439628298147,1.0,0.0,10.07694459254132,19.273731092936046,10.07694459254132,2.477746501935645,0.64,5.343587054509079,DiagonalScanPath_5,Diagonal,5,evaluation,Previous censored representation,top_1pct
25,4.808100642837937,3.2421420544466084,-2.536407899334954,0.945343367555046,0.56,3.579036166521848,1.0,0.0,2.8827880170618805,5.891959607804586,3.774569756683052,1.598215973668181,0.4,2.8302279321396004,DiagonalScanPath_5,Diagonal,5,evaluation,Current sequential advective ST,top_1pct
