region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
overall,2501,0.4933291397890125,0.17980960131491192,0.045863257712784475,0.6642826896777441,0.9928028788484606,2.539618801915614,1.0,0.0,-0.06874412142561209,0.6166960839869688,0.26166536920577205,0.1402518012558075,0.0059976009596161535,0.2098534145843981,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
above_camera_ceiling,76,2.558474370137387,1.4561167323495081,-0.4978985493386581,0.8511757240552401,0.7894736842105263,3.2395793347399584,1.0,0.0,0.6663763090441173,3.039469855058676,1.7263356129952925,0.9271557598855701,0.19736842105263158,1.1872667229641118,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
top_1pct,25,4.293985701504059,3.013485338889343,-2.186585046870557,0.844925180412254,0.4,3.2140873561523424,1.0,0.0,2.686091084376106,5.117398554240652,3.6170549068110645,2.3117835736363204,0.56,2.640190846165363,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
overall,2501,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.6629033345875804,0.989204318272691,2.5337929854912145,1.0,0.0,-0.07078571110999853,0.6374270789774625,0.2652140219084877,0.13974503911107727,0.009196321471411436,0.21067175063430618,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.5552963758274725,1.4546069631998535,-0.4926563904242009,0.8134804704584999,0.6973684210526315,3.1040594977257987,1.0,0.0,0.6421274030758233,3.160734938929396,1.8159939473819762,0.9709539879247223,0.27631578947368424,1.1988136579130104,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
top_1pct,25,4.288794185758564,3.0073982601425926,-2.1792183481292953,0.817331679142369,0.32,3.0723925013817235,1.0,0.0,2.7387443200966266,5.3001296850257,3.75369620188593,2.5869646169068616,0.64,2.6461658311750638,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
overall,2501,0.47833526928570286,0.16172774262774917,0.0444213525068508,0.6630747741213168,0.9924030387844862,2.5335266498121194,1.0,0.0,-0.06784710085746977,0.6090928289092338,0.2367874719492256,0.1347011189367519,0.006797281087564974,0.2026642669147163,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.5505438889616983,1.424865797202313,-0.5783092451954791,0.8185237744959203,0.7763157894736842,3.1174121902033938,1.0,0.0,0.7581720296132071,3.1375938114725517,1.7581240634135042,0.9078995045202733,0.2236842105263158,1.1620152093172837,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
top_1pct,25,4.306967443074131,3.0429028493341206,-2.1759158852267797,0.8204547052792586,0.36,3.1462726745657847,1.0,0.0,2.7149818145664044,5.306112242362499,3.782839778876094,2.4360041488039204,0.64,2.653873701081059,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
overall,2501,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.663570976371033,0.991203518592563,2.539379662642132,1.0,0.0,-0.07064573713443478,0.6312616898719756,0.26426985089540755,0.13911532451563394,0.009196321471411436,0.21014586445232922,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
