percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
0-10%,0.0,10.0,250,0.1877675283077356,0.12429685405931241,0.07490666146921467,0.6697577093413277,1.0,2.5658554194271037,1.0,0.0,-0.11336538878246563,0.29104135421888766,0.19068604227773855,0.10302263933581364,0.0,0.17834879438962511,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
10-20%,10.0,20.0,250,0.20944504651638432,0.1394817361810358,0.09270609314804483,0.6586742130090443,1.0,2.4948584673719254,1.0,0.0,-0.14050855393636982,0.3279182769577824,0.21691027859005743,0.11103960502444819,0.0,0.18063298080113135,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
20-30%,20.0,30.0,250,0.17427390284760155,0.11530757078971374,0.06591510916741526,0.6586938708312655,1.0,2.5060871698884837,1.0,0.0,-0.10058221280080121,0.2732577226649597,0.1811550774117005,0.08974703522070698,0.0,0.17169023730892996,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
30-40%,30.0,40.0,250,0.15116390646405994,0.10502329867508957,0.04508932612665854,0.6452603619050786,1.0,2.4777574760600602,1.0,0.0,-0.06876514235421657,0.24240196447791187,0.1688531543136963,0.10476466951888627,0.0,0.16512629901437348,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
40-50%,40.0,50.0,250,0.17229146911372034,0.11013689300123906,0.07185360701826903,0.6567847571539042,1.0,2.517916691555957,1.0,0.0,-0.10937647883033721,0.26741951154930516,0.1709074963485407,0.07169952864470165,0.0,0.17075003740164527,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
50-60%,50.0,60.0,251,0.1864123488779652,0.13134405582750977,0.05881238262252218,0.6536548996058724,1.0,2.489834884988059,1.0,0.0,-0.08992423994166227,0.3122457336368266,0.21332651558210622,0.12646664301710558,0.0,0.17412111464280033,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
60-70%,60.0,70.0,250,0.1902313510785895,0.12861284619181107,0.072110674216809,0.657776897354243,1.0,2.5312205673078116,1.0,0.0,-0.10189722162557385,0.292189351832791,0.1993202248629429,0.12441822487369962,0.0,0.17499708007845743,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
70-80%,70.0,80.0,250,0.1698229558677065,0.11649465799410655,0.055239014243463315,0.6546065510931489,1.0,2.488817705429321,1.0,0.0,-0.08288873637797889,0.2748203559323944,0.18578189776690113,0.11498103676058644,0.0,0.16995298631480693,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
80-90%,80.0,90.0,250,0.2255495980720788,0.17962322842729259,0.027384892143697243,0.6562993492839517,1.0,2.518989394155496,1.0,0.0,-0.03555117893631606,0.3490124003552321,0.2773790229500886,0.24446621983033942,0.0,0.1838092932951415,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
90-95%,90.0,95.0,125,0.32032936013655644,0.2393825045846288,0.0004634197203022268,0.6577014332250576,1.0,2.520774158695713,1.0,0.0,0.0059182507894244875,0.46287748143472446,0.3602367640423865,0.3092900498807743,0.0,0.20665750958827261,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
95-99%,95.0,99.0,100,0.7529176538059569,0.567322370006774,0.28247453824754076,0.7950439092653415,0.97,3.0581339091913544,1.0,0.0,-0.29016393507164484,0.8674419765780572,0.6767586616653574,0.4991403577592204,0.01,0.40475103096540904,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
99-100%,99.0,100.0,25,4.293985701504059,3.013485338889343,-2.186585046870557,0.844925180412254,0.4,3.2140873561523424,1.0,0.0,2.686091084376106,5.117398554240652,3.6170549068110645,2.3117835736363204,0.56,2.640190846165363,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
0-10%,0.0,10.0,250,0.18776715545466327,0.12429635684075833,0.07490612995517336,0.6697577088487504,1.0,2.550405807952011,1.0,0.0,-0.11336463261105294,0.2910408717019816,0.19068533612493088,0.10301826097124248,0.0,0.1748262280481668,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
10-20%,10.0,20.0,250,0.20944504781218887,0.139481737585372,0.09270609390903588,0.6586742118389318,1.0,2.509598310054709,1.0,0.0,-0.1405085553175547,0.32791828011534735,0.21691028134629028,0.11103960816490357,0.0,0.18108283872127526,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
20-30%,20.0,30.0,250,0.17427390305240187,0.11530757120093245,0.06591510860920767,0.6586938696419097,1.0,2.4945008098649857,1.0,0.0,-0.10058221212571783,0.2732577240013446,0.18115507866053254,0.0897470344449009,0.0,0.17248888307179544,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
30-40%,30.0,40.0,250,0.15116390704762458,0.1050232992986305,0.045089325434395276,0.6452603604169216,1.0,2.453172675195444,1.0,0.0,-0.06876514131877261,0.24240196666472089,0.1688531560279861,0.10476467359555211,0.0,0.16572508026458094,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
