method,percentile_bin,percentile_lower,percentile_upper,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Posterior physics mean + sequential ST,0-10%,0.0,10.0,0.18303471173216115,0.013746470266932268,0.12643950053388037,0.01033769438273652,0.06638354677756354,0.02110053030366837,0.6600290116739408,0.00548336399863421,1.0,0.0,2.5258307485247142,0.019788803644891412,1.0,0.0,0.0,0.0,-0.09886845141769131,0.03452245917437278,0.2888097685924349,0.023304215521578436,0.19809397561863987,0.016948005547837996,0.11898989298713673,0.018294560866055125,0.0,0.0,0.1743582357497962,0.0030206235112925583,30
Posterior physics mean + sequential ST,10-20%,10.0,20.0,0.18143452857196402,0.015440928647682761,0.12425629375834661,0.011666646033639896,0.07171738691028239,0.019940533418219122,0.6562566911292065,0.003948532802327757,1.0,0.0,2.505562954020409,0.020012398643648635,1.0,0.0,0.0,0.0,-0.10784864963706874,0.031895695441234245,0.28792275443488935,0.02458717321452927,0.1959451164250453,0.018515753952709716,0.11425612649180873,0.01673014176855598,0.0,0.0,0.1734671334137268,0.003659881337854958,30
Posterior physics mean + sequential ST,20-30%,20.0,30.0,0.18432794124494384,0.011771342818883701,0.12757751577647164,0.010022878225005992,0.07608104852048685,0.019057304166527327,0.6517389351213265,0.005254085564730187,1.0,0.0,2.4923940989715807,0.02557310528515772,1.0,0.0,0.0,0.0,-0.11573923046856519,0.03226254925914714,0.293398810695993,0.020673117714813914,0.20258650633149566,0.016714940995721156,0.12260358552992469,0.018922849706627175,0.0,0.0,0.17326872372594385,0.0028041437045841066,30
Posterior physics mean + sequential ST,30-40%,30.0,40.0,0.18034624224138224,0.014851519717519635,0.12440517919533929,0.010745100826046189,0.06422340315142745,0.018489397703425746,0.6533142819119334,0.0042756393249971285,1.0,0.0,2.5018925325046197,0.018377184008114784,1.0,0.0,0.0,0.0,-0.09582038502721756,0.030142329263877356,0.2890143722432435,0.02557419154322813,0.19762820444577736,0.017656097180336523,0.11914460669074203,0.0169523869090933,0.0,0.0,0.17243904215618014,0.0035326571790438703,30
Posterior physics mean + sequential ST,40-50%,40.0,50.0,0.18380676328523132,0.01839063075888021,0.1262946079772814,0.014323165068656132,0.07506164245811897,0.02300112866186202,0.657155077942482,0.005505745672663121,1.0,0.0,2.514594431633175,0.021555021368238482,1.0,0.0,0.0,0.0,-0.11347954164579187,0.03727959612428827,0.2911549397460299,0.03021566567139475,0.19866534073123593,0.022698551205616566,0.11761740770183854,0.0239137915613849,0.0,0.0,0.17452035581230213,0.004703520453305168,30
Posterior physics mean + sequential ST,50-60%,50.0,60.0,0.1812889029899881,0.012941182612896767,0.12364512106129182,0.011425943373518434,0.0752831618300909,0.01819076958620228,0.6570261470035125,0.0041532153335216496,1.0,0.0,2.5128185271855163,0.01735398891736762,1.0,0.0,0.0,0.0,-0.11385498868404248,0.03019739732858191,0.287107765010812,0.02343793191322063,0.19438818477422534,0.019092751828524098,0.11403543541581677,0.018091191056184015,0.0,0.0,0.1736881856628936,0.0031724923516685435,30
Posterior physics mean + sequential ST,60-70%,60.0,70.0,0.1869068099338707,0.013798369191835667,0.12876064392733855,0.010909550515658421,0.07476115987085098,0.01910267660549697,0.6610938711880345,0.0031582724135525413,1.0,0.0,2.528093252396331,0.01600737716564973,1.0,0.0,0.0,0.0,-0.11260705806297824,0.03157085578283226,0.29275172540545186,0.022889083628024963,0.20081643392351156,0.01743235240213382,0.12177257067953184,0.015261240491501333,0.0,0.0,0.17515843919578444,0.0028859226453890247,30
Posterior physics mean + sequential ST,70-80%,70.0,80.0,0.19596066113239377,0.01809323262695482,0.1452703912292166,0.018480292951140006,0.05211121532239151,0.023152702454937946,0.6620470522099592,0.004458475760376153,1.0,0.0,2.53080888806191,0.02212508352917799,1.0,0.0,0.0,0.0,-0.07813825291335867,0.036294424859307374,0.3055143771128988,0.02892864689929325,0.22449674031309436,0.027760392302574113,0.1607904937068476,0.04096633100389286,0.0,0.0,0.17763978726240728,0.004753798399824983,30
Posterior physics mean + sequential ST,80-90%,80.0,90.0,0.24388453980914662,0.027261765087777227,0.19263267225448646,0.02528036926499036,0.011599169388942268,0.025721602146179794,0.6525786042846874,0.00300380585859173,1.0,0.0,2.4948188446703425,0.014748804074346242,1.0,0.0,0.0,0.0,-0.017013756649060862,0.04067334179130759,0.38352693762595985,0.042002958848550875,0.3001013498612546,0.03872150911888117,0.2453410927486475,0.04314918389387051,0.0,0.0,0.1882914433544326,0.007207728098523251,30
Posterior physics mean + sequential ST,90-95%,90.0,95.0,0.2737424116724681,0.029485968279602464,0.2117860942842778,0.01812028336457626,-0.006233119276410117,0.04768802419897494,0.662730555750533,0.008783540991260469,0.9992,0.0024410286130349145,2.5354179700413106,0.041238196860855315,1.0,0.0,0.0,0.0,0.011401168052607697,0.0750040892545804,0.41528977354257773,0.035689904406245684,0.3226987046603052,0.026540142295903728,0.2655727254637193,0.02729801212843458,0.0005333333333333334,0.0020296650536196993,0.19724913327584445,0.007124859264132267,30
