method,family,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Posterior physics mean + sequential ST,Diagonal,overall,0.5387084838110441,0.03198093985408588,0.18728187834297902,0.004088049921760062,0.036933920068954525,0.014375759327698719,0.6658221010187131,0.003916667828189436,0.9933740789398525,0.0016300066431198595,2.5471907915809857,0.017533159859161214,1.0,0.0,0.0,0.0,-0.06176363827383906,0.018647068019131394,0.6337589583299501,0.0704362565063723,0.2694691471037264,0.00864135418088126,0.1517811095611127,0.008761897394636438,0.006340321014451362,0.001779603807322469,0.21341082479343268,0.0032745029847141478,7
Posterior physics mean + sequential ST,Diagonal,above_camera_ceiling,2.8551647039612083,0.20587233292904494,1.574072835620792,0.14324398172668892,-0.7030022824293914,0.3652699460925366,0.9150550653641387,0.12580721501333933,0.7894736842105263,0.05582421956735904,3.5033768854196095,0.4726261896985179,1.0,0.0,0.0,0.0,0.830965173605947,0.4626824725866677,3.139853352815522,0.48395354452939016,1.7363409305883355,0.24812185266006123,0.8289672608228316,0.12338605070679397,0.20676691729323307,0.061582267545391554,1.3101460105729035,0.13387304531752112,7
Posterior physics mean + sequential ST,Diagonal,top_1pct,4.862175970151536,0.3915473764168109,3.5799979712551115,0.4918981770150594,-2.690723796152836,0.5327911692652355,0.9519967577513747,0.1372179483191995,0.37714285714285717,0.16630436812406,3.627346050512429,0.5007477415280976,1.0,0.0,0.0,0.0,3.044141133376036,0.8026391336624832,5.343358796880808,0.8943504874746264,3.934841849414402,0.8265678275706037,2.4328790589805864,0.6817370318583894,0.6114285714285714,0.1843392318009175,3.137214296730001,0.4691909572301535,7
Posterior physics mean + sequential advective ST,Diagonal,overall,0.5370669674073569,0.030997503106884948,0.1874089066916395,0.00417248254532689,0.03814640252037231,0.014916709422078964,0.6637913139079306,0.0026815355891739237,0.9915462386473982,0.001809301272741102,2.538468874297064,0.012393803277359826,1.0,0.0,0.0,0.0,-0.06272982314292876,0.020106634598768543,0.6606879879017139,0.07078100884188457,0.2736774556984725,0.007659885666343932,0.1518233427356927,0.008886403523383076,0.007654081224652996,0.001718670108550372,0.21372843571721942,0.0031070177661453673,7
Posterior physics mean + sequential advective ST,Diagonal,above_camera_ceiling,2.8419965015196964,0.19857824069147767,1.5636087331713744,0.15061752066862724,-0.6584219707878646,0.3826489498233483,0.8483111441279094,0.08020474764664029,0.7518796992481203,0.05856301476465124,3.2230384380236643,0.29320182759111996,1.0,0.0,0.0,0.0,0.8129706132054635,0.5066513184040883,3.3022586682925064,0.4848780861088401,1.8372026674112956,0.2478788596079398,0.8980952580371043,0.1877655114689477,0.231203007518797,0.06303768844814901,1.3101631337486217,0.12807158975938016,7
Posterior physics mean + sequential advective ST,Diagonal,top_1pct,4.834051436853761,0.3834798696040651,3.53887126155896,0.48391663311556526,-2.6123566325776375,0.5499955519078996,0.8922725246926305,0.11013288347922408,0.34285714285714286,0.1725991778383553,3.3721156525630556,0.40521341439607256,1.0,0.0,0.0,0.0,3.150815690137162,0.8356300415333435,5.600090173648011,0.9366170918421831,4.1165403838819135,0.8677986078540372,2.7156647982731457,0.8986859510492154,0.6457142857142858,0.1910372688645807,3.127911144719039,0.4573169881194455,7
Advective posterior mean + sequential advective ST,Diagonal,overall,0.532030290636366,0.03608239156005297,0.1685282856168759,0.004783486965977229,0.03489126568452735,0.015632024357569777,0.6638104717041784,0.0026590677054035942,0.9917175986748158,0.0012793691991647084,2.539039245168433,0.012158412086669462,1.0,0.0,0.0,0.0,-0.0587287912485085,0.021370417694563135,0.6414950790402838,0.08402019785915693,0.2435945997977462,0.011263399276570914,0.14482994071682226,0.008499121569446362,0.007711201233792197,0.0018426552559068121,0.207309918634512,0.004043115779059661,7
Advective posterior mean + sequential advective ST,Diagonal,above_camera_ceiling,2.880706928760691,0.22514275706440778,1.580149801353913,0.15398698924055307,-0.8303813361370295,0.3584682883106183,0.849211840178704,0.08004011760925601,0.7556390977443609,0.054175354188514505,3.2406405727959404,0.29877784239657246,1.0,0.0,0.0,0.0,1.021523269363243,0.49483173436982564,3.3342187194651673,0.5449288106120384,1.8518419378305027,0.29386478630245744,0.8163316773847823,0.13255284131574618,0.2387218045112782,0.06191604921804738,1.3335714870521418,0.15548361403482472,7
Advective posterior mean + sequential advective ST,Diagonal,top_1pct,4.908562273346782,0.41312826646017314,3.6536870842772315,0.505313515578251,-2.74485206905706,0.5898663684597,0.8935531866302379,0.12011483547099833,0.3257142857142857,0.17347979160478058,3.3768011580240764,0.42136916409121594,1.0,0.0,0.0,0.0,3.286778449051128,0.9156465899177679,5.665758261688471,0.9896496079094164,4.236269286482134,0.9107807886049853,2.908457576151207,0.970845663978217,0.6628571428571428,0.19302109433205186,3.2309694151444703,0.49829990983647865,7
Posterior-sample mixture sequential advective ST,Diagonal,overall,0.5377193939386504,0.03166878036760669,0.18770014503404844,0.004300783149176082,0.038103104630072895,0.015552369462945524,0.6639952501559794,0.003458593890845542,0.9918318386930942,0.001662378729748699,2.53936908001532,0.013474086830426158,1.0,0.0,0.0,0.0,-0.06221056834845194,0.021198509510018015,0.6659801832523833,0.07209966746293786,0.2742771727512377,0.00789222034602471,0.15178014862073752,0.009043466902627353,0.007711201233792197,0.0017987513211564126,0.2139087905821543,0.003462784489453781,7
