method,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Posterior physics mean + sequential ST,overall,0.4951622597526458,0.03272313429277165,0.18271971838840487,0.007950695138271678,0.0365460823111716,0.011658331824274162,0.6646803440169792,0.0031292176339086913,0.9933893109422898,0.0014727915452316114,2.542152875550464,0.013026688982345996,1.0,0.0,0.0,0.0,-0.061002215776291197,0.015728704769112284,0.6009774496643427,0.06265772732197045,0.2658057145931874,0.012523062611738448,0.15187080966865213,0.013721783550159935,0.006437425029988005,0.0015971182012744002,0.20960159934777944,0.0038896667650844875,30
Posterior physics mean + sequential ST,above_camera_ceiling,2.5835348411258274,0.20828840901620138,1.4436663772628602,0.13406467975320216,-0.7404472804398672,0.30533583254995655,0.8765030428067214,0.09667371669351009,0.7903508771929825,0.05251044741981105,3.354406695569123,0.37218613307395276,1.0,0.0,0.0,0.0,0.8756596269968132,0.4105531741754945,2.9270940672073484,0.4265007869127443,1.6455802103175126,0.22411218297055116,0.7825137187991332,0.1275002228085841,0.20701754385964913,0.056876599961155704,1.1927067898206285,0.12274489041499075,30
Posterior physics mean + sequential ST,top_1pct,4.38423394860142,0.392974108456865,3.254679280067739,0.4240376862880766,-2.7100300354790248,0.45379797779495257,0.9208426323163048,0.12139527234434257,0.392,0.1552395257169629,3.5182846768652407,0.4611099146563988,1.0,0.0,0.0,0.0,3.101995956366423,0.7610747573749892,4.967737902952393,0.7919446995185714,3.7027162154048185,0.7529408037182844,2.455042240762816,0.6769446548388371,0.6013333333333333,0.16391194720575317,2.8263959657924755,0.41539248524838096,30
Posterior physics mean + sequential advective ST,overall,0.49510663548743883,0.03192092013151151,0.18278301487941787,0.007998855522781536,0.03661687326378848,0.01170204807275108,0.6632746651513071,0.0025594384572762176,0.9924696787951486,0.001831043305535401,2.53654998760351,0.010346997108116616,1.0,0.0,0.0,0.0,-0.060851229635290986,0.016426850715340002,0.619326551445699,0.06277970938000887,0.26863458502127247,0.012206366166585885,0.15190051933934692,0.013789342174929612,0.0071837931494069035,0.0017491246434564534,0.20988940356442054,0.004038182117939764,30
Posterior physics mean + sequential advective ST,above_camera_ceiling,2.5826024643048617,0.201665223347193,1.4412608408870333,0.13350237938572848,-0.7355624218423592,0.30712239367334876,0.8317439645034433,0.07817376829441404,0.7706140350877193,0.05663993814485064,3.1736401340535725,0.297286453046628,1.0,0.0,0.0,0.0,0.8926639917597947,0.42644417132505874,3.04109751102079,0.42779589495354003,1.7197261927329244,0.23490274153031437,0.8248598605387661,0.1590351916183597,0.22412280701754386,0.05889291030828645,1.196554094248145,0.12164105593697334,30
Posterior physics mean + sequential advective ST,top_1pct,4.383701891815464,0.37697111208373607,3.25029784564967,0.40541015377678424,-2.6980157937559484,0.4536664145348315,0.8739942376240591,0.10502109770773706,0.36533333333333334,0.1546460549087838,3.332062254970471,0.39991925246096177,1.0,0.0,0.0,0.0,3.2199985706848437,0.744438311691933,5.150665496082023,0.8050390358732585,3.848550330080343,0.7759974053064587,2.6050140883377235,0.7488767630135367,0.6253333333333334,0.16391194720575314,2.8387054103684153,0.40291848286839294,30
Advective posterior mean + sequential advective ST,overall,0.4922940447375632,0.03212526108813016,0.1689899838357348,0.008064228371404272,0.034194205989090294,0.01076244091671704,0.6632373202950418,0.0025794901235811816,0.9920964947354391,0.002040639163853806,2.5364615210243633,0.01034406947404966,1.0,0.0,0.0,0.0,-0.05747462052502448,0.015127611965507338,0.6090405985905265,0.06694195723090564,0.24676335796941112,0.013601602081845481,0.14328415687262758,0.010483096257862546,0.007623617219778755,0.0020972609475121647,0.20569330363751331,0.0039341359112344005,30
Advective posterior mean + sequential advective ST,above_camera_ceiling,2.622555797520359,0.20791281743151308,1.4778310881322723,0.14406424767471876,-0.866998749916272,0.26736734177789584,0.8309143232948943,0.07916749170547124,0.7539473684210526,0.06963789508140526,3.1775035256989113,0.2994643409076348,1.0,0.0,0.0,0.0,1.0636138810596125,0.391721506629813,3.0951394379688613,0.4500358415743777,1.771134526111856,0.27422349909592186,0.8441637423032896,0.14705413078215876,0.24298245614035088,0.0725421387460097,1.2333967515926894,0.14380115764424817,30
Advective posterior mean + sequential advective ST,top_1pct,4.44953873998246,0.3860282268081601,3.3541451870967007,0.44380052318727886,-2.8105865710660276,0.4260412530986298,0.8718739265191005,0.10744789757963244,0.3333333333333333,0.17175229423420416,3.325679548741744,0.4016477040290019,1.0,0.0,0.0,0.0,3.3639721268485885,0.7362921354181579,5.237062806750514,0.8198052035987705,3.9855026435990983,0.8236646937485715,2.799861387896013,0.8086767017777805,0.664,0.17752318935457617,2.9330911774763258,0.4435894224203006,30
Posterior-sample mixture sequential advective ST,overall,0.49497483577808216,0.03213936780754919,0.18289973870123868,0.008095740861728944,0.03690925360564507,0.011941385267612192,0.6635157746828368,0.002853534401945252,0.992589630814341,0.0016460171015353106,2.537139013965245,0.01074124177529649,1.0,0.0,0.0,0.0,-0.06111464014669748,0.016747917626638895,0.617893142748571,0.06521389494285024,0.2685516527938188,0.012791911460527286,0.15187970481987506,0.013824720935420134,0.007170465147274424,0.001737899860087416,0.20994095736346083,0.003999158819160818,30
Posterior-sample mixture sequential advective ST,above_camera_ceiling,2.5809824129812653,0.20346099232422368,1.4420275484978626,0.13353760662770237,-0.7277479990051529,0.3096080424777558,0.8391268859576442,0.08677274286177124,0.7728070175438596,0.05462789893737656,3.1907120051978586,0.3136382555297682,1.0,0.0,0.0,0.0,0.885490607375687,0.4297464250385574,3.030571402716662,0.4411454193916865,1.7133686648009487,0.24016626000923816,0.8173291153018574,0.156838340909355,0.22280701754385965,0.05853193860710901,1.196938605606428,0.12327110556419954,30
Posterior-sample mixture sequential advective ST,top_1pct,4.37853269241327,0.3842245644845614,3.2451683663214417,0.418629040962067,-2.695216458169021,0.4532184937468431,0.8795451345408923,0.11169004077449839,0.37600000000000006,0.15882325895852564,3.352202592928594,0.41416850292732404,1.0,0.0,0.0,0.0,3.20866694376978,0.749634102641182,5.131760242432902,0.8292105641129615,3.831619714346845,0.7927503667246482,2.6178661980484503,0.7836563328279078,0.6213333333333334,0.16533629956553095,2.8345728834296477,0.41541640619604026,30
