trajectory,family,run_index,role,method,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential ST,0.40085660354447605,0.4933291397890125,0.17980960131491192,0.045863257712784475,0.20985341458439838,4.293985701504059,3.013485338889343,-2.186585046870557,2.640190846165371,0.4,3.2140873561523424,7.214294328050585,0.6642826896777441
DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,0.4004184126327444,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.21067175063430674,4.288794185758564,3.0073982601425926,-2.1792183481292953,2.646165831175063,0.32,3.0723925013817235,7.204528689729102,0.6629033345875804
DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,0.38867327294593706,0.47833526928570286,0.16172774262774917,0.0444213525068508,0.20266426691471728,4.306967443074131,3.0429028493341206,-2.1759158852267797,2.6538737010810496,0.36,3.1462726745657847,7.082018207497811,0.6630747741213168
DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,0.40105933566905416,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.21014586445232863,4.298791325971757,3.017642833032269,-2.198850586132721,2.6585181862166882,0.36,3.141126800898005,7.182399741392146,0.663570976371033
DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,0.43515148531610814,0.521982219571537,0.18760012926723002,0.043832793337677756,0.212458272656299,4.758452216919251,3.7252643243308445,-2.868467887586655,3.3015065819623572,0.24,3.0990905385182033,3.326400617044328,0.6612308029850297
DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,0.43516959740266803,0.5220039457691088,0.18761155763572449,0.043674896053376905,0.2125763998862669,4.758977251824033,3.7265361139470814,-2.8697914733396463,3.31844472943282,0.24,2.957902356410054,3.32165691731916,0.6600748546608661
DiagonalScanPath_2,Diagonal,2,evaluation,Advective posterior mean + sequential advective ST,0.4298811017389075,0.5156601763051051,0.1734673777137862,0.045636740174388284,0.2068964055361528,4.773431430366152,3.764041056689548,-2.9362555151155085,3.3555245528829185,0.2,2.8949643735682797,3.5602620465124915,0.6600455298747966
DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-sample mixture sequential advective ST,0.43519044702974546,0.5220289557598506,0.18784049903969846,0.04400977181917255,0.21215732428285944,4.7570316034254,3.723570552789279,-2.8659003996739103,3.310179399931213,0.2,2.9266186809277337,3.316803826118303,0.6601968024849122
DiagonalScanPath_3,Diagonal,3,evaluation,Posterior physics mean + sequential ST,0.43445687702025015,0.5468201624665715,0.1845566999623533,0.02602476187434847,0.2132434167641683,4.995731263106488,3.6584420340865993,-2.9022926146271106,3.2244331210599677,0.44,3.581828967768215,5.900574066676768,0.6651099607775811
DiagonalScanPath_3,Diagonal,3,evaluation,Posterior physics mean + sequential advective ST,0.4305276571609481,0.5418747311580223,0.18446721944089187,0.027298188646991038,0.21273780380177687,4.927168201271908,3.548329712841687,-2.684161948224755,3.153221778509744,0.44,3.34441316579931,6.292863310894859,0.6635976345941629
