method,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Observed-clipped previous state + ST innovation,overall,0.5556768273306705,0.030323583756320334,0.18967604811158903,0.007996090454051348,0.008912332427892262,0.008775693968652487,0.6579801260192001,0.00021584100389563645,0.9876316140210583,0.001210651807071662,2.5164406275800366,0.0032432393288426525,1.0,0.0,0.0,0.0,-0.01626744186256241,0.01340561357551555,0.8046379399506274,0.04088089116072242,0.290384694201191,0.011971287164092032,0.15127312632896125,0.013807712641316782,0.012181793949087033,0.0010999465783170228,0.21822346011308325,0.003391502189921007,30
Observed-clipped previous state + ST innovation,above_camera_ceiling,2.9849307794828257,0.17986511208885728,1.7678854857525814,0.09940407485176023,-1.5843832216776117,0.1499031161438669,0.6806815427980124,0.00442183411136352,0.593859649122807,0.03965977510835751,2.602275036929866,0.0287175093446533,1.0,0.0,0.0,0.0,2.2890313833364724,0.20478686112626154,4.265940319133454,0.24470328006130218,2.555134080612263,0.1410539551152688,1.3059578243850072,0.23933180576089508,0.4004385964912281,0.035690340803310884,1.5323642207577837,0.09052649405629178,30
Observed-clipped previous state + ST innovation,top_1pct,5.081271992720567,0.31190075959183855,4.139750061114571,0.2488244362704086,-3.711709247170494,0.3042864221450928,0.6932059648366046,0.0073930090711955545,0.02666666666666667,0.030323921743156138,2.649597189150963,0.049794397464551506,1.0,0.0,0.0,0.0,5.340356846255561,0.3962217953136844,7.253628052712471,0.4256012207031503,5.950968865029234,0.363132287945263,4.282610627933241,0.5773521371285688,0.9733333333333333,0.028446360088750403,3.756283699185971,0.2529710331222979,30
Posterior-mean previous state + ST innovation,overall,0.4950901375344149,0.030786699348591184,0.18265884023694917,0.00789086973434173,0.03628716720227895,0.011069730908693372,0.6582574279636646,0.0003831040758146119,0.9905104624816741,0.0015677969383560374,2.517482816048264,0.0033778707885071236,1.0,0.0,0.0,0.0,-0.056313384221807476,0.016506990072369335,0.7164966668067944,0.043178313042333966,0.2798892642510039,0.012074097475325875,0.15216602952402855,0.013770709962669946,0.008983073437291749,0.0015845852486237825,0.21058002406939208,0.003795129158083761,30
Posterior-mean previous state + ST innovation,above_camera_ceiling,2.5809953416180322,0.19777390447309384,1.4327062647636948,0.12760536298155342,-0.741387785534083,0.29014550852831567,0.6878383442569013,0.006196360265757558,0.7166666666666667,0.040257394539845136,2.630714386841282,0.028443531277871432,1.0,0.0,0.0,0.0,1.0547691215092194,0.4205399462293938,3.667539534556796,0.2820784044163771,2.0558718093008483,0.1835376799682054,0.9874429539542138,0.23177484094143863,0.2675438596491228,0.042507905426551744,1.2130434775245258,0.11791423845312787,30
Posterior-mean previous state + ST innovation,top_1pct,4.385729736417994,0.37557820420450916,3.257067513025109,0.4116706799727453,-2.7111838333496623,0.42462747131678524,0.698967005833414,0.0071878538944904575,0.2733333333333333,0.11841869998335197,2.667360872544445,0.041369507396054606,1.0,0.0,0.0,0.0,3.867362524356903,0.6134678501551488,6.224360867418979,0.5377675157313884,4.645146574428746,0.5984475848620842,3.0828474600314792,0.7862538901424757,0.696,0.12631651542441122,2.9008675547041083,0.39604782366812014,30
Moment-matched sequential advective ST,overall,0.49510663548743883,0.03192092013151151,0.18278301487941787,0.007998855522781536,0.03661687326378848,0.01170204807275108,0.6632746651513071,0.0025594384572762176,0.9924696787951486,0.001831043305535401,2.53654998760351,0.010346997108116616,1.0,0.0,0.0,0.0,-0.060851229635290986,0.016426850715340002,0.619326551445699,0.06277970938000887,0.26863458502127247,0.012206366166585885,0.15190051933934692,0.013789342174929612,0.0071837931494069035,0.0017491246434564534,0.20988940356442054,0.004038182117939764,30
Moment-matched sequential advective ST,above_camera_ceiling,2.5826024643048617,0.201665223347193,1.4412608408870333,0.13350237938572848,-0.7355624218423592,0.30712239367334876,0.8317439645034433,0.07817376829441404,0.7706140350877193,0.05663993814485064,3.1736401340535725,0.297286453046628,1.0,0.0,0.0,0.0,0.8926639917597947,0.42644417132505874,3.04109751102079,0.42779589495354003,1.7197261927329244,0.23490274153031437,0.8248598605387661,0.1590351916183597,0.22412280701754386,0.05889291030828645,1.196554094248145,0.12164105593697334,30
Moment-matched sequential advective ST,top_1pct,4.383701891815464,0.37697111208373607,3.25029784564967,0.40541015377678424,-2.6980157937559484,0.4536664145348315,0.8739942376240591,0.10502109770773706,0.36533333333333334,0.1546460549087838,3.332062254970471,0.39991925246096177,1.0,0.0,0.0,0.0,3.2199985706848437,0.744438311691933,5.150665496082023,0.8050390358732585,3.848550330080343,0.7759974053064587,2.6050140883377235,0.7488767630135367,0.6253333333333334,0.16391194720575314,2.8387054103684153,0.40291848286839294,30
Posterior-sample mixture sequential advective ST,overall,0.49497483577808216,0.03213936780754919,0.18289973870123868,0.008095740861728944,0.03690925360564507,0.011941385267612192,0.6635157746828368,0.002853534401945252,0.992589630814341,0.0016460171015353106,2.537139013965245,0.01074124177529649,1.0,0.0,0.0,0.0,-0.06111464014669748,0.016747917626638895,0.617893142748571,0.06521389494285024,0.2685516527938188,0.012791911460527286,0.15187970481987506,0.013824720935420134,0.007170465147274424,0.001737899860087416,0.20994095736346083,0.003999158819160818,30
