method,family,field_excess_rel_l2_mean,field_excess_rel_l2_std,overall_rmse_K_mean,overall_rmse_K_std,overall_mae_K_mean,overall_mae_K_std,overall_signed_error_K_mean,overall_signed_error_K_std,overall_crps_K_mean,overall_crps_K_std,top_1pct_rmse_K_mean,top_1pct_rmse_K_std,top_1pct_mae_K_mean,top_1pct_mae_K_std,top_1pct_signed_error_K_mean,top_1pct_signed_error_K_std,top_1pct_crps_K_mean,top_1pct_crps_K_std,top_1pct_coverage_95_mean,top_1pct_coverage_95_std,top_1pct_interval_width_95_K_mean,top_1pct_interval_width_95_K_std,peak_absolute_error_K_mean,peak_absolute_error_K_std,mean_posterior_sd_K_mean,mean_posterior_sd_K_std,n_trajectories
Observed-clipped previous state + ST innovation,Diagonal,0.4458236139475074,0.017951207812519753,0.5959223294735285,0.03359483371871149,0.19336837637243445,0.00540071029541366,0.00774336672774101,0.010104999831830096,0.22157903231298118,0.003090964737161282,5.504408619349138,0.3752269338093775,4.40957479696508,0.32694780176822186,-3.740762004474255,0.3437765806720892,4.032905505037325,0.3336277571699557,0.06285714285714286,0.021380899352993952,2.655315323401969,0.0477738015040433,5.190905390185443,1.8849581157933655,0.65796237019016,0.0001831406544466294,7
Posterior-mean previous state + ST innovation,Diagonal,0.40117680639411096,0.020001812506660294,0.5360433102410601,0.03010943026191221,0.1868829949167889,0.00422058116165716,0.037726004115301755,0.012695349974738649,0.21419285426211374,0.00326788065269886,4.835369005810685,0.36215633356853094,3.5478241851563435,0.4577098460675476,-2.6278756026788845,0.49047955634709395,3.1968163475291598,0.43931453524720837,0.25142857142857145,0.14182484166846693,2.6559302743248394,0.032219665710054295,5.625924915676364,3.4609893431621597,0.6582328220196836,0.000353957068560812,7
Moment-matched sequential advective ST,Diagonal,0.4019940105927408,0.02193938588343233,0.5370669674073569,0.030997503106884948,0.1874089066916395,0.00417248254532689,0.03814640252037231,0.014916709422078964,0.21372843571721942,0.0031070177661458665,4.834051436853761,0.3834798696040651,3.53887126155896,0.48391663311556526,-2.6123566325776375,0.5499955519078996,3.1279111447190395,0.45731698811944593,0.34285714285714286,0.1725991778383553,3.3721156525630556,0.40521341439607256,5.584891439677863,3.5762700849022173,0.6637913139079306,0.0026815355891739237,7
Posterior-sample mixture sequential advective ST,Diagonal,0.402461111670606,0.021979729604303833,0.5377193939386504,0.03166878036760669,0.18770014503404844,0.004300783149176082,0.038103104630072895,0.015552369462945524,0.2139087905821541,0.003462784489453978,4.836941150206762,0.39316753112297326,3.5445092571598837,0.5019593696149293,-2.6211510707021586,0.5691269418925012,3.136098165269661,0.4839234897184259,0.33714285714285713,0.17867235243262883,3.391973036567253,0.46017672858940034,5.584113466935817,3.5967168614954734,0.6639952501559794,0.003458593890845542,7
Oracle true previous state + fixed clipped-calibrated source,Diagonal,0.5638456548401313,0.04653382546615424,0.7514886137940335,0.028674328739522092,0.08208919927786416,0.004721927317103985,0.03543655529547465,0.005827647220855435,0.18414497951535463,0.0011021142243953393,7.470210877865744,0.287145827043511,2.870561779227436,0.08683736190782897,2.86871014790112,0.08504000400368353,2.732339871744844,0.09115906837888617,0.7485714285714286,0.01951800145897069,2.688979788750218,0.027761648534249873,29.779547176173896,6.940862005158381,0.6581977696978846,0.000271023524369177,7
Oracle true previous state + dev-calibrated source,Diagonal,0.34621514509962864,0.04320072678871794,0.462061368046848,0.0543006311112474,0.07276506535504397,0.003321499056155445,0.014893715841302568,0.005939881429166176,0.17487981297152164,0.0012282121308928996,4.542467687224905,0.5568909347282311,1.9131971110084025,0.14810612683700192,0.9337242419922734,0.0636593752453515,1.7934584874403927,0.15146977355144012,0.8057142857142858,0.02760262237369418,2.688979788750218,0.027761648534249873,13.295555521731387,5.0747429878937265,0.6581977696978846,0.000271023524369177,7
Observed-clipped previous state + ST innovation,Horizontal,0.5417392671122025,0.06699981458957856,0.5541029562755129,0.00949956665142423,0.19283497515480252,0.006022670635786873,0.005523421945226636,0.007337350749383262,0.218214089496531,0.002848896359290051,5.029482203230503,0.08047144969210546,3.9830386966779514,0.15617764075909168,-3.9830386966779514,0.15617764075909168,3.591497726053912,0.154495557358303,0.018181818181818184,0.020889318714683743,2.6741166551803364,0.04347846514961056,12.48408772753687,1.619290995570724,0.6578673544006998,0.0002276986883670725,11
Posterior-mean previous state + ST innovation,Horizontal,0.4749127283563188,0.07216675205790869,0.48425327900386017,0.02004598907505713,0.18370061279891947,0.006776340419087373,0.034170395879227745,0.013000634058951575,0.20882972565880717,0.003319745585603369,4.2354765317792955,0.31354531912363526,2.9681157531689397,0.35145679671562896,-2.936176958265879,0.3845350160370259,2.614591386736947,0.32642847596624214,0.31636363636363635,0.11377809343390557,2.6660139019932974,0.027018956092675076,11.364588400100423,1.8494460127874948,0.6580175950253918,0.00033596806473825135,11
Moment-matched sequential advective ST,Horizontal,0.47679568037328596,0.07198061661766715,0.4861767438069178,0.0196358264824146,0.18381703754324166,0.0068813862960813875,0.03358169947530756,0.012123390863282065,0.2079918803044798,0.0038179787355301625,4.263598171640894,0.2768882572367159,2.9967044252769597,0.3219955453604074,-2.9671760306573685,0.33079277429565024,2.573610058201252,0.32647468356222453,0.4509090909090909,0.1539775662526555,3.4315777076351495,0.3446819253129239,11.387519243056163,1.8609020797930813,0.6639044636175372,0.0024531129768614063,11
Posterior-sample mixture sequential advective ST,Horizontal,0.47549504354620514,0.07209103924320208,0.4847963266686237,0.018452311992361477,0.18386675270802114,0.006873799367419193,0.034614152285690154,0.012321073354371699,0.20790102661665408,0.0035226018598072217,4.240475714985923,0.28036399475382184,2.9724270689321433,0.31604394379039996,-2.943358998668764,0.33417186998938003,2.5519124572039757,0.32121405216981935,0.46545454545454545,0.1709013537900526,3.4573084506589358,0.3711832447617975,11.366430503860494,1.8642918835592677,0.6640510648281449,0.0026822306060299123,11
