region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
overall,2501,0.5472566668050421,0.18516518030717816,0.009478459531391112,0.6579609988031162,0.9848060775689724,2.514196146171888,1.0,0.0,-0.016452750653618408,0.7897953266762618,0.28272003995375594,0.1373524563317707,0.013994402239104359,0.21809163305597054,DiagonalScanPath_1,Diagonal,1,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,2.9427278826217798,1.809787762575746,-1.5617336670798756,0.6803620111607798,0.5,2.5774545180218995,1.0,0.0,2.2600479081771723,4.193304282493787,2.608623036189066,1.8210408510236964,0.4605263157894737,1.5722958547590014,DiagonalScanPath_1,Diagonal,1,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
top_1pct,25,4.921901625980771,3.9594110430228784,-3.263325425238936,0.6953508950947044,0.04,2.5847593595233955,1.0,0.0,4.693716376153468,7.002354367756406,5.668540606794024,3.9423379204429736,0.92,3.577940185364931,DiagonalScanPath_1,Diagonal,1,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
overall,2501,0.4931857567205522,0.17936134913331891,0.04515747356466033,0.6583953771263871,0.9896041583366654,2.5176864895930122,1.0,0.0,-0.06770430379920349,0.7128411583000013,0.2740940872436418,0.1392770986824819,0.010795681727309077,0.21075509769012757,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,2.5593038088767845,1.447888813105101,-0.5243112372243462,0.6874218052197512,0.7105263157894737,2.6281475712538143,1.0,0.0,0.7692979484866165,3.638412225498189,2.081100148127694,1.194119067953379,0.3026315789473684,1.2101746045731923,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
top_1pct,25,4.305036010250912,3.0237103522688447,-2.210353304130599,0.6955793774610198,0.36,2.650554007169744,1.0,0.0,3.187284836502171,6.11383391219361,4.326345909112603,2.9401646675827817,0.68,2.6992792749348355,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
overall,2501,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.6629033345875804,0.989204318272691,2.5337929854912145,1.0,0.0,-0.07078571110999853,0.6374270789774625,0.2652140219084877,0.13974503911107727,0.009196321471411436,0.21067175063430618,DiagonalScanPath_1,Diagonal,1,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
above_camera_ceiling,76,2.5552963758274725,1.4546069631998535,-0.4926563904242009,0.8134804704584999,0.6973684210526315,3.1040594977257987,1.0,0.0,0.6421274030758233,3.160734938929396,1.8159939473819762,0.9709539879247223,0.27631578947368424,1.1988136579130104,DiagonalScanPath_1,Diagonal,1,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
top_1pct,25,4.288794185758564,3.0073982601425926,-2.1792183481292953,0.817331679142369,0.32,3.0723925013817235,1.0,0.0,2.7387443200966266,5.3001296850257,3.75369620188593,2.5869646169068616,0.64,2.6461658311750638,DiagonalScanPath_1,Diagonal,1,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
overall,2501,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.663570976371033,0.991203518592563,2.539379662642132,1.0,0.0,-0.07064573713443478,0.6312616898719756,0.26426985089540755,0.13911532451563394,0.009196321471411436,0.21014586445232922,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
above_camera_ceiling,76,2.5604043163505406,1.4561256936178735,-0.5061212246735307,0.8341413266514079,0.7236842105263158,3.1436843329164144,1.0,0.0,0.6537877761374122,3.120174134046246,1.7888015940713138,0.9802291452048284,0.27631578947368424,1.1952033950775058,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
top_1pct,25,4.298791325971757,3.017642833032269,-2.198850586132721,0.8318720869888244,0.36,3.141126800898005,1.0,0.0,2.72545318322872,5.235248673003308,3.712363526544466,2.5379167862883056,0.64,2.6585181862166967,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
overall,2501,0.701209552181772,0.07837707633808139,0.028401004100866097,0.6580407905687441,0.9976009596161536,2.5157662031057955,1.0,0.0,-0.039594143375526684,0.987137261142054,0.12385505318621998,0.04782746527237956,0.0023990403838464614,0.1823349265988433,DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
above_camera_ceiling,76,3.9988069443707532,0.9663492399568382,0.9594193097937375,0.6836856051202025,0.9210526315789473,2.601315984848466,1.0,0.0,-1.3519783667855156,5.6060455782417735,1.3650841401783083,0.17070897379221056,0.07894736842105263,0.9650715565389357,DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
top_1pct,25,6.969894790019122,2.73873038210123,2.7369990540844267,0.6954640345682259,0.76,2.697636880010043,1.0,0.0,-3.848890999274587,9.77085706462699,3.8515945233436266,0.33422935680685945,0.24,2.5929066497692848,DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
overall,2501,0.47705099652441824,0.07061366232229674,0.007944287958538052,0.6580407905687441,0.9976009596161536,2.5157662031057955,1.0,0.0,-0.010888896534397263,0.6751208591959216,0.11296797636669448,0.04782746527237956,0.001999200319872051,0.174662149841176,DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
above_camera_ceiling,76,2.701650704483115,0.7108716287268725,0.28623184832054743,0.6836856051202025,0.9210526315789473,2.601315984848466,1.0,0.0,-0.40734912534255896,3.7894601538742165,1.0068133622094497,0.17070897379221056,0.06578947368421052,0.7125766266583331,DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
top_1pct,25,4.693144113063583,1.8821055355665772,0.8229938678101303,0.6954640345682259,0.84,2.697636880010043,1.0,0.0,-1.1653745049697484,6.581670584913649,2.64887284773197,0.33422935680685945,0.16,1.764333709875222,DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
overall,2501,0.5687530391983925,0.19636065232908395,0.022762541274296673,0.6576942420071075,0.9880047980807677,2.5196372769199282,1.0,0.0,-0.03845638691534119,0.8224676469149739,0.3009289270060891,0.16008345098715399,0.011595361855257898,0.22100312185201265,DiagonalScanPath_2,Diagonal,2,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,3.0607091001219096,1.8442565970700227,-1.5646738631876764,0.6775297698059205,0.6052631578947368,2.6090934548824265,1.0,0.0,2.2730937884506477,4.3696447866601895,2.6699802139701894,1.0894483194658777,0.3815789473684211,1.597151734973903,DiagonalScanPath_2,Diagonal,2,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
top_1pct,25,5.214396766233545,4.312510040353115,-3.647650361666217,0.6922159170415756,0.08,2.6865015831627375,1.0,0.0,5.251431545819567,7.428524251666231,6.182525808079082,4.210157408388993,0.92,3.9437315075500288,DiagonalScanPath_2,Diagonal,2,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
overall,2501,0.5219822476763841,0.18760012542977514,0.04383276035427724,0.6576942420071075,0.9908036785285885,2.519637276919928,1.0,0.0,-0.06914551147649664,0.7552094220457639,0.2881298157469996,0.16012687675081771,0.009196321471411436,0.2127820150350416,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,2.766254362673239,1.5136454217489204,-0.9169126529755545,0.6775297698059205,0.6973684210526315,2.6090934548824207,1.0,0.0,1.3311787065449792,3.9396130840877204,2.1860827879850278,0.8197491589815311,0.3026315789473684,1.3074018304689548,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
top_1pct,25,4.75845272897835,3.725265542454879,-2.8684697590866133,0.6922159170415756,0.12,2.6865015831627375,1.0,0.0,4.130735119861952,6.769052770150652,5.331378977636235,3.3352322271619763,0.88,3.350844078678159,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
overall,2501,0.5220039457691088,0.18761155763572449,0.043674896053376905,0.6600748546608661,0.9920031987205118,2.52882527612103,1.0,0.0,-0.07177032369098879,0.7122015902819864,0.28259680120729075,0.16008339522282394,0.008396641343462616,0.21257639988626753,DiagonalScanPath_2,Diagonal,2,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
above_camera_ceiling,76,2.766454241072885,1.51384081371294,-0.9220292933640734,0.7430185440850989,0.7368421052631579,2.8621541110060096,1.0,0.0,1.2417215080834694,3.6683198291442976,2.0124396929218054,0.738250548369965,0.27631578947368424,1.2988519815352677,DiagonalScanPath_2,Diagonal,2,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
top_1pct,25,4.758977251824033,3.7265361139470814,-2.8697914733396463,0.7621696488342958,0.24,2.957902356410054,1.0,0.0,3.8327217146666133,6.305763316627877,4.919738149928432,3.1530757142546624,0.8,3.3184447294328283,DiagonalScanPath_2,Diagonal,2,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
overall,2501,0.5220289557598506,0.18784049903969846,0.04400977181917255,0.6601968024849122,0.9916033586565374,2.5321615206826196,1.0,0.0,-0.07225386008653754,0.7116949500074539,0.28279783373847234,0.16044363398628136,0.008396641343462616,0.2121573242828607,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
above_camera_ceiling,76,2.7658698703961018,1.5162721051846935,-0.9166906640112932,0.7458415698178728,0.7236842105263158,2.856542331593482,1.0,0.0,1.2333158951081422,3.6640483111728344,2.0124850454107865,0.7406645397820726,0.27631578947368424,1.296721038676308,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
top_1pct,25,4.7570316034254,3.723570552789279,-2.8659003996739103,0.7637234547272408,0.2,2.9266186809277337,1.0,0.0,3.8223907481120944,6.297201336219858,4.909443196497559,3.1532524056214277,0.8,3.3101793999312155,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
overall,2501,0.7685256232810074,0.08631120512617037,0.04546424980154446,0.6577163490131889,0.9976009596161536,2.5197250613394377,1.0,0.0,-0.06760281561985791,1.0832149963451736,0.13688782389092516,0.055320110756548004,0.0027988804478208716,0.18435542248663603,DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
above_camera_ceiling,76,4.383107535954289,1.0102245006192896,0.9998246121705997,0.6778818131495783,0.9210526315789473,2.5986867027879375,1.0,0.0,-1.4144300866394004,6.152642645374501,1.4316982513255503,0.12355174023552397,0.09210526315789473,1.0118072112598466,DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
top_1pct,25,7.634673612356619,2.8564345355634213,2.8564345355634213,0.692215917041579,0.76,2.6502759547662116,1.0,0.0,-4.02738642347283,10.716110164642425,4.02738642347283,0.3721346552123726,0.24,2.7106134268448887,DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
overall,2501,0.40739739447258455,0.0752479485416361,0.02539510086950286,0.6577163490131889,0.998000799680128,2.5197250613394377,1.0,0.0,-0.03943616275643517,0.5816974020587675,0.12134808996485523,0.055320110756548004,0.001999200319872051,0.17351511188376684,DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
above_camera_ceiling,76,2.286752165978458,0.6388726219253809,0.3534148566530753,0.6778818131495783,0.9342105263157895,2.5986867027879375,1.0,0.0,-0.5074414494672015,3.2189790551734156,0.9099743548629793,0.12355174023552397,0.06578947368421052,0.6513419579701051,DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
top_1pct,25,3.981864917157854,1.7618882985414006,0.9768949540862354,0.692215917041579,0.8,2.6502759547662116,1.0,0.0,-1.3899428771887878,5.603558414232715,2.4894696676600363,0.2909172635281547,0.2,1.6412470427514003,DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
overall,2501,0.5878162322921376,0.18837713381155297,0.009561412980534395,0.6581595759618396,0.9880047980807677,2.5171523367066415,1.0,0.0,-0.017559908958346113,0.8466643142230305,0.28805630874262034,0.1495046726477709,0.011995201919232307,0.21944809724894287,DiagonalScanPath_3,Diagonal,3,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,3.1856544186028697,1.824212939289493,-1.5402283045487868,0.6908027884673631,0.6052631578947368,2.6125293200197857,1.0,0.0,2.216441574131739,4.532149825907117,2.6157447841553063,1.274633264876282,0.39473684210526316,1.591202562689834,DiagonalScanPath_3,Diagonal,3,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
