percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
0-10%,0.0,10.0,250,0.2505423107205221,0.20410347852775795,-0.013065800459355159,6.977042133789336e-13,0.0,0.0,0.0,1.0,,,,,,0.20410347852770475,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
10-20%,10.0,20.0,250,0.24474216488289188,0.19325430859973652,0.019041212913903337,6.940560867730307e-13,0.0,0.0,0.0,1.0,,,,,,0.19325430859982173,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
20-30%,20.0,30.0,250,0.2480885441214924,0.19953901827022583,0.004112929388889824,7.088766011095112e-13,0.0,0.0,0.0,1.0,,,,,,0.19953901827028772,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
30-40%,30.0,40.0,250,0.24061642816985565,0.19605533847442097,-0.022550485957964383,7.462698988200162e-13,0.0,0.0,0.0,1.0,,,,,,0.19605533847444503,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
40-50%,40.0,50.0,250,0.2426002826829786,0.1992831515930834,-0.01652347878836099,6.844797544325355e-13,0.0,0.0,0.0,1.0,,,,,,0.19928315159314014,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
50-60%,50.0,60.0,251,0.24172009492725363,0.1872110991620662,0.0014889848248360912,6.876573308437527e-13,0.0,0.0,0.0,1.0,,,,,,0.18721109916199102,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
60-70%,60.0,70.0,250,0.2530049479633414,0.20343600004287146,0.011154396617166185,6.79463580349419e-13,0.0,0.0,0.0,1.0,,,,,,0.20343600004289666,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
70-80%,70.0,80.0,250,0.26348856204891136,0.21061429078330707,-0.02068084990051534,6.703432638346616e-13,0.0,0.0,0.0,1.0,,,,,,0.21061429078322477,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
80-90%,80.0,90.0,250,0.2584639715042706,0.20606697624891354,0.012091858140429167,7.141207831054967e-13,0.0,0.0,0.0,1.0,,,,,,0.20606697624893602,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
90-95%,90.0,95.0,125,0.31708410372107354,0.23485135748611446,-0.004833204898805889,0.006484091864229252,0.0,0.02415082833018778,0.016,0.984,-3.2200121763614282,3.2203135625923647,3.2200121763614282,3.2200121763614282,1.0,0.2311535574191576,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
95-99%,95.0,99.0,100,0.7177409161704775,0.5523899288697368,0.20508508647660334,0.3265502192509816,0.35,1.1681337897768531,0.58,0.42,-0.744253628829455,1.9256889797067336,1.6110124648337631,1.4776414577928603,0.29310344827586204,0.4203036732193071,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
99-100%,99.0,100.0,25,9.58251339716365,5.055550645469148,-5.055550645469148,0.5006936755666335,0.2,1.802024802191188,1.0,0.0,11.726633349908056,25.031632430492316,11.726633349908056,5.18308467630931,0.8,4.813015197666154,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
0-10%,0.0,10.0,250,0.2350665196866309,0.19424222742270536,-0.00035745073941848205,6.819716673909772e-13,0.0,0.0,0.0,1.0,,,,,,0.19424222742268243,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
10-20%,10.0,20.0,250,0.2448665419458121,0.19475627374821283,0.0038060015424691757,6.86303817735487e-13,0.0,0.0,0.0,1.0,,,,,,0.19475627374809693,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
20-30%,20.0,30.0,250,0.236595755594346,0.19232463157636925,-0.008547139697576086,6.505065754150646e-13,0.0,0.0,0.0,1.0,,,,,,0.19232463157639712,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
30-40%,30.0,40.0,250,0.23314645035783846,0.1859604649487203,0.002286587191501667,6.972481975531957e-13,0.0,0.0,0.0,1.0,,,,,,0.1859604649487424,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
40-50%,40.0,50.0,250,0.2580602706376643,0.21192763054917213,0.01227592974305935,6.819716673909772e-13,0.0,0.0,0.0,1.0,,,,,,0.21192763054912933,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
50-60%,50.0,60.0,251,0.24266965820088068,0.19355934599812996,0.024361208443310824,6.974226099805695e-13,0.0,0.0,0.0,1.0,,,,,,0.19355934599805608,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
60-70%,60.0,70.0,250,0.24173739925687432,0.1898769088174381,0.008049403841103413,7.079645694580356e-13,0.0,0.0,0.0,1.0,,,,,,0.18987690881744265,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
70-80%,70.0,80.0,250,0.24756897762609006,0.19777476822201562,0.01307792726095704,7.002123004204918e-13,0.0,0.0,0.0,1.0,,,,,,0.19777476822212084,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
80-90%,80.0,90.0,250,0.2549158191974338,0.2014276528684543,-0.0074130086333955205,6.707992796603994e-13,0.0,0.0,0.0,1.0,,,,,,0.2014276528684772,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
90-95%,90.0,95.0,125,0.25660251608290774,0.2060525615851384,0.004927531958584041,7.008963241590986e-13,0.0,0.0,0.0,1.0,,,,,,0.20605256158510543,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
