method,percentile_bin,percentile_lower,percentile_upper,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Hybrid previous censored representation,0-10%,0.0,10.0,0.251171920087831,0.008990483767270402,0.20128443731272352,0.00767360966754848,0.0020257946561092694,0.01818374268243164,6.976966131151713e-13,2.1529923135192614e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.20128443731270482,0.00767360966753272,30
Hybrid previous censored representation,10-20%,10.0,20.0,0.24749559540153396,0.007800915029984523,0.1973633606456671,0.007864692542927657,-0.0012525474407353461,0.019046472074717748,6.946565076102522e-13,2.1915727507970754e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.19736336064567866,0.00786469254289854,30
Hybrid previous censored representation,20-30%,20.0,30.0,0.25017241023954373,0.011202961270422931,0.20099595932522676,0.009711291789315587,0.0053610258980056795,0.013976744873475081,6.898607411762422e-13,2.2304512878942127e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.20099595932524258,0.009711291789302507,30
Hybrid previous censored representation,30-40%,30.0,40.0,0.2506753524635916,0.007865648830380526,0.20112726460874594,0.006646260299238675,-0.0019440513227871861,0.015991476420992346,6.938812807064978e-13,1.9429282611925253e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.20112726460875,0.0066462602992396844,30
Hybrid previous censored representation,40-50%,40.0,50.0,0.250156510645076,0.009252921150797368,0.2016258966902407,0.007604950275499128,-2.7398551587513634e-05,0.015079060656827055,6.910083810043493e-13,1.8392966982366958e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.20162589669024342,0.007604950275512899,30
Hybrid previous censored representation,50-60%,50.0,60.0,0.2491711912432202,0.011291239396783658,0.19867065233231687,0.009251879240101618,-0.0032284630557586533,0.018202320976875543,6.945838660454483e-13,2.3643166099581013e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.19867065233231324,0.009251879240112192,30
Hybrid previous censored representation,60-70%,60.0,70.0,0.2510365049053642,0.010707405821355528,0.20028029231231756,0.008294228022948954,0.0019860254843223476,0.016963048277240367,6.946717081377768e-13,2.0815713978879305e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.2002802923123233,0.008294228022947036,30
Hybrid previous censored representation,70-80%,70.0,80.0,0.25220590918369995,0.011522925109476816,0.2017245257547067,0.01011538529237138,-0.0012225882162411681,0.01448077511450655,6.872538507057741e-13,2.237180262995063e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.20172452575471003,0.01011538529237136,30
Hybrid previous censored representation,80-90%,80.0,90.0,0.25262422839745896,0.012007092977537945,0.20167721425028043,0.010480694769140035,-0.0014116722528389424,0.015247058985193717,6.90111549880398e-13,1.726581130525919e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.20167721425028892,0.010480694769141005,30
Hybrid previous censored representation,90-95%,90.0,95.0,0.2611442625956507,0.025755296298028627,0.2021100334334508,0.012135317237966667,-0.005297561822025636,0.023392571396724075,0.00321883673853965,0.004964435076892864,0.0,0.0,0.011712960193189202,0.017727891173403586,0.0072,0.01078440764603518,0.9928,0.01078440764603518,-2.5677805800525637,0.4473852662256215,2.5767196652260003,0.443196963967463,2.5677805800525637,0.4473852662256215,2.573063449752998,0.44730617679293294,0.808974358974359,0.3040327242845701,0.20029576192839718,0.010903609231020586,30
Hybrid previous censored representation,95-99%,95.0,99.0,0.5788047004169434,0.15364029489085876,0.42249181124238055,0.10278726912916189,0.13494522754243304,0.16320053598361037,0.303627084551206,0.08900502153163528,0.42066666666666663,0.05051004224722142,1.0925140663890849,0.29455843519574654,0.5456666666666667,0.03500574665466478,0.45433333333333337,0.03500574665466478,-0.44440936353253113,0.47526717981137323,1.463024088392454,0.34163928484990375,1.198674693855874,0.27972286739979263,1.0797809526928779,0.26461086796103805,0.161280371949742,0.1092445652915069,0.3216345824489404,0.06948268605919158,30
Hybrid previous censored representation,99-100%,99.0,100.0,9.665974053102964,0.5459865469486451,5.406887541546651,0.4385301750506671,-5.382496913753223,0.4533749362669675,0.6139462451384501,0.21692143925514584,0.22266666666666665,0.1705757660220906,2.1922316373853667,0.7007299862185441,1.0,0.0,0.0,0.0,11.094204118978423,4.267530919656137,19.55707125288388,7.177518838106161,11.114291392194625,4.251474463563776,5.556519694395307,2.832457977975584,0.7893333333333333,0.15719378186643154,5.122255155514581,0.48333693002019,30
