region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
overall,2501,0.999733131554537,0.26431919441592344,-0.04506826366326952,0.01838579580122515,0.01599360255897641,0.06592677032136685,0.03398640543782487,0.9660135945621752,2.865401163798472,13.677111201249984,4.624053894832737,1.7887071845086837,0.4588235294117647,0.2564286559239317,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2416,0.2505451697362181,0.2010184232389737,-0.0063260452130369975,6.997370322709851e-13,0.0,0.0,0.0,1.0,,,,,,0.20101842323897917,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,85,5.255815847625786,2.0635505257513413,-1.1462588492604668,0.5409750034961591,0.47058823529411764,1.939798265573394,1.0,0.0,2.865401163798472,13.677111201249984,4.624053894832737,1.7887071845086837,0.4588235294117647,1.8313830343574062,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.58251339716365,5.055550645469148,-5.055550645469148,0.5006936755666335,0.2,1.802024802191188,1.0,0.0,11.726633349908056,25.031632430492316,11.726633349908056,5.18308467630931,0.8,4.813015197666154,DiagonalScanPath_1,Diagonal,1,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,1.0562189291844244,0.256731697358738,-0.05259139078033728,0.0123137458509963,0.01719312275089964,0.04477501239296082,0.030387844862055178,0.9696121551379449,5.394185006684207,16.97383271076052,6.254303018375628,1.5285805378792197,0.42105263157894735,0.25205059799891755,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2425,0.24454628773062823,0.19612638103930136,0.0032302702759541943,6.871735386402448e-13,0.0,0.0,0.0,1.0,,,,,,0.19612638103929028,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,76,5.899475516107157,2.190519750972342,-1.833743075800164,0.4052194522588863,0.5657894736842105,1.4734513946683554,1.0,0.0,5.394185006684207,16.97383271076052,6.254303018375628,1.5285805378792197,0.42105263157894735,2.036474625987022,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,10.259356755978486,5.7944902518822525,-5.7944902518822525,0.39952219223277197,0.04,1.450775503519028,1.0,0.0,16.780666791202794,29.53100434570303,16.780666791202794,8.01048937960303,0.96,5.573857471825653,DiagonalScanPath_2,Diagonal,2,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,1.0510006385093138,0.2558002045262962,-0.050870756047800884,0.020526525258870203,0.022391043582566973,0.0767644153229788,0.03198720511795282,0.9680127948820472,1.9394145803081284,7.097211263541382,2.9909334332574615,1.0602651060697936,0.2375,0.2494014398349934,DiagonalScanPath_3,Diagonal,3,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2421,0.24666342320344445,0.19708559106718485,-0.005520812292770499,6.894861338758592e-13,0.0,0.0,0.0,1.0,,,,,,0.19708559106723156,DiagonalScanPath_3,Diagonal,3,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,80,5.71763711198393,2.032651194332652,-1.423273428934408,0.6417104958845641,0.7,2.399847534034625,1.0,0.0,1.9394145803081284,7.097211263541382,2.9909334332574615,1.0602651060697936,0.2375,1.8326098131693875,DiagonalScanPath_3,Diagonal,3,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,10.17489385596419,5.34337541287467,-5.34337541287467,0.713837639875335,0.4,2.5592519802389417,1.0,0.0,7.585864802889197,12.57079081381474,7.585864802889197,3.2282008502593773,0.6,5.031414052362541,DiagonalScanPath_3,Diagonal,3,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.9965246080410801,0.2582150354230127,-0.03523844142345116,0.02297473444150412,0.021191523390643743,0.08119518061000322,0.02958816473410636,0.9704118352658937,0.9914407767357107,4.494708114639962,2.3851776730992844,1.269294588623555,0.2702702702702703,0.24915217894893282,DiagonalScanPath_4,Diagonal,4,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2427,0.24719959622968135,0.19859325250564575,0.0006921952804086023,7.007461978118532e-13,0.0,0.0,0.0,1.0,,,,,,0.1985932525056613,DiagonalScanPath_4,Diagonal,4,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,74,5.617706146977253,2.2136483751588187,-1.213666215481122,0.7764839302229877,0.7162162162162162,2.7441776581840274,1.0,0.0,0.9914407767357107,4.494708114639962,2.3851776730992844,1.269294588623555,0.2702702702702703,1.9073483205410968,DiagonalScanPath_4,Diagonal,4,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.568082727665464,4.996749009963278,-4.996749009963278,0.9454035617727773,0.48,3.3892452819391177,1.0,0.0,4.833624249238996,7.513809872722416,4.833624249238996,2.2843181405520694,0.52,4.583503143209954,DiagonalScanPath_4,Diagonal,4,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,1.0867658219843672,0.26387514285418545,-0.05017380022314694,0.021624245624173623,0.021991203518592562,0.07577157582247832,0.03318672530987605,0.9668132746901239,2.5500732262725196,10.628427530452685,3.7402835534645975,1.100440156807621,0.26506024096385544,0.2560018373453449,DiagonalScanPath_5,Diagonal,5,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2418,0.24970833613708987,0.19986170402404965,-0.0037023316949548945,6.891157267353841e-13,0.0,0.0,0.0,1.0,,,,,,0.1998617040240554,DiagonalScanPath_5,Diagonal,5,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,83,5.811349878907532,2.128748577688744,-1.4040052568637298,0.6515932325830355,0.6626506024096386,2.283189290747208,1.0,0.0,2.5500732262725196,10.628427530452685,3.7402835534645975,1.100440156807621,0.26506024096385544,1.8915059622956791,DiagonalScanPath_5,Diagonal,5,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,10.532711588652727,5.698791627852636,-5.698791627852636,0.7472903601522752,0.36,2.5938439628298147,1.0,0.0,10.07694459254132,19.273731092936046,10.07694459254132,2.477746501935645,0.64,5.343587054509079,DiagonalScanPath_5,Diagonal,5,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,1.1241082479680564,0.2656390842341716,-0.04486418818346205,0.02946696700185665,0.023590563774490203,0.10566264697456175,0.03158736505397841,0.9684126349460216,2.3577387759993744,10.164651066636276,3.457799380621908,0.9701742677256345,0.22784810126582278,0.25771990955337515,DiagonalScanPath_6,Diagonal,6,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2422,0.25041875226406657,0.1998191243022358,-0.0011354960453176378,6.91131334569475e-13,0.0,0.0,0.0,1.0,,,,,,0.19981912430222998,DiagonalScanPath_6,Diagonal,6,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,79,6.171011722367144,2.283562412780356,-1.385508395254168,0.9328719553160707,0.7468354430379747,3.3450921529541637,1.0,0.0,2.3577387759993744,10.164651066636276,3.457799380621908,0.9701742677256345,0.22784810126582278,2.0328553763669657,DiagonalScanPath_6,Diagonal,6,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,10.91087742594442,5.81252552270505,-5.673234180019649,0.9435671256686038,0.44,3.5149243392868037,1.0,0.0,9.082076730362811,18.005030009065653,9.165790464466014,3.0582798249655636,0.64,5.525889906165881,DiagonalScanPath_6,Diagonal,6,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,1.1584981991616743,0.2768625223814371,-0.06554146776119299,0.01573355137314278,0.015593762495002,0.05779264154205991,0.03198720511795282,0.9680127948820472,4.05051741361606,11.85814216653357,5.175102650214948,2.1137625941186187,0.5375,0.269892849144701,DiagonalScanPath_7,Diagonal,7,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2421,0.2541741268869825,0.20267977815573557,-0.0037925152724317458,6.826581397895322e-13,0.0,0.0,0.0,1.0,,,,,,0.20267977815570493,DiagonalScanPath_7,Diagonal,7,evaluation,Hybrid previous censored representation,Previous censored representation
