region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,state_representation,stage,region_basis
overall,2501,0.999733131554537,0.26431919441592344,-0.04506826366326952,0.01838579580122515,0.01599360255897641,0.06592677032136685,0.03398640543782487,0.9660135945621752,2.865401163798472,13.677111201249984,4.624053894832737,1.7887071845086837,0.4588235294117647,0.2564286559239317,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2416,0.2505451697362181,0.2010184232389737,-0.0063260452130369975,6.997370322709851e-13,0.0,0.0,0.0,1.0,,,,,,0.20101842323897917,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,85,5.255815847625786,2.0635505257513413,-1.1462588492604668,0.5409750034961591,0.47058823529411764,1.939798265573394,1.0,0.0,2.865401163798472,13.677111201249984,4.624053894832737,1.7887071845086837,0.4588235294117647,1.8313830343574062,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.397880124768948,4.893511158342848,-4.893511158342848,0.4962931096791073,0.19230769230769232,1.7898332665772723,1.0,0.0,11.359498540634915,24.54926199273094,11.359498540634915,4.649602549826545,0.8076923076923077,4.652154952324097,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0251029818838506,0.30396602791901267,-0.02870494572710395,2.810301030432398,0.9792083166733306,10.733948452129994,1.0,0.0,0.0860193538710212,2.6369911348298443,0.27985270049118555,0.06553229993763506,0.01759296281487405,0.7303827547762981,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2416,0.337723245139615,0.2418903965159757,0.01063026915673504,2.889907858565201,0.9975165562913907,11.042819268910865,1.0,0.0,-0.015270414533862917,0.26151901086688517,0.12483304618085901,0.06325410308793852,0.0016556291390728477,0.6914859825103414,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,85,5.260931986554712,2.0683745628571,-1.1467505828959863,0.5475940096223617,0.4588235294117647,1.9547497069230624,1.0,0.0,2.965032065238081,14.23583869996753,4.68605840418235,1.7941183081832586,0.47058823529411764,1.8359663053004314,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.406003354028057,4.901180532372627,-4.901180532372627,0.4977252362886734,0.19230769230769232,1.7907952148459922,1.0,0.0,11.605051719495709,25.571371445266276,11.605051719495709,4.911494467912383,0.8076923076923077,4.660765616781639,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,1.0562189291844244,0.256731697358738,-0.05259139078033728,0.0123137458509963,0.01719312275089964,0.04477501239296082,0.030387844862055178,0.9696121551379449,5.394185006684207,16.97383271076052,6.254303018375628,1.5285805378792197,0.42105263157894735,0.25205059799891755,DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2425,0.24454628773062823,0.19612638103930136,0.0032302702759541943,6.871735386402448e-13,0.0,0.0,0.0,1.0,,,,,,0.19612638103929028,DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
