model,family,field_excess_rel_l2_mean,field_excess_rel_l2_std,overall_rmse_K_mean,overall_rmse_K_std,overall_mae_K_mean,overall_mae_K_std,overall_signed_error_K_mean,overall_signed_error_K_std,overall_crps_K_mean,overall_crps_K_std,top_1pct_rmse_K_mean,top_1pct_rmse_K_std,top_1pct_mae_K_mean,top_1pct_mae_K_std,top_1pct_signed_error_K_mean,top_1pct_signed_error_K_std,top_1pct_crps_K_mean,top_1pct_crps_K_std,top_1pct_coverage_95_mean,top_1pct_coverage_95_std,top_1pct_interval_width_95_K_mean,top_1pct_interval_width_95_K_std,peak_absolute_error_K_mean,peak_absolute_error_K_std,mean_posterior_sd_K_mean,mean_posterior_sd_K_std,n_trajectories
hybrid previous state | mean-only | fixed gamma,Diagonal,0.40117680639411096,0.020001812506660294,0.5360433102410601,0.03010943026191221,0.1868829949167889,0.00422058116165716,0.037726004115301755,0.012695349974738649,0.21419285426211374,0.00326788065269886,4.744796569894463,0.3544868055043897,3.441149641497605,0.44004409003907474,-2.5561209750464724,0.47761488246083766,3.09505166232952,0.42365588549696775,0.2802197802197802,0.1363700400658336,2.6611626987753594,0.02859602823942796,5.625924915676364,3.4609893431621597,0.6582328220196836,0.000353957068560812,7
hybrid previous state | moment-matched | fixed gamma,Diagonal,0.4019940105927408,0.02193938588343233,0.5370669674073569,0.030997503106884948,0.1874089066916395,0.00417248254532689,0.03814640252037231,0.014916709422078964,0.21372843571721942,0.0031070177661458665,4.7436303011523595,0.3757361631300313,3.434502184486805,0.4665691040457875,-2.5422867214965463,0.5354947838217433,3.0284420059835098,0.4421106342561369,0.3681318681318681,0.16596074792149543,3.3737667671694713,0.3976133783415123,5.584891439677863,3.5762700849022173,0.6637913139079306,0.0026815355891739237,7
hybrid previous state | mean-only | development-recalibrated gamma,Diagonal,0.40028068768460495,0.019954825822263277,0.5348804054457877,0.03074521453680134,0.1867977379285643,0.004298620961956839,0.03720759671673685,0.012698615144724848,0.21411955915671643,0.0032730340129580888,4.73243307028069,0.36265470895806995,3.43531821505976,0.44287636941797154,-2.603073092800752,0.4777724330505272,3.0895309332872785,0.4261817253209804,0.2802197802197802,0.1363700400658336,2.6611626987753594,0.02859602823942796,5.467178786634763,2.843455920302978,0.6582328220196836,0.000353957068560812,7
hybrid previous state | moment-matched | development-recalibrated gamma,Diagonal,0.4010956398357009,0.022031327377572973,0.5358959431098734,0.031683769612833874,0.18732364970341497,0.004245969127291412,0.037627995121807416,0.014918899860825221,0.21366010047329873,0.0031066638232317614,4.731032359961474,0.3852629002256089,3.428670758048965,0.469490452615049,-2.5892388392508257,0.535413000325542,3.0232045427612566,0.44474290146008416,0.37362637362637363,0.17159520407138038,3.373766767169471,0.39761337834151206,5.426145310636254,2.9768019927603016,0.6637913139079306,0.0026815355891739237,7
coherent latent previous state | mean-only | fixed gamma,Diagonal,0.4261083065332656,0.014344025819397912,0.5701842458304164,0.041093220885368806,0.17909192226015835,0.01988020709547815,-0.04248374209361109,0.039098456021122746,0.228032015135986,0.0110613495595278,4.77445303923595,0.3302288812564229,3.474225983676786,0.40894248455549065,-2.527368533514913,0.5102770010952132,3.1250180475019675,0.3869302701838099,0.2857142857142857,0.1253341546587958,2.6513293600668115,0.039204674032985505,5.618517784017156,3.453450505191716,0.6582467215042858,0.00034886541783053755,7
coherent latent previous state | moment-matched | fixed gamma,Diagonal,0.4955137518086247,0.02771612719834884,0.6620737768696462,0.03991339332084583,0.3617553167771069,0.02577743097809816,-0.04457171805053013,0.04548023667160035,0.5593337629671171,0.007649652430575071,4.771745109832328,0.34103422701371844,3.465589320963351,0.43641154427988726,-2.500351119652657,0.5794752257936581,3.0734723671299777,0.4282991830276576,0.37362637362637363,0.1701523359033189,3.2602690154277423,0.314135485584906,5.637139343950464,3.6070079531499615,2.0884566897705477,0.012932234418139905,7
coherent latent previous state | mean-only | development-recalibrated gamma,Diagonal,0.4248500695273102,0.014040799235078862,0.5685516988963529,0.0416466359656988,0.17896555211757578,0.019925122676709536,-0.043204253635588254,0.039105223957700073,0.22791333662164578,0.011075748959745061,4.757655480684941,0.3410014524406411,3.466121141681305,0.41203983603310573,-2.592625207813698,0.5104443029184322,3.1174497249542497,0.3898680513210963,0.2912087912087912,0.13297006020832713,2.6513293600668115,0.039204674032985505,5.39788355206889,2.6025966249551136,0.6582467215042858,0.00034886541783053755,7
coherent latent previous state | moment-matched | development-recalibrated gamma,Diagonal,0.49436044415595454,0.027665755666918816,0.6605708348154763,0.04055851048307236,0.36162894663452433,0.025911566719805462,-0.04529222959250728,0.04548781266094584,0.559216593962541,0.007738885025047801,4.753566728652651,0.3532478895921873,3.4574844789678716,0.4397829048899557,-2.565607793951442,0.579488718587195,3.06591566661145,0.43070532203701845,0.37362637362637363,0.1701523359033189,3.2602690154277423,0.3141354855849064,5.4165051120021905,2.769177060982987,2.0884566897705477,0.012932234418139905,7
strict oracle | exact previous state | fixed gamma,Diagonal,0.5638456548401313,0.04653382546615424,0.7514886137940335,0.028674328739522092,0.08208919927786416,0.004721927317103985,0.03543655529547465,0.005827647220855435,0.18414497951535463,0.0011021142243953393,7.325197551860376,0.2815661767310013,2.7652949678342336,0.0839900675164074,2.7635145530973912,0.0822598247199032,2.6338783772382324,0.08750192049698646,0.7582417582417582,0.018767309095164136,2.685109072064715,0.034939128449400905,29.779547176173896,6.940862005158381,0.6581977696978846,0.000271023524369177,7
recalibrated oracle | exact previous state | development-recalibrated gamma,Diagonal,0.3468062819092947,0.04783641216590236,0.4628430892631515,0.060719915382541616,0.07290559035592203,0.003177835746743909,0.01365640435355427,0.005947052925552012,0.17501687499248825,0.0014767691856100557,4.460346040781337,0.6098851763287357,1.8520652983486017,0.16419268823772143,0.7908879768525922,0.06164730090883079,1.7389307576795168,0.16719621979450255,0.8131868131868132,0.02654098305162897,2.6851090720647153,0.03493912844940043,12.323925064174587,5.029506383895909,0.6581977696978846,0.000271023524369177,7
hybrid previous state | mean-only | fixed gamma,Horizontal,0.4749127283563188,0.07216675205790869,0.48425327900386017,0.02004598907505713,0.18370061279891947,0.006776340419087373,0.034170395879227745,0.013000634058951575,0.20882972565880717,0.003319745585603369,4.156735889564165,0.30792056258996,2.8848244758566897,0.3448609099504054,-2.854114096142208,0.37686325383767105,2.534923402621099,0.31756451033391825,0.33916083916083917,0.10716654877795061,2.6665103376296218,0.028050181791545538,11.364588400100423,1.8494460127874948,0.6580175950253918,0.00033596806473825135,11
