region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage
overall,2501,0.48981967343957855,0.1580427723274737,0.06852362359689614,0.7159318740849088,0.9900039984006398,2.736460163123701,1.0,0.0,-0.09571249175695917,0.6841707865928688,0.22075113296147233,0.06602685015597999,0.009596161535385846,0.22091280634473082,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.563016027890591,1.4595529767372268,-0.5452285202532413,0.7159318740849087,0.7105263157894737,2.749062118874823,1.0,0.0,0.7615648080344833,3.579971950776172,2.038675786858633,1.172435140603977,0.27631578947368424,1.2095304548644723,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.2344525798938095,2.9689319121703956,-2.18462237505782,0.7159318740849085,0.38461538461538464,2.7617013499674123,1.0,0.0,3.0514389066001084,5.914602678231378,4.146947523415173,2.6017949739231137,0.6153846153846154,2.6280218584035526,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
overall,2501,0.4931857567205522,0.17936134913331891,0.04515747356466033,0.6583953771263871,0.9896041583366654,2.5176864895930122,1.0,0.0,-0.06770430379920349,0.7128411583000013,0.2740940872436418,0.1392770986824819,0.010795681727309077,0.21075509769012757,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.5593038088767845,1.447888813105101,-0.5243112372243462,0.6874218052197512,0.7105263157894737,2.6281475712538143,1.0,0.0,0.7692979484866165,3.638412225498189,2.081100148127694,1.194119067953379,0.3026315789473684,1.2101746045731923,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.228619790980211,2.9557359825917198,-2.173661897843407,0.696290274310901,0.38461538461538464,2.649461304270867,1.0,0.0,3.1323691424718945,6.00502957857251,4.227620173828079,2.749828844600727,0.6538461538461539,2.625478862087595,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
overall,2501,0.48981967343957855,0.1580427723274737,0.06852362359689614,0.7211434975124938,0.9920031987205118,2.756665326806491,1.0,0.0,-0.0976138890036202,0.6036565110643641,0.21121458228981638,0.06602685015597999,0.007996801279488205,0.220519876091716,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.563016027890591,1.4595529767372268,-0.5452285202532413,0.8609363898292166,0.7631578947368421,3.3105636759337425,1.0,0.0,0.6725002214345037,3.0831562488690185,1.758382779342745,0.9301484505960889,0.23684210526315788,1.1989298754028457,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.2344525798938095,2.9689319121703956,-2.18462237505782,0.8501826137247005,0.4230769230769231,3.292617452954298,1.0,0.0,2.6387032774480534,5.090930218138683,3.587044604514309,2.3187568409351798,0.6153846153846154,2.5946851991474036,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n
overall,2501,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.6629033345875804,0.989204318272691,2.5337929854912145,1.0,0.0,-0.07078571110999853,0.6374270789774625,0.2652140219084877,0.13974503911107727,0.009196321471411436,0.21067175063430618,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n
