model,state_representation,propagation,gamma_mode,stage,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,crps_K_mean,crps_K_std,n_trajectories
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current forecast before Y_n,overall,0.49192938006331327,0.031428645565909755,0.16088085102920904,0.007968126571783831,0.0564850412546722,0.011678647411661306,0.7159318740849115,2.290546893696837e-15,0.9910702385712381,0.0014448269959605052,2.7381721842140174,0.004444462697681693,-0.07889722933047247,0.016312512173855584,0.6871175846054999,0.04389893326942762,0.22471530721389296,0.011129727366823048,0.08579288838016343,0.019043999716156963,0.008543249366919898,0.0014605757560601674,1.0,0.0,0.0,0.0,0.21962344582408114,0.003970277699779464,30
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current forecast before Y_n,above_camera_ceiling,2.5848760785967273,0.20117246736854316,1.4338464635793673,0.13350950800909003,-0.7651468066302424,0.30311229978913257,0.7159318740849112,2.239031499692974e-15,0.7302631578947368,0.039511476161940055,2.7400701245836516,0.02539355858041109,1.0687424800135292,0.42338148469302805,3.610505653070216,0.2809938691801886,2.0027694191044065,0.1864835368305653,0.9333423651365212,0.22190091782958413,0.2600877192982456,0.04407313439652456,1.0,0.0,0.0,0.0,1.2141344999964507,0.12483605152666641,30
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current forecast before Y_n,current_top_1pct,4.312260052455886,0.37640888831538927,3.1756978347828637,0.4135743861198437,-2.650840728696046,0.4199846601738872,0.7159318740849115,2.248030287623391e-15,0.3153846153846154,0.1275224974250446,2.741239941370883,0.03684729950654673,3.702643819405711,0.5866265707344012,6.023282673323804,0.5257607629168715,4.435754224299583,0.5776728220802628,2.8584911863941627,0.7523272688717947,0.6653846153846154,0.12940858677126763,1.0,0.0,0.0,0.0,2.81332135834994,0.40083257936764827,30
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current posterior after Y_n,overall,0.4950901375344149,0.030786699348591184,0.18265884023694917,0.00789086973434173,0.03628716720227895,0.011069730908693372,0.6582574279636646,0.0003831040758146119,0.9905104624816741,0.0015677969383560374,2.517482816048264,0.0033778707885071236,-0.056313384221807476,0.016506990072369335,0.7164966668067944,0.043178313042333966,0.2798892642510039,0.012074097475325875,0.15216602952402855,0.013770709962669946,0.008983073437291749,0.0015845852486237825,1.0,0.0,0.0,0.0,0.21058002406939208,0.003795129158083761,30
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current posterior after Y_n,above_camera_ceiling,2.5809953416180322,0.19777390447309384,1.4327062647636948,0.12760536298155342,-0.741387785534083,0.29014550852831567,0.6878383442569013,0.006196360265757558,0.7166666666666667,0.040257394539845136,2.630714386841282,0.028443531277871432,1.0547691215092194,0.4205399462293938,3.667539534556796,0.2820784044163771,2.0558718093008483,0.1835376799682054,0.9874429539542138,0.23177484094143863,0.2675438596491228,0.042507905426551744,1.0,0.0,0.0,0.0,1.2130434775245258,0.11791423845312787,30
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current posterior after Y_n,current_top_1pct,4.303514516121585,0.36853772819765346,3.159388036369825,0.39804644357079044,-2.634391914424778,0.41526409367019396,0.698927608871754,0.006856286906096226,0.3,0.11265561456202926,2.671091474153996,0.03985587287466606,3.7578573848193013,0.5999905246634752,6.107716283123082,0.5277149160985378,4.505877716527574,0.5787809425328575,2.942839095739106,0.7488214022013089,0.6692307692307692,0.12145818790808771,1.0,0.0,0.0,0.0,2.808041993973789,0.382468775701138,30
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current forecast before Y_n,overall,0.49192938006331327,0.031428645565909755,0.16088085102920904,0.007968126571783831,0.0564850412546722,0.011678647411661306,0.7218786835384432,0.003422010648897245,0.9930027988804478,0.001649418600604627,2.7609370188283084,0.013512120921816749,-0.08312197201458646,0.01576159444786052,0.5810156376026793,0.07212961736736978,0.21272435276257434,0.011409926145341993,0.08551806669584787,0.018902887565458715,0.0068372650939624155,0.0017200976676018237,1.0,0.0,0.0,0.0,0.2189763145957908,0.004059027012782099,30
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current forecast before Y_n,above_camera_ceiling,2.5848760785967273,0.20117246736854316,1.4338464635793673,0.13350950800909003,-0.7651468066302424,0.30311229978913257,0.8865786418709257,0.10176084769215307,0.780701754385965,0.05681358653630001,3.393363763059343,0.39435635097674276,0.9059799858533414,0.42387720698503084,2.9420365383229385,0.48043570834306054,1.6364913188123176,0.2601719118934062,0.7431660400384962,0.14361409983557388,0.21578947368421053,0.05849793015696173,1.0,0.0,0.0,0.0,1.194279038197904,0.1288381844637376,30
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current forecast before Y_n,current_top_1pct,4.312260052455886,0.37640888831538927,3.1756978347828637,0.4135743861198437,-2.650840728696046,0.4199846601738872,0.9182461113710381,0.13020746278564913,0.40512820512820513,0.16152372464461723,3.5173612072394165,0.5115336333062733,3.051844691972569,0.7487197136364327,4.906220527269715,0.870657624580772,3.625134705985426,0.7939803247999986,2.351393464491244,0.7207558324084163,0.5897435897435898,0.16698941748280952,1.0,0.0,0.0,0.0,2.7505578860381954,0.41508417014917315,30
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current posterior after Y_n,overall,0.49510663548743883,0.03192092013151151,0.18278301487941787,0.007998855522781536,0.03661687326378848,0.01170204807275108,0.6632746651513071,0.0025594384572762176,0.9924696787951486,0.001831043305535401,2.53654998760351,0.010346997108116616,-0.060851229635290986,0.016426850715340002,0.619326551445699,0.06277970938000887,0.26863458502127247,0.012206366166585885,0.15190051933934692,0.013789342174929612,0.0071837931494069035,0.0017491246434564534,1.0,0.0,0.0,0.0,0.20988940356442054,0.004038182117939764,30
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current posterior after Y_n,above_camera_ceiling,2.5826024643048617,0.201665223347193,1.4412608408870333,0.13350237938572848,-0.7355624218423592,0.30712239367334876,0.8317439645034433,0.07817376829441404,0.7706140350877193,0.05663993814485064,3.1736401340535725,0.297286453046628,0.8926639917597947,0.42644417132505874,3.04109751102079,0.42779589495354003,1.7197261927329244,0.23490274153031437,0.8248598605387661,0.1590351916183597,0.22412280701754386,0.05889291030828645,1.0,0.0,0.0,0.0,1.196554094248145,0.12164105593697334,30
