trajectory,family,run_index,role,threshold_K,camera_seed,previous_seed,forecast_seed,current_seed,previous_observation_count,same_previous_observation_set_hybrid_coherent,previous_data_used_in_current_likelihood,current_truth_used_for_inference,same_current_observations_all_models,same_current_seed_all_models,same_innovation_all_models,same_fixed_gamma_hybrid_coherent_oracle,crps_estimator,top_1pct_rule,current_top_1pct_pixels,hybrid_unsaturated_values_pinned,coherent_unsaturated_latent,coherent_full_spatial_draws,hybrid_previous_mean_sd_K,coherent_previous_mean_sd_K,hybrid_previous_n_saturated,hybrid_previous_saturated_fraction,hybrid_previous_clipped_hot_mae_K,hybrid_previous_posterior_hot_mae_K,coherent_previous_n_observations,coherent_previous_n_saturated,coherent_previous_saturated_fraction,coherent_previous_mean_posterior_sd_K,coherent_previous_unsaturated_posterior_sd_K,coherent_previous_saturated_posterior_sd_K,coherent_previous_posterior_hot_mae_K
DiagonalScanPath_1,Diagonal,1,evaluation,294.6560504149699,41,41,41,41,200,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.01838579580122515,2.810301030432398,85,0.03398640543782487,2.331933136134589,2.0635505257513413,200,85,0.03398640543782487,2.810301030432398,2.889907858565201,0.5475940096223617,2.0640387760439474
DiagonalScanPath_2,Diagonal,2,evaluation,294.7833581687172,10041,50041,80041,100041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.0123137458509963,2.8415755762688137,76,0.030387844862055178,2.5723192018558456,2.190519750972342,193,76,0.030387844862055178,2.8415755762688137,2.917912334876694,0.40583031805684094,2.187819910754646
DiagonalScanPath_3,Diagonal,3,evaluation,294.9015209525281,20041,100041,160041,200041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.020526525258870203,2.844893399485753,80,0.03198720511795282,2.5364864097536155,2.032651194332652,193,80,0.03198720511795282,2.844893399485753,2.917765566088601,0.6395994576670541,2.0338091103144897
DiagonalScanPath_4,Diagonal,4,evaluation,295.3585248883726,30041,150041,240041,300041,190,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.02297473444150412,2.868336581266361,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,190,74,0.02958816473410636,2.868336581266361,2.9321369931770067,0.7758555041429008,2.212329595092439
DiagonalScanPath_5,Diagonal,5,evaluation,295.50866552712534,40041,200041,320041,400041,197,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.021624245624173623,2.8464704454470557,83,0.03318672530987605,2.531485381547889,2.128748577688744,197,83,0.03318672530987605,2.8464704454470557,2.921738418866381,0.6537239427009216,2.1312231441699105
DiagonalScanPath_6,Diagonal,6,evaluation,295.76268867732483,50041,250041,400041,500041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.02946696700185665,2.878512002585163,79,0.03158736505397841,2.7201208277385236,2.283562412780356,193,79,0.03158736505397841,2.878512002585163,2.942031318472648,0.9311223433511254,2.2812891686452454
DiagonalScanPath_7,Diagonal,7,evaluation,295.92680693793324,60041,300041,480041,600041,194,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.01573355137314278,2.8551431861928793,80,0.03198720511795282,2.846539173110377,2.5218178195117296,194,80,0.03198720511795282,2.8551431861928793,2.9331172854032017,0.49545200884049406,2.518008063141122
DiagonalScanPath_8,Diagonal,8,development,296.12149833303096,70041,350041,560041,700041,191,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.02614485318087645,2.8773065354484046,77,0.03078768492602959,3.06156684424828,2.5942242004168845,191,77,0.03078768492602959,2.8773065354484046,2.941619466161312,0.852702067291431,2.5931387385594764
HorizontalScanPath_1,Horizontal,1,evaluation,294.63123831934564,80041,400041,640041,800041,198,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.020739329323223046,2.8357745082569537,81,0.032387045181927226,2.3362551184433964,2.072788496217603,198,81,0.032387045181927226,2.8357745082569537,2.90922371262722,0.6413661801576477,2.0736509031135864
HorizontalScanPath_2,Horizontal,2,evaluation,294.6301695664475,90041,450041,720041,900041,199,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.01872569303060204,2.8351943223347287,82,0.03278688524590164,2.3543719517122503,1.90653286655082,199,82,0.03278688524590164,2.8351943223347287,2.911951525653925,0.5708568244184329,1.9042057868083988
HorizontalScanPath_3,Horizontal,3,evaluation,294.64317213251667,100041,500041,800041,1000041,197,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.0134619486844342,2.820327197334836,80,0.03198720511795282,2.4498292697436965,2.108352308521746,197,80,0.03198720511795282,2.820327197334836,2.899611534737121,0.42098493669819803,2.1104620321820633
HorizontalScanPath_4,Horizontal,4,evaluation,294.825260500259,110041,550041,880041,1100041,206,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.018361121648884957,2.820579435535993,90,0.03598560575769692,2.149644136871292,1.8164370527120122,206,90,0.03598560575769692,2.820579435535993,2.9068327101121056,0.5099500466136775,1.8152018997539883
HorizontalScanPath_5,Horizontal,5,evaluation,295.0840552279015,120041,600041,960041,1200041,199,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.016200524909052747,2.823996185147805,83,0.03318672530987605,2.2837726459313594,1.981498903042539,199,83,0.03318672530987605,2.823996185147805,2.90406409734773,0.49141532129937826,1.9826113281667683
HorizontalScanPath_6,Horizontal,6,evaluation,295.31752139540873,130041,650041,1040041,1300041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.011644945880562432,2.845448037939517,78,0.031187524990004,2.42798065441825,2.0540222485962705,193,78,0.031187524990004,2.845448037939517,2.925034544891232,0.37316462327278954,2.051346870969091
HorizontalScanPath_7,Horizontal,7,evaluation,295.52522559779794,140041,700041,1120041,1400041,195,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.030607619269246725,2.86730879293547,81,0.032387045181927226,2.346534294838893,2.139312985186778,195,81,0.032387045181927226,2.86730879293547,2.9317050693390394,0.9433706584090827,2.138121591595946
HorizontalScanPath_8,Horizontal,8,evaluation,295.71434881764065,150041,750041,1200041,1500041,197,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.0217551050103862,2.851543699756021,83,0.03318672530987605,2.3328248105326024,1.984444912344575,197,83,0.03318672530987605,2.851543699756021,2.9269043770040444,0.6560964999280655,1.987673170310971
HorizontalScanPath_10,Horizontal,10,evaluation,296.06802208777685,160041,800041,1280041,1600041,188,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.025238768606131057,2.8629392850825757,73,0.029188324670131948,2.7154174495621515,2.1736624194621537,188,73,0.029188324670131948,2.8629392850825757,2.9230010419048895,0.8652687978965683,2.1722659361989742
HorizontalScanPath_11,Horizontal,11,evaluation,296.2091569703494,170041,850041,1360041,1700041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.016523630465916685,2.8555677347516455,78,0.031187524990004,2.6094915770781015,2.035023466430805,193,78,0.031187524990004,2.8555677347516455,2.93052346522836,0.5271352354557546,2.0347462922632884
HorizontalScanPath_12,Horizontal,12,evaluation,296.3525815864646,180041,900041,1440041,1800041,200,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.012526724652787383,2.845298430605014,86,0.03438624550179928,2.4265666660057685,2.09883200916295,200,86,0.03438624550179928,2.845298430605014,2.9335415103179967,0.3673096223857902,2.098172075765782
HorizontalScanPath_13,Horizontal,13,development,296.4959614680289,190041,950041,1520041,1900041,191,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.028133413920870255,2.885589527618371,77,0.03078768492602959,2.720531247724229,2.3781927259288977,191,77,0.03078768492602959,2.885589527618371,2.9483094666153358,0.9111332662074351,2.3761467265245058
SpiralScanPath_1,Spiral,1,evaluation,294.5644045668491,200041,1000041,1600041,2000041,186,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.01963784543996535,2.874311485758368,72,0.028788484606157537,2.657064232673197,2.085295254877664,186,72,0.028788484606157537,2.874311485758368,2.939365052104155,0.6796571433428513,2.085076470550968
SpiralScanPath_2,Spiral,2,evaluation,294.77953556616137,210041,1050041,1680041,2100041,203,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.01006483563799039,2.816121896120094,89,0.03558576569372251,2.154459598727737,2.011625074624826,203,89,0.03558576569372251,2.816121896120094,2.9095589221781024,0.283873504525532,2.009185082362897
SpiralScanPath_3,Spiral,3,evaluation,295.09034972544174,220041,1100041,1760041,2200041,195,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.009275549640348064,2.8164780724811993,81,0.032387045181927226,2.3269279645816527,2.17910508580971,195,81,0.032387045181927226,2.8164780724811993,2.9012575229826214,0.2835611562658923,2.17879259799693
SpiralScanPath_4,Spiral,4,evaluation,295.3171456785458,230041,1150041,1840041,2300041,194,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.019935884140449243,2.8177453701992943,80,0.03198720511795282,2.421583203054216,2.3340915269788938,194,80,0.03198720511795282,2.8177453701992943,2.8902334125776252,0.6240759877250511,2.33499842898177
SpiralScanPath_5,Spiral,5,evaluation,295.5160834229293,240041,1200041,1920041,2400041,198,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.027111791096520135,2.8406907531739547,84,0.03358656537385046,2.3160661582293405,1.9500492688862512,198,84,0.03358656537385046,2.8406907531739547,2.911571616048796,0.8011783059299998,1.9483277669115229
SpiralScanPath_6,Spiral,6,evaluation,295.69040467376334,250041,1250041,2000041,2500041,194,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.017647074413120308,2.8476074482591462,81,0.032387045181927226,2.401808793946929,2.0355564117669664,194,81,0.032387045181927226,2.8476074482591462,2.924738342971666,0.5432029395641269,2.035055286222217
SpiralScanPath_7,Spiral,7,evaluation,295.8140795498944,260041,1300041,2080041,2600041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.013020808954295764,2.837924164576012,79,0.03158736505397841,2.4968012424373893,2.1202911782120935,193,79,0.03158736505397841,2.837924164576012,2.9171049080622455,0.41038288959301483,2.1204731229085496
SpiralScanPath_8,Spiral,8,evaluation,295.9806504909343,270041,1350041,2160041,2700041,197,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.012234675175682313,2.821177495325212,83,0.03318672530987605,2.37643008716828,2.098610895750184,197,83,0.03318672530987605,2.821177495325212,2.9052951443529493,0.3706175513605039,2.099740622270181
SpiralScanPath_9,Spiral,9,evaluation,296.12811830237854,280041,1400041,2240041,2800041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.021808422919486443,2.8319765574463043,79,0.03158736505397841,2.4829704941696766,2.326264298063792,193,79,0.03158736505397841,2.8319765574463043,2.9019942491416786,0.6853582120514181,2.3245075232073837
SpiralScanPath_10,Spiral,10,evaluation,296.24464913741537,290041,1450041,2320041,2900041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.02408747287274616,2.844430538883015,78,0.031187524990004,2.4942509915903295,2.2925440864066675,193,78,0.031187524990004,2.844430538883015,2.9111099387938375,0.7730948211404175,2.291445335872667
SpiralScanPath_11,Spiral,11,evaluation,296.3525026623504,300041,1500041,2400041,3000041,192,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.015378161024910521,2.8309695696919834,77,0.03078768492602959,2.510525167157445,2.1382740331159407,192,77,0.03078768492602959,2.8309695696919834,2.9050087615742046,0.500177347321806,2.1383081165584867
SpiralScanPath_12,Spiral,12,evaluation,296.4285472031083,310041,1550041,2480041,3100041,193,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.016129874631878146,2.8378582879506355,79,0.03158736505397841,2.4554211855889654,2.092668154393517,193,79,0.03158736505397841,2.8378582879506355,2.913827982035209,0.5087620971552186,2.096536168834712
SpiralScanPath_13,Spiral,13,development,296.4901280292387,320041,1600041,2560041,3200041,190,True,False,False,True,True,True,True,unbiased_M_times_M_minus_1,truth >= empirical 99th percentile,26,True,True,True,0.026349702320990064,2.859755690620835,76,0.030387844862055178,2.575770072454711,2.309910217491491,190,76,0.030387844862055178,2.859755690620835,2.9222609913242623,0.8653431352812119,2.311736014377474
