trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.39800497235624055,0.48981967343957855,0.1580427723274737,0.06852362359689614,0.22091280634472946,4.2344525798938095,2.9689319121703956,-2.18462237505782,2.628021858403542,0.38461538461538464,2.7617013499674123,7.201884375955046,0.7159318740849088
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.40074009704771135,0.4931857567205522,0.17936134913331891,0.04515747356466033,0.21075509769012687,4.228619790980211,2.9557359825917198,-2.173661897843407,2.625478862087598,0.38461538461538464,2.649461304270867,7.178980968655139,0.6583953771263871
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.39800497235624055,0.48981967343957855,0.1580427723274737,0.06852362359689614,0.2205198760917149,4.2344525798938095,2.9689319121703956,-2.18462237505782,2.594685199147406,0.4230769230769231,3.292617452954298,7.201884375955046,0.7211434975124938
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n,0.4004184126327444,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.21067175063430674,4.212227552233456,2.93836909283615,-2.142042254361826,2.573050503951288,0.34615384615384615,3.0693884941367875,7.204528689729102,0.6629033345875804
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.3965322675801765,0.4880072343431168,0.15778978655441084,0.06800738955718691,0.22068849782889227,4.214478938369124,2.947811346424529,-2.231065399068399,2.607464368835425,0.38461538461538464,2.7617013499674123,6.4478997811673935,0.7159318740849088
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.3992935916228634,0.49140556083346804,0.17910836336025598,0.0446412395249511,0.21053194714622264,4.208799795724072,2.9346154168458507,-2.2201049218539834,2.6048647361608124,0.38461538461538464,2.649461304270867,6.4249963738674865,0.6583953771263871
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.3965322675801765,0.4880072343431168,0.15778978655441084,0.06800738955718691,0.2202959954442922,4.214478938369124,2.947811346424529,-2.231065399068399,2.574152034386842,0.4230769230769231,3.292617452954298,6.4478997811673935,0.7211434975124938
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.39894816112737364,0.49098044390215145,0.17946205646484775,0.045666727924788694,0.21045439924919315,4.192020602863528,2.9172485270902873,-2.1884852783724047,2.55283053703465,0.34615384615384615,3.0693884941367875,6.450544094941392,0.6629033345875804
DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.41484286548327315,0.5105418550346154,0.13909357635138125,0.04712187697396262,0.22583947859744302,4.2770263652698235,3.0231552024104555,-2.130273914993023,2.6821971890589444,0.38461538461538464,2.7617013499674123,7.171163170312525,0.7159318740849088
DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.4142997566559839,0.5098734578865846,0.14751709337836288,0.023725163304036716,0.21459219557225853,4.272776804247414,3.0122852540284666,-2.121692021245036,2.6820505136958195,0.38461538461538464,2.6494613042708712,7.147985908083399,0.6583953771263871
DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.41484286548327315,0.5105418550346154,0.13909357635138125,0.04712187697396262,0.6612088760820651,4.2770263652698235,3.0231552024104555,-2.130273914993023,2.6422465272130324,0.4230769230769231,3.3569329552247646,7.171163170312525,2.642889043922909
