representation,trajectory,family,run_index,n_observed_censored_pixels,n_latent_truth_above_ceiling,fraction_latent_truth_above_ceiling,false_saturation_fraction,fraction_posterior_mean_above_ceiling,mean_posterior_probability_above_ceiling,mean_true_exceedance_K,mean_predicted_exceedance_K,median_true_exceedance_K,median_predicted_exceedance_K,exceedance_recovery_fraction,calibration_slope,calibration_intercept_K,posterior_sd_slope_K_per_K,posterior_sd_intercept_K,pearson_correlation,spearman_correlation,posterior_sd_spearman_correlation,rmse_K,mae_K,bias_K,posterior_sd_K,coverage_95,interval_width_95_K,mean_abs_error_over_sd,median_abs_error_over_sd
hybrid saturated-only sampling,DiagonalScanPath_1,Diagonal,1,85,71,0.8352941176470589,0.16470588235294117,1.0,0.9701307189542482,2.7591022036826343,1.1735099404265301,1.4922877833078019,1.1233375106424432,0.42532311375063264,-0.008818203750845178,1.1978402658280096,-0.003666016339523847,0.5528294566166131,-0.09390889741033054,-0.03718980549966465,0.05261569416498994,5.255815847625786,2.0635505257513413,-1.1462588492604668,0.5409750034961591,0.47058823529411764,1.939798265573394,4.624053894832737,1.7887071845086842
coherent latent single-frame posterior,DiagonalScanPath_1,Diagonal,1,85,71,0.8352941176470589,0.16470588235294117,1.0,0.9673202614379086,2.7591022036826343,1.1743988608584164,1.4922877833078019,1.127361150957256,0.42564529117149785,-0.009224210157129384,1.1998493994301838,-0.00423165165128282,0.5606356349349864,-0.09775062853193153,-0.03571428571428571,-0.0030516431924882625,5.257312168068956,2.0640387760439474,-1.1472942394090364,0.5475940096223616,0.4588235294117647,1.9547497069230624,4.6762614351649034,1.7708814241119508
hybrid saturated-only sampling,DiagonalScanPath_2,Diagonal,2,76,68,0.8947368421052632,0.10526315789473684,1.0,0.9184210526315789,2.852126969542166,0.7389728423344262,0.9322958294942794,0.6690754685379261,0.259095352425018,-0.0005917861195880684,0.7406606914863039,-0.0032695060738052633,0.4235629238242191,-0.009299583976094289,0.16196511050883688,-0.06840477917318775,5.899475516107157,2.190519750972342,-1.833743075800164,0.4052194522588863,0.5657894736842105,1.4734513946683554,6.254303018375627,1.5285805378792192
coherent latent single-frame posterior,DiagonalScanPath_2,Diagonal,2,76,68,0.8947368421052632,0.10526315789473684,1.0,0.9195175438596493,2.852126969542166,0.7401407067924135,0.9322958294942794,0.668051093556187,0.25950482383721635,-0.0008655064483602495,0.7426092410760944,-0.0025894510427116103,0.4219446375271727,-0.013684484561037137,0.1574989502614803,-0.03366797724930335,5.900377497927223,2.187819910754646,-1.832865850305784,0.40583031805684094,0.5657894736842105,1.457905057366322,6.070619925176854,1.5389484092229773
hybrid saturated-only sampling,DiagonalScanPath_3,Diagonal,3,80,67,0.8375,0.1625,1.0,0.9684027777777778,3.006431460322558,1.1018201002155013,1.4855065999677208,1.054785634724169,0.3664876830743674,0.01897735531759988,1.0447659821549493,0.008893061909263011,0.6260902890509366,0.3206273435723622,0.46927129060579464,0.3074467236012452,5.71763711198393,2.032651194332652,-1.423273428934408,0.6417104958845642,0.7,2.399847534034625,2.9909334332574615,1.0602651060697936
coherent latent single-frame posterior,DiagonalScanPath_3,Diagonal,3,80,67,0.8375,0.1625,1.0,0.9669444444444444,3.006431460322558,1.1006843315544985,1.4855065999677208,1.0370377254827758,0.36610990341233557,0.019317665212747453,1.0426070951189164,0.008073255065974451,0.6260169031981583,0.327711388684771,0.4493973980365552,0.2724878282384868,5.715905434720573,2.0338091103144897,-1.4250326672268976,0.6395994576670542,0.7,2.404794128161714,3.053548953131194,1.0354440612433815
hybrid saturated-only sampling,DiagonalScanPath_4,Diagonal,4,74,69,0.9324324324324325,0.06756756756756757,1.0,0.9602102102102102,2.7638421105862716,1.3879425626441366,0.9118805979703666,1.3925999166653469,0.5021786726991158,0.04271280805623492,1.2698911050769262,0.025959870166480475,0.7227738178409557,0.3963537501095711,0.36364632809645603,0.45118743149433693,5.617706146977253,2.2136483751588187,-1.213666215481122,0.7764839302229877,0.7162162162162162,2.7441776581840274,2.3851776730992844,1.2692945886235552
coherent latent single-frame posterior,DiagonalScanPath_4,Diagonal,4,74,69,0.9324324324324325,0.06756756756756757,1.0,0.9610360360360359,2.7638421105862716,1.3856675564928047,0.9118805979703666,1.3919683874898965,0.5013555409642682,0.04206056644876338,1.2694187917466009,0.025908322035892776,0.7228605427670587,0.3929653052648274,0.3620387285348923,0.4533065400073073,5.621540603939668,2.212329595092439,-1.2156526386544113,0.7758555041429008,0.6756756756756757,2.7304989038456036,2.3989223454208655,1.2620685682481039
hybrid saturated-only sampling,DiagonalScanPath_5,Diagonal,5,83,72,0.8674698795180723,0.13253012048192772,1.0,0.9527443105756359,2.888512909196792,1.1092749085476936,1.0982304338360507,1.1425264474672758,0.3840297562859601,0.005581915181845396,1.093151474486892,-0.0011980622019959785,0.6677168102630087,0.08331988230865858,0.30899093189272625,0.2130362081162776,5.811349878907532,2.128748577688744,-1.4040052568637298,0.6515932325830356,0.6626506024096386,2.283189290747208,3.7402835534645966,1.1004401568076212
coherent latent single-frame posterior,DiagonalScanPath_5,Diagonal,5,83,72,0.8674698795180723,0.13253012048192772,1.0,0.9532797858099065,2.888512909196792,1.1111130373959028,1.0982304338360507,1.1511097434077726,0.3846661144764867,0.004851878862663182,1.0970983226672413,-0.0017466449245649533,0.6721172870587158,0.07279396305829122,0.29683580937680887,0.21744163611807837,5.814630282178311,2.1312231441699105,-1.4022409533416393,0.6537239427009216,0.6867469879518072,2.3049210108721288,3.7545603066570528,1.0968060841032612
