observation_seed,selected_lengthscale
0,1.3383486800604945
1,1.2621763905578742
2,1.2863528543169036
3,1.225178982883641
4,1.3554482216996568
5,1.3235603116304784
6,1.4012557821035903
7,1.1991192939308655
8,1.2029526533674666
9,1.3177532660734346
10,1.2352613943703383
11,1.4056212478457424
12,1.3776407780189501
13,1.2901459373768345
14,1.211938576721273
15,1.0677958339820794
16,1.1161990685978322
17,1.2826687534613066
18,1.2674777170406448
19,1.2026407773377894
20,1.3115546297394802
21,1.4131308819082227
22,1.1880180142826502
23,1.2191224479995224
24,1.2855955364424374
25,1.273284428848891
26,1.192458934088735
27,1.3547948167679966
28,1.1792231030985245
29,1.350394185308364
