method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd
exact clipped,0.22603731572002733,0.2900232640894218,1323.1498397771425,849.6091431914577,473.5406965856847,0.3578889422421296,0.250429799426934,838.5491503270256,14.879142934851274,809.3860301747171,867.712270479334,False,0.25,12,0.23636363636363636,840.05531621472,20.0,0.3,500.0
discard saturated,0.3428876401492142,0.4432957420715576,1323.1498397771425,939.8929376574673,383.25690211967515,0.28965495108568123,0.250429799426934,501.8896286345977,499.508741491185,-477.1475046881248,1480.9267619573202,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.3,500.0
censored Laplace,0.18649301430354398,0.23773977704420096,1323.1498397771425,984.3943058232406,338.7555339539018,0.2560220496349516,0.250429799426934,900.0575038461614,97.18536616545504,709.5741861618694,1090.5408215304533,False,0.25,12,0.23636363636363636,840.05531621472,20.0,0.3,500.0
censored sampled,0.05127408672734636,0.046449095310200895,1323.1498397771425,1258.2617611040246,64.88807867311789,0.04904061257646145,0.250429799426934,1253.8202429356506,254.04907374724786,883.3358670587336,1851.6359068873705,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.3,500.0
oracle true,0.00013716850701325808,0.00017446030147881338,1323.1498397771425,1322.8902813307345,0.25955844640793657,0.00019616708448655663,0.250429799426934,1322.8902813307345,14.879142934851274,1293.727161178426,1352.053401483043,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.3,500.0
exact clipped,0.2239131437231346,0.2898742729063277,1323.1498397771425,848.3694126847184,474.780427092424,0.3588258962207871,0.250429799426934,842.8339439421355,11.7058381688844,819.8905011311222,865.7773867531489,False,0.25,12,0.23636363636363636,840.05531621472,20.0,0.5,500.0
discard saturated,0.18674078984764803,0.24130845269899262,1323.1498397771425,988.5896787223118,334.5601610548307,0.2528513030022212,0.250429799426934,879.5308239950274,409.0528581773411,77.78722196743888,1681.274426022616,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.5,500.0
censored Laplace,0.16642326729472168,0.21470350016071868,1323.1498397771425,1008.1035795322844,315.0462602448581,0.2381032372704827,0.250429799426934,927.8523387044825,209.00703605509193,518.1985480365023,1337.5061293724625,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.5,500.0
censored sampled,0.03842266707227613,0.043261931624017376,1323.1498397771425,1281.3415522360833,41.808287541059144,0.03159754570812698,0.250429799426934,1268.4075012250578,260.71687726824393,886.0869644445426,1855.942493484401,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.5,500.0
oracle true,9.351714649864964e-05,0.0001210496635893624,1323.1498397771425,1322.948846061678,0.20099371546439215,0.00015190548297859102,0.250429799426934,1322.948846061678,11.7058381688844,1300.0054032506646,1345.8922888726916,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.5,500.0
exact clipped,0.2230391317837419,0.28927803421711473,1323.1498397771425,854.7283974350925,468.42144234205,0.3540199516790525,0.250429799426934,829.697597520992,9.38488178275874,811.3032292267849,848.091965815199,False,0.25,12,0.23636363636363636,840.05531621472,20.0,0.8,500.0
discard saturated,0.05947810470204903,0.07558614048596231,1323.1498397771425,1196.4617302879637,126.68810948917871,0.09574736411600725,0.250429799426934,1196.1069820034322,143.80707989180598,914.2451054154925,1477.9688585913718,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.8,500.0
