method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd,scenario
exact clipped,0.22388215494744476,0.28986198508465627,1323.1498397771425,847.4892015279114,475.66063824923106,0.35949113543281414,0.250429799426934,840.7994171040485,11.192394826987393,818.8623232431532,862.7365109649438,False,0.25,0,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.21410131257979342,0.2771265934336948,1323.1498397771425,902.3642359531726,420.78560382396984,0.3180181043553182,0.250429799426934,819.0673683294817,357.3852487208557,118.59228083660457,1519.542455822359,True,0.25,0,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.17947609641190065,0.2318580599904783,1323.1498397771425,940.3084964647992,382.84134331234327,0.28934088324934165,0.250429799426934,902.0811629037903,129.0890887821322,649.0665488908112,1155.0957769167694,False,0.25,0,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.07382434710420915,0.09155311374331246,1323.1498397771425,1167.6604769841256,155.48936279301688,0.11751455361941916,0.250429799426934,1166.6593097772202,212.03344905794913,885.1873505122342,1699.5538156344771,True,0.25,0,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,0,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.21968868318769713,0.2825062957353946,1323.1498397771425,866.1225105122725,457.02732926487,0.3454085966120412,0.250429799426934,865.9578500591018,7.406140471574415,851.4418147348159,880.4738853833877,False,0.25,0,0.23636363636363636,840.05531621472,20.0,1.3383486800604945,500.0,unsat_mll_tuned
discard saturated,0.09395826113074252,0.11947921884356559,1323.1498397771425,1121.792926719167,201.35691305797536,0.1521799776598921,0.250429799426934,1121.563095949608,36.525636688070655,1049.9728480409894,1193.1533438582264,False,0.25,0,0.23636363636363636,840.05531621472,20.0,1.3383486800604945,500.0,unsat_mll_tuned
censored Laplace,0.0930175132188443,0.11823312978435538,1323.1498397771425,1123.6573234579346,199.49251631920788,0.15077091824521424,0.250429799426934,1123.4454395036723,35.343772600294,1054.1716452070962,1192.7192338002485,False,0.25,0,0.23636363636363636,840.05531621472,20.0,1.3383486800604945,500.0,unsat_mll_tuned
censored sampled,0.0922212162720945,0.11718655309371971,1323.1498397771425,1125.3635236387563,197.78631613838616,0.14948141940726775,0.250429799426934,1125.1192545028887,34.875566575469975,1061.185451508907,1195.0684723574177,False,0.25,0,0.23636363636363636,840.05531621472,20.0,1.3383486800604945,500.0,unsat_mll_tuned
oracle true,0.014329495739665384,0.012360120204229936,1323.1498397771425,1302.3613066639887,20.78853311315379,0.015711397521429013,0.250429799426934,1302.3613066639887,7.406140471574415,1287.8452713397028,1316.8773419882746,False,0.25,0,0.23636363636363636,840.05531621472,20.0,1.3383486800604945,500.0,unsat_mll_tuned
exact clipped,0.223383180180144,0.28980087582647973,1323.1498397771425,849.953988192697,473.19585158444545,0.3576283179417878,0.250429799426934,840.4216240843479,11.192394826987393,818.4845302234526,862.3587179452431,False,0.25,1,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.19149175322671827,0.24829514098888603,1323.1498397771425,947.3640872501077,375.7857525270348,0.2840084631611551,0.250429799426934,875.7220799517435,392.3853554085726,106.64678335094118,1644.7973765525458,True,0.25,1,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.11851668023095871,0.15297317882600528,1323.1498397771425,1061.7406104034512,261.40922937369123,0.19756585498866877,0.250429799426934,1033.9934590190358,346.16016010241555,355.51954521830135,1712.4673728197702,True,0.25,1,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.03145038477971134,0.03579238470841862,1323.1498397771425,1276.461333751296,46.688506025846436,0.0352858796655337,0.250429799426934,1271.4479566306206,245.93110228596322,907.6372363376378,1808.159656738404,True,0.25,1,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,1,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.21923481402044062,0.2836459840185288,1323.1498397771425,864.2817795540471,458.8680602230953,0.34679977008528545,0.250429799426934,864.2501641069806,7.603406994699576,849.3474863973695,879.1528418165917,False,0.25,1,0.2545454545454545,840.05531621472,20.0,1.2621763905578742,500.0,unsat_mll_tuned
discard saturated,0.0892118562181318,0.11524861407902424,1323.1498397771425,1133.5972645349998,189.55257524214267,0.14325858609790476,0.250429799426934,1133.5972645349998,48.97760008673286,1037.6011683650033,1229.5933607049963,False,0.25,1,0.2545454545454545,840.05531621472,20.0,1.2621763905578742,500.0,unsat_mll_tuned
