method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,tuning_strategy,tuning_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
exact clipped,0.12237518972301557,0.2982762085098738,1520.195695818044,1057.2970207613967,462.89867505664733,0.6034482758620694,0.12068965517241415,832.5074012737626,39.20841233647386,755.6589130942739,909.3558894532514,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,0,path_aligned,1.1,0.2
discard saturated,0.0749949876945177,0.1354369557944619,1520.195695818044,1371.3403886127358,148.85530720530824,0.6034482758620694,0.12068965517241415,1371.3403886127358,318.8048747137809,746.4828341737251,1996.1979430517463,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,0,path_aligned,1.1,0.2
censored Laplace,0.096734538287026,0.19987940134660562,1520.195695818044,1278.7519903179543,241.44370550008966,0.6034482758620694,0.12068965517241415,1268.1167674983908,283.61325418564115,712.2347892945342,1823.9987457022476,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,0,path_aligned,1.1,0.2
censored sampled,0.10384801203327708,0.20771177801232135,1520.195695818044,1504.6846024318818,15.511093386162202,0.6034482758620694,0.12068965517241415,1504.6846024318818,219.0946072206409,1132.9345620530796,1990.6058926922783,True,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,0,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,0,path_aligned,1.1,0.2
exact clipped,0.10920586233557736,0.28261778703958923,1520.195695818044,863.6256780430689,656.5700177749751,0.6034482758620694,0.12068965517241415,863.6256780430689,12.66706243368589,838.7982356730446,888.4531204130932,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,0,path_aligned,2.1,0.45
discard saturated,0.09949897967489166,0.25445029359540566,1520.195695818044,934.2774452935831,585.9182505244609,0.6034482758620694,0.12068965517241415,934.2774452935831,34.75969288875076,866.1484472316316,1002.4064433555346,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,0,path_aligned,2.1,0.45
censored Laplace,0.08624591328059107,0.21312018753365414,1520.195695818044,1001.2157964244616,518.9798993935824,0.6034482758620694,0.12068965517241415,999.6999831810429,27.727842610378033,945.3534116647019,1054.0465546973837,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,0,path_aligned,2.1,0.45
censored sampled,0.08798168346535717,0.2188628994954804,1520.195695818044,987.912051554065,532.283644263979,0.6034482758620694,0.12068965517241415,986.8719249803593,22.361293247701823,942.472468502445,1028.4150833053714,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,0,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,0,path_aligned,2.1,0.45
