trajectory,method,lengthscale_m,unsaturated_nll,selected
DiagonalScanPath_8,RBF source-scale,0.00025,640.2888734951925,True
DiagonalScanPath_8,diffusion source-scale,0.00025,612.1656051806208,True
DiagonalScanPath_8,RBF unsat-tuned,0.0002,640.4111685649252,False
DiagonalScanPath_8,RBF unsat-tuned,0.0003,639.5595239026513,False
DiagonalScanPath_8,RBF unsat-tuned,0.00045,621.5631272486792,False
DiagonalScanPath_8,RBF unsat-tuned,0.00065,540.2795250528908,False
DiagonalScanPath_8,RBF unsat-tuned,0.0009,403.4463100334648,False
DiagonalScanPath_8,RBF unsat-tuned,0.0013,273.84476434263854,False
DiagonalScanPath_8,RBF unsat-tuned,0.0018,200.9822103505685,False
DiagonalScanPath_8,RBF unsat-tuned,0.0025,156.88110855310254,False
DiagonalScanPath_8,RBF unsat-tuned,0.0035,139.6213071307248,True
DiagonalScanPath_8,RBF unsat-tuned,0.005,162.89122377536887,False
DiagonalScanPath_8,RBF unsat-tuned,0.007,223.01874710321175,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0002,613.5785436236165,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0003,610.1090258141703,False
DiagonalScanPath_8,diffusion unsat-tuned,0.00045,590.0555410455286,False
DiagonalScanPath_8,diffusion unsat-tuned,0.00065,513.5327362671173,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0009,387.29941243008466,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0013,266.30683582566616,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0018,198.19554531223633,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0025,155.23677006426266,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0035,140.43093865234178,True
DiagonalScanPath_8,diffusion unsat-tuned,0.005,166.52081723894685,False
DiagonalScanPath_8,diffusion unsat-tuned,0.007,229.1961121500412,False
HorizontalScanPath_13,RBF source-scale,0.00025,640.8084026184083,True
HorizontalScanPath_13,diffusion source-scale,0.00025,601.0465446723825,True
HorizontalScanPath_13,RBF unsat-tuned,0.0002,640.9970018377298,False
HorizontalScanPath_13,RBF unsat-tuned,0.0003,639.8813643892117,False
HorizontalScanPath_13,RBF unsat-tuned,0.00045,620.83704906198,False
HorizontalScanPath_13,RBF unsat-tuned,0.00065,537.2369473958877,False
HorizontalScanPath_13,RBF unsat-tuned,0.0009,392.24764944782055,False
HorizontalScanPath_13,RBF unsat-tuned,0.0013,248.73303898723105,False
HorizontalScanPath_13,RBF unsat-tuned,0.0018,180.46546048291725,False
HorizontalScanPath_13,RBF unsat-tuned,0.0025,152.37999264964168,False
HorizontalScanPath_13,RBF unsat-tuned,0.0035,147.17899152623446,True
HorizontalScanPath_13,RBF unsat-tuned,0.005,194.6101195147117,False
HorizontalScanPath_13,RBF unsat-tuned,0.007,292.92181173386115,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0002,602.6850045653048,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0003,598.7329806960652,False
HorizontalScanPath_13,diffusion unsat-tuned,0.00045,578.0905784146914,False
HorizontalScanPath_13,diffusion unsat-tuned,0.00065,501.1426965986518,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0009,372.0166520831522,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0013,241.2204336762739,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0018,179.40509338563123,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0025,149.62585768377915,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0035,148.23705724494937,True
HorizontalScanPath_13,diffusion unsat-tuned,0.005,200.58920046409463,False
HorizontalScanPath_13,diffusion unsat-tuned,0.007,302.1639035061064,False
SpiralScanPath_13,RBF source-scale,0.00025,619.4148390604539,True
SpiralScanPath_13,diffusion source-scale,0.00025,597.649206808599,True
SpiralScanPath_13,RBF unsat-tuned,0.0002,619.7445483190195,False
SpiralScanPath_13,RBF unsat-tuned,0.0003,618.087817353693,False
SpiralScanPath_13,RBF unsat-tuned,0.00045,597.8122894732326,False
SpiralScanPath_13,RBF unsat-tuned,0.00065,516.5405496525289,False
SpiralScanPath_13,RBF unsat-tuned,0.0009,390.23296808802843,False
SpiralScanPath_13,RBF unsat-tuned,0.0013,293.0823065987174,False
SpiralScanPath_13,RBF unsat-tuned,0.0018,248.9229906975998,False
SpiralScanPath_13,RBF unsat-tuned,0.0025,253.3986841354764,False
SpiralScanPath_13,RBF unsat-tuned,0.0035,243.9318755486167,True
SpiralScanPath_13,RBF unsat-tuned,0.005,306.04784215450144,False
SpiralScanPath_13,RBF unsat-tuned,0.007,507.8379943771406,False
SpiralScanPath_13,diffusion unsat-tuned,0.0002,598.4103901058127,False
SpiralScanPath_13,diffusion unsat-tuned,0.0003,596.2945302360736,False
SpiralScanPath_13,diffusion unsat-tuned,0.00045,577.2913451093389,False
SpiralScanPath_13,diffusion unsat-tuned,0.00065,500.18649453934876,False
SpiralScanPath_13,diffusion unsat-tuned,0.0009,380.89677147957866,False
SpiralScanPath_13,diffusion unsat-tuned,0.0013,285.0627241916451,False
SpiralScanPath_13,diffusion unsat-tuned,0.0018,263.2825980846058,False
SpiralScanPath_13,diffusion unsat-tuned,0.0025,243.76795284182148,False
SpiralScanPath_13,diffusion unsat-tuned,0.0035,224.5451764371187,True
SpiralScanPath_13,diffusion unsat-tuned,0.005,311.93232749432553,False
SpiralScanPath_13,diffusion unsat-tuned,0.007,529.6308950240541,False
