trajectory,method,lengthscale_m,learned_diffusivity_m2_s,signal_sd_K,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K
DiagonalScanPath_8,RBF source-scale,0.00025,3.8242510579875e-06,3.716638242253305,710,79,296.12149833303096,0.6837369428085813,0.7076332421548541,336.214847986714,300.73171251435923,35.483135472354775,2.00098500545903,False,0.9764094362255098,0.8552631578947368,0.5182744846269952,2.3131411938875517
DiagonalScanPath_8,diffusion source-scale,0.00025,3.8242510579875e-06,3.716638242253305,710,79,296.12149833303096,0.6595962984957429,0.6835545369110085,336.214847986714,301.608284229686,34.60656375702803,1.9094003282680783,False,0.9644142343062775,0.631578947368421,0.46725996880821064,2.2387153831309194
DiagonalScanPath_8,RBF unsat-tuned,0.0025,3.8242510579875e-06,3.716638242253305,710,79,296.12149833303096,0.7638228211457984,0.8076623008004593,336.214847986714,297.02388352017766,39.19096446653634,0.052592941784742,False,0.7724910035985606,0.07894736842105263,0.17509406593823984,2.992768373929623
DiagonalScanPath_8,diffusion unsat-tuned,0.0025,3.8242510579875e-06,3.716638242253305,710,79,296.12149833303096,0.7630021621269291,0.8070107621270581,336.214847986714,297.0287694383474,39.186078548366595,0.055898759546175264,False,0.7720911635345862,0.09210526315789473,0.17310173088050818,2.9733029354654166
HorizontalScanPath_13,RBF source-scale,0.00025,4.0254351934622146e-06,3.586844117636855,709,74,296.4959614680289,0.4687253464406107,0.48288692701329733,319.1296936365724,300.54377025167815,18.585923384894272,1.8051085478530327,False,0.9816073570571772,0.9210526315789473,0.47233678071618007,1.3187946698729582
HorizontalScanPath_13,diffusion source-scale,0.00025,4.0254351934622146e-06,3.586844117636855,709,74,296.4959614680289,0.46072381017375863,0.479527569973809,319.1296936365724,300.9497603862828,18.17993325028965,1.8071457601859415,False,0.9732107157137145,0.8157894736842105,0.42143876779715717,1.2226926647222671
HorizontalScanPath_13,RBF unsat-tuned,0.0025,4.0254351934622146e-06,3.586844117636855,709,74,296.4959614680289,0.5981280515511194,0.6562466558539609,319.1296936365724,297.09522116254936,22.03447247402306,0.052321838683070644,False,0.7425029988004798,0.05263157894736842,0.17431428631213744,2.432484057032137
HorizontalScanPath_13,diffusion unsat-tuned,0.0025,4.0254351934622146e-06,3.586844117636855,709,74,296.4959614680289,0.595599954763527,0.6541659988788152,319.1296936365724,297.1387498628363,21.99094377373615,0.05352392707095536,False,0.7309076369452219,0.05263157894736842,0.17290762899937615,2.424893110207992
SpiralScanPath_13,RBF source-scale,0.00025,3.4097288631486034e-06,3.3007192648952466,707,78,296.4901280292387,0.5833328580397705,0.651912799987215,335.7083806056465,299.3067307015595,36.40164990408698,2.0850807496149306,False,0.9792083166733306,0.8552631578947368,0.4543879918556289,1.7221211648244708
SpiralScanPath_13,diffusion source-scale,0.00025,3.4097288631486034e-06,3.3007192648952466,707,78,296.4901280292387,0.5962519806667049,0.6676133317625904,335.7083806056465,299.1160082844084,36.59237232123809,1.70218184550288,False,0.9676129548180727,0.7368421052631579,0.43351690196186243,1.8151389882205506
SpiralScanPath_13,RBF unsat-tuned,0.0018,3.4097288631486034e-06,3.3007192648952466,707,78,296.4901280292387,0.650546875325562,0.7457945351394947,335.7083806056465,296.86294668553995,38.84543392010653,0.06728242256022582,False,0.7812874850059977,0.11842105263157894,0.17102291144909926,2.5644155366602526
SpiralScanPath_13,diffusion unsat-tuned,0.0035,3.4097288631486034e-06,3.3007192648952466,707,78,296.4901280292387,0.6879739009535794,0.7717389280264054,335.7083806056465,297.07434156664164,38.63403903900485,0.043880218734666875,False,0.5157936825269892,0.02631578947368421,0.2407714292102639,2.9295682252344797
