trajectory,method,lengthscale_m,unsaturated_nll,selected
DiagonalScanPath_8,RBF source-scale,0.00025,1405.0100506888468,True
DiagonalScanPath_8,diffusion source-scale,0.00025,1293.2936017096379,True
DiagonalScanPath_8,RBF unsat-tuned,0.0002,1416.3986676275,False
DiagonalScanPath_8,RBF unsat-tuned,0.0003,1374.9447495565473,False
DiagonalScanPath_8,RBF unsat-tuned,0.00045,1156.1483391434576,False
DiagonalScanPath_8,RBF unsat-tuned,0.00065,787.3594677230966,False
DiagonalScanPath_8,RBF unsat-tuned,0.0009,534.9024710842186,False
DiagonalScanPath_8,RBF unsat-tuned,0.0013,346.5377990093516,False
DiagonalScanPath_8,RBF unsat-tuned,0.0018,248.87882475552055,False
DiagonalScanPath_8,RBF unsat-tuned,0.0025,202.8494945975135,True
DiagonalScanPath_8,RBF unsat-tuned,0.0035,205.38244806796808,False
DiagonalScanPath_8,RBF unsat-tuned,0.005,287.2907705867525,False
DiagonalScanPath_8,RBF unsat-tuned,0.007,470.9716538006162,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0002,1305.37471453027,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0003,1265.1963190196973,False
DiagonalScanPath_8,diffusion unsat-tuned,0.00045,1069.3757835247436,False
DiagonalScanPath_8,diffusion unsat-tuned,0.00065,739.6817904165559,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0009,510.5586070796235,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0013,336.528028537543,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0018,244.31794579639416,False
DiagonalScanPath_8,diffusion unsat-tuned,0.0025,199.72345098815924,True
DiagonalScanPath_8,diffusion unsat-tuned,0.0035,208.18660327077237,False
DiagonalScanPath_8,diffusion unsat-tuned,0.005,295.0101578011622,False
DiagonalScanPath_8,diffusion unsat-tuned,0.007,485.85451418380705,False
HorizontalScanPath_13,RBF source-scale,0.00025,1393.6492376549502,True
HorizontalScanPath_13,diffusion source-scale,0.00025,1269.6621961378062,True
HorizontalScanPath_13,RBF unsat-tuned,0.0002,1405.6477612828178,False
HorizontalScanPath_13,RBF unsat-tuned,0.0003,1363.007607768419,False
HorizontalScanPath_13,RBF unsat-tuned,0.00045,1143.415733348078,False
HorizontalScanPath_13,RBF unsat-tuned,0.00065,774.1673338600066,False
HorizontalScanPath_13,RBF unsat-tuned,0.0009,525.2635520944526,False
HorizontalScanPath_13,RBF unsat-tuned,0.0013,347.8992277608497,False
HorizontalScanPath_13,RBF unsat-tuned,0.0018,273.6600877390807,False
HorizontalScanPath_13,RBF unsat-tuned,0.0025,264.35935664496253,True
HorizontalScanPath_13,RBF unsat-tuned,0.0035,291.1873697625051,False
HorizontalScanPath_13,RBF unsat-tuned,0.005,421.9707365551652,False
HorizontalScanPath_13,RBF unsat-tuned,0.007,644.5205934595025,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0002,1281.405118108927,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0003,1242.1292141047152,False
HorizontalScanPath_13,diffusion unsat-tuned,0.00045,1048.9935448438387,False
HorizontalScanPath_13,diffusion unsat-tuned,0.00065,721.89397741663,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0009,500.23287922924374,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0013,338.9880078824561,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0018,270.6504383377268,False
HorizontalScanPath_13,diffusion unsat-tuned,0.0025,258.79208924033645,True
HorizontalScanPath_13,diffusion unsat-tuned,0.0035,295.0744703397296,False
HorizontalScanPath_13,diffusion unsat-tuned,0.005,435.5938186086545,False
HorizontalScanPath_13,diffusion unsat-tuned,0.007,664.2804570795716,False
SpiralScanPath_13,RBF source-scale,0.00025,1334.0871946932928,True
SpiralScanPath_13,diffusion source-scale,0.00025,1276.2929265396574,True
SpiralScanPath_13,RBF unsat-tuned,0.0002,1347.1579970879243,False
SpiralScanPath_13,RBF unsat-tuned,0.0003,1302.957193445768,False
SpiralScanPath_13,RBF unsat-tuned,0.00045,1086.7733994159355,False
SpiralScanPath_13,RBF unsat-tuned,0.00065,729.8152378020984,False
SpiralScanPath_13,RBF unsat-tuned,0.0009,493.61436244186245,False
SpiralScanPath_13,RBF unsat-tuned,0.0013,332.992482734561,False
SpiralScanPath_13,RBF unsat-tuned,0.0018,282.52119718322666,True
SpiralScanPath_13,RBF unsat-tuned,0.0025,326.26452552029383,False
SpiralScanPath_13,RBF unsat-tuned,0.0035,335.25003795217833,False
SpiralScanPath_13,RBF unsat-tuned,0.005,443.8747263180031,False
SpiralScanPath_13,RBF unsat-tuned,0.007,819.7754909104094,False
SpiralScanPath_13,diffusion unsat-tuned,0.0002,1287.84608875198,False
SpiralScanPath_13,diffusion unsat-tuned,0.0003,1247.2602471243752,False
SpiralScanPath_13,diffusion unsat-tuned,0.00045,1042.6852768448475,False
SpiralScanPath_13,diffusion unsat-tuned,0.00065,708.1912512780593,False
SpiralScanPath_13,diffusion unsat-tuned,0.0009,487.21369875904264,False
SpiralScanPath_13,diffusion unsat-tuned,0.0013,332.25324195932603,False
SpiralScanPath_13,diffusion unsat-tuned,0.0018,311.8254975613835,False
SpiralScanPath_13,diffusion unsat-tuned,0.0025,311.4144296952655,False
SpiralScanPath_13,diffusion unsat-tuned,0.0035,291.76477100592984,True
SpiralScanPath_13,diffusion unsat-tuned,0.005,455.01226599605866,False
SpiralScanPath_13,diffusion unsat-tuned,0.007,869.6698141683378,False
