trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,family,fraction_saturated
DiagonalScanPath_8,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.17022272061337845,1,185,70,296.12149833303096,0.7113766359523253,0.7171134551060293,336.214847986714,301.4003792938536,34.81446869286043,1.0685377796208275,False,0.9896041583366654,0.6842105263157895,0.771403147292108,2.303382846371651,11.170212236181747,4.6886972722228695,57.761098451903834,1.0,False,0.6842105263157895,4.6886972722228695,57.761098451903834,Diagonal,0.03
DiagonalScanPath_8,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.7311087699503656,0.7615992485673025,336.214847986714,297.8431741418497,38.37167384486429,0.4770957467782976,False,0.9876049580167933,0.5921052631578947,0.7585306243726767,2.4481611788006328,11.017939448816541,2.34611059470693,80.6889911510164,1.0,False,0.5921052631578947,2.34611059470693,80.6889911510164,Diagonal,0.03
DiagonalScanPath_8,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.17022272061337845,1,185,70,296.12149833303096,0.3938585620805364,0.3826074548362268,336.214847986714,343.688756595201,7.473908608487022,2.615373620624521,False,0.989204318272691,0.6710526315789473,0.7495061881519816,1.8261250309574406,11.23770514867321,5.429829734429249,31.955877174675198,1.0,False,0.6710526315789473,5.429829734429249,31.955877174675198,Diagonal,0.03
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3748604851007414,0.38643174224084587,336.214847986714,341.60274075366385,5.387892766949847,0.683630946107455,False,0.989204318272691,0.6710526315789473,0.7273454739662878,1.5582046695516563,11.012195103414287,2.7847375289438,43.82065851607245,1.0,False,0.6710526315789473,2.7847375289438,43.82065851607245,Diagonal,0.03
HorizontalScanPath_13,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.17022272061337845,1,189,75,296.4959614680289,0.5282426930402752,0.481281650661626,319.1296936365724,302.5953298819073,16.53436375466515,1.2143871808769358,False,0.9920031987205118,0.75,0.7504526471727585,1.4752529827070502,11.170800792497785,4.644291798516857,26.0706199467269,1.0,False,0.75,4.644291798516857,26.0706199467269,Horizontal,0.03
HorizontalScanPath_13,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.5433887797092188,0.5473847890379675,319.1296936365724,299.350896426639,19.77879720993343,0.6572250055592957,False,0.9860055977608957,0.5526315789473685,0.73536462190095,1.5874173028755385,11.020935734427736,2.863954720034146,39.24370438453398,1.0,False,0.5526315789473685,2.863954720034146,39.24370438453398,Horizontal,0.03
HorizontalScanPath_13,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.17022272061337845,1,189,75,296.4959614680289,0.39720942783258106,0.40961724061095794,319.1296936365724,306.11737168425077,13.012321952321656,1.68474271453156,False,0.995201919232307,0.8552631578947368,0.7313439165061194,1.3348294329590755,11.241430731388869,6.208559895855142,16.57487553584153,1.0,False,0.8552631578947368,6.208559895855142,16.57487553584153,Horizontal,0.03
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.38966748697748277,0.4246392826232369,319.1296936365724,306.58816782247595,12.541525814096474,0.5590731104587788,False,0.9880047980807677,0.618421052631579,0.7193630704734821,1.3516971382866774,10.999485014849066,2.710644034288195,34.05305147020523,1.0,False,0.618421052631579,2.710644034288195,34.05305147020523,Horizontal,0.03
SpiralScanPath_13,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.17022272061337845,1,193,80,296.4901280292387,0.6879510007872639,0.7024458298382098,335.7083806056465,303.0114618738937,32.69691873175276,0.8371389451190482,False,0.9812075169932027,0.5,0.7914277768893998,2.462924856391296,11.112547949203785,4.550378628505203,59.050788344457345,1.0,False,0.5,4.550378628505203,59.050788344457345,Spiral,0.03
SpiralScanPath_13,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.6391361087932108,0.709092361723491,335.7083806056465,297.87693097873154,37.831449626914946,0.4628150538481353,False,0.9896041583366654,0.6578947368421053,0.7416987996194512,2.03943417926976,10.880984635676139,2.1488010428292537,66.309759495067,1.0,False,0.6578947368421053,2.1488010428292537,66.309759495067,Spiral,0.03
SpiralScanPath_13,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.17022272061337845,1,193,80,296.4901280292387,0.3139382073126582,0.3040493505041237,335.7083806056465,336.8739447653845,1.1655641597380395,1.4773390035162803,True,0.9920031987205118,0.7631578947368421,0.727277291963787,1.2421549629560875,11.09848109879986,4.5002148386168495,21.230446585477257,1.0,True,0.7631578947368421,4.5002148386168495,21.230446585477257,Spiral,0.03
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.3166715986606484,0.3079618391572437,335.7083806056465,335.4385112938851,0.26986931176139706,0.7490218965104694,True,0.9880047980807677,0.6973684210526315,0.7219126539012959,1.3030841393491968,10.90518071372338,3.0618502173502757,28.371592094969024,1.0,True,0.6973684210526315,3.0618502173502757,28.371592094969024,Spiral,0.03
