fraction_saturated,trajectory,source_coupling,n_source_samples
0.01,DiagonalScanPath_8,0.1576595047349801,2880
0.01,HorizontalScanPath_13,0.15463188045646153,3507
0.01,SpiralScanPath_13,0.15922556188155407,4780
0.03,DiagonalScanPath_8,0.17022272061337845,2880
0.03,HorizontalScanPath_13,0.16874008165342513,3507
0.03,SpiralScanPath_13,0.17084545869257492,4780
0.05,DiagonalScanPath_8,0.1753563736322049,2880
0.05,HorizontalScanPath_13,0.1747785923051746,3507
0.05,SpiralScanPath_13,0.1741305243742619,4780
0.1,DiagonalScanPath_8,0.18244700016629686,2880
0.1,HorizontalScanPath_13,0.18329022536598324,3507
0.1,SpiralScanPath_13,0.17825869179308365,4780
