setting,hot_region_crps_K,hot_region_95_coverage,hot_region_interval_score_K,excess_field_rel_l2,peak_absolute_error_K,coverage_error,selected
base,1.5559093311713255,0.543859649122807,49.42394158665481,0.3615845642099608,6.526192550512064,0.4061403508771929,False
signal x0.75,1.647506944705891,0.44298245614035087,54.86372789160648,0.3677846445323112,6.692355830439283,0.5070175438596491,False
signal x1.5,1.6621049866701103,0.4254385964912281,55.227748928146106,0.3637331846260739,6.576644102284281,0.5245614035087718,False
signal x2,1.6216874519481113,0.4780701754385965,52.5569470167479,0.3647641894566531,6.881341442702042,0.4719298245614035,False
noise x0.5,1.8257881873831856,0.2587719298245614,66.52278930153932,0.3769545666698755,6.6819002671611925,0.6912280701754385,False
noise x2,1.4836595634845757,0.6008771929824562,42.65103188982935,0.3612147827858539,6.3597765808953,0.3491228070175437,False
noise x3,1.3932146884078065,0.7105263157894738,34.229122848854324,0.35179862569623127,6.414225196999534,0.23947368421052617,False
noise x4,1.40426895469789,0.7631578947368421,32.96787913627744,0.36271601328657016,6.89643668651549,0.1868421052631578,False
beta x0.5,1.7087456730354196,0.4166666666666667,58.05068944829628,0.3724071059681006,6.636383934090001,0.5333333333333332,False
beta x2,1.7028397912395903,0.4078947368421053,57.847279874457115,0.37191975942394623,6.587060991332142,0.5421052631578946,False
length x0.75,1.755631659784645,0.3684210526315789,59.827440992991484,0.37423556330938695,6.6348833196577175,0.581578947368421,False
length x1.25,1.52732640822802,0.5350877192982456,46.591515585791676,0.3605603502585735,6.198139152516926,0.41491228070175434,False
length x1.5,1.5965111752892807,0.6096491228070176,36.40071864316667,0.4115835376659462,5.868209259508262,0.3403508771929824,False
noise x2 + length x1.25,1.3082301371065437,0.7675438596491229,28.338534652897753,0.34352900253428426,6.728661698774791,0.1824561403508771,True
noise x2 + length x1.5,1.9090273141128933,0.5394736842105263,38.32208446558729,0.45891788952910134,8.161595611807607,0.41052631578947363,False
noise x3 + length x1.25,1.4534245561137433,0.7412280701754387,29.885442746831956,0.36665880864384653,6.670649826188215,0.20877192982456128,False
