trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,family,run_index,role,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
DiagonalScanPath_1,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1576595047349801,1,143,26,296.69768818012363,0.7238381770219613,0.6927721193007261,334.19579037327884,302.0926773797536,32.10311299352526,1.7463095530903707,False,0.9956017592962816,0.6923076923076923,0.7561379846735031,3.4464661875501656,11.299118776256954,5.600744538940782,89.30650423240635,4.251194481970554,False,0.9230769230769232,23.809854278871764,69.68006450649588,Diagonal,1,evaluation,0.01,1.0,2.0,1.0,1.25
DiagonalScanPath_1,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1576595047349801,2,278,45,296.69768818012363,0.7647167218339348,0.7615554632273192,334.19579037327884,299.87186378799555,34.32392658528329,1.338794728806017,False,0.9964014394242304,0.7692307692307693,0.7419788129350683,3.409529074528841,11.185805222390732,3.96693238928789,106.0845675639857,10.937169061701004,False,0.9230769230769232,43.387010197979144,46.00873479094907,Diagonal,1,evaluation,0.01,1.0,2.0,1.0,1.25
DiagonalScanPath_1,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1576595047349801,1,143,26,296.69768818012363,0.4059768504581491,0.327125315099368,334.19579037327884,342.4089909962947,8.213200623015837,3.6546033407526743,False,0.996001599360256,0.6538461538461539,0.7361460379885992,2.260948598725795,11.335540621815053,7.819853319869367,18.20445889266159,2.543914110254416,True,1.0,19.89303520053553,19.89303520053553,Diagonal,1,evaluation,0.01,1.0,2.0,1.0,1.25
DiagonalScanPath_1,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1576595047349801,2,278,45,296.69768818012363,0.4574728945355196,0.3303254372786122,334.19579037327884,341.76912739915883,7.573337025879994,2.215285635681852,False,0.9948020791683326,0.5384615384615384,0.737660735045605,2.279768276955666,11.256785420659112,8.278699569159624,20.68742332192665,5.9480177743203875,True,1.0,49.24185218561998,49.24185218561998,Diagonal,1,evaluation,0.01,1.0,2.0,1.0,1.25
DiagonalScanPath_1,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,189,74,294.6560504149699,0.8142279259035863,0.8047536181327256,334.19579037327884,298.41224789895705,35.78354247432179,0.8258152839318134,False,0.9944022391043582,0.8289473684210527,0.7430453076960296,1.7618386455197506,11.00365127786735,3.679378989024439,47.99185345643612,4.251194481970554,False,0.9473684210526316,15.641755655219097,47.64760159929075,Diagonal,1,evaluation,0.03,1.0,2.0,1.0,1.25
DiagonalScanPath_1,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,384,155,294.6560504149699,0.8531937999841122,0.8551537701779806,334.19579037327884,296.3477137242095,37.848076649069355,0.4951080899489055,False,0.9860055977608956,0.5657894736842105,0.7398396323313704,2.012589046138594,10.831149432551443,2.311119316225785,63.49914248386797,10.937169061701004,False,0.9473684210526316,25.27710268332423,49.3733430874446,Diagonal,1,evaluation,0.03,1.0,2.0,1.0,1.25
DiagonalScanPath_1,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,189,74,294.6560504149699,0.4344775917680598,0.3638191802762431,334.19579037327884,340.58698022617034,6.3911898528915,1.067369387021479,False,0.994002399040384,0.8552631578947368,0.7308293528993829,1.2524359709611914,11.096851338098414,4.750982389245012,20.2376414734565,2.543914110254416,False,0.9605263157894736,12.08609113757062,15.23862861989823,Diagonal,1,evaluation,0.03,1.0,2.0,1.0,1.25
DiagonalScanPath_1,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,384,155,294.6560504149699,0.3940526881513751,0.3828528717848798,334.19579037327884,339.9083858119293,5.712595438650453,0.4813328168687283,False,0.9852059176329468,0.5131578947368421,0.7139037721605612,1.3593449685174324,10.831993994858868,2.3491412352082235,35.93540052144417,5.9480177743203875,True,0.9473684210526316,13.972733821407465,20.168748130567337,Diagonal,1,evaluation,0.03,1.0,2.0,1.0,1.25
DiagonalScanPath_1,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1747785923051746,1,237,122,294.23818076389324,0.8700444914024275,0.8697704897835554,334.19579037327884,295.20518167737987,38.99060869589897,0.4524577501768614,False,0.9816073570571772,0.6349206349206349,0.7367329472826769,1.4999444490558578,10.649077364888525,2.1608062528238077,47.2397358918606,4.251194481970554,False,0.9444444444444444,9.18600761861204,34.322795699183445,Diagonal,1,evaluation,0.05,1.0,2.0,1.0,1.25
DiagonalScanPath_1,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1747785923051746,2,466,237,294.23818076389324,0.8679533296642941,0.8690413643750701,334.19579037327884,295.26294211698405,38.93284825629479,0.4407955328368839,False,0.9816073570571772,0.6349206349206349,0.7302170208754544,1.5201074784202455,10.58062622921711,2.0427108453204093,48.99324592984576,10.937169061701004,False,0.9682539682539684,22.341473859439485,39.25854641263048,Diagonal,1,evaluation,0.05,1.0,2.0,1.0,1.25
